sal_id,record_ref,name,address_1,zip,lat,lon,phone,website,hours_text,extra,source_id,source_last_edited,fetched_at
sal_hr_1_east_mcnichols,60b7bb72-1f9b-4421-9b0c-d81430169416,6 & J Gas & More (Citgo Gas Station),1 East McNichols,,42.418146,-83.101336,(313) 866-2562,,24 hrs,Distribution_Device_Type=Newsstand; Box_Location=Outdoors; Type_of_Business=Gas Station,dhd_harm_reduction,2026-08-26,2026-09-24
sal_hr_1_hart_plaza,a47cac34-97e9-4461-bca5-c78b2db17024,1 Hart Plaza,1 Hart Plaza,,42.328274,-83.044329,(313)-877-8057,https://detroitmi.gov/departments/detroit-parks-recreation/parks-and-greenways/hart-plaza,Hours vary by event,Distribution_Device_Type=Newsstand; Box_Location=Outdoors; Type_of_Business=Event Venue,dhd_harm_reduction,2026-08-26,2026-09-24
sal_hr_100_mack_ave,23ef4337-bdd9-40ab-864a-96cb8efca03f,Detroit Health Department,100 Mack Ave,,42.347686,-83.055939,(313) 876-4000,https://detroitmi.gov/departments/detroit-health-department,8:30-4pm M-F,Distribution_Device_Type=Newsstand; Box_Location=Outdoors; Type_of_Business=City Government,dhd_harm_reduction,2026-08-26,2026-09-24
sal_hr_10000_plymouth_rd,b30a4c33-0df4-43d0-ad06-3cc58c5b6c4f,Sunoco Gas Station,10000 Plymouth Rd,,42.373818,-83.159046,(800) 786-6261,,24 hrs,Distribution_Device_Type=Newsstand; Box_Location=Outdoors; Type_of_Business=Gas Station,dhd_harm_reduction,2026-08-26,2026-09-24
sal_hr_10644_morang,26d7a398-ac32-427e-8d54-bf93bdc6d472,First Step Market,10644 Morang,,42.422500,-82.940401,(313) 290-2996,,Monday–Thursday: 9:00 AM–10:00 PM Friday & Saturday: 9:00 AM–11:00 PM Sunday: 9:00 AM–9:00 PM,Distribution_Device_Type=Newsstand; Box_Location=Outdoors; Type_of_Business=Grocery Store,dhd_harm_reduction,2026-08-26,2026-09-24
sal_hr_1121_w_eight_mile_rd,68330409-e261-4edc-9fc1-d3c3b2bee1c3,Jason Hargrove Transit Center,1121 W. Eight Mile Rd,,42.443955,-83.116778,(313) 933-1300,https://detroitmi.gov/departments/detroit-department-transportation,24 hrs,Distribution_Device_Type=Vending Machine; Box_Location=Indoors; Type_of_Business=Transit Center,dhd_harm_reduction,2026-08-26,2026-09-24
sal_hr_11320_dexter,e6a976ae-c3c6-4033-a002-f5aa443d8416,Barrell & Bottle Party Shoppe,11320 Dexter,,42.377372,-83.122164,(313) 869-2039,,"9-10 M-S, 10-10 Sun",Distribution_Device_Type=Newsstand; Box_Location=Outdoors; Type_of_Business=Liquor Store,dhd_harm_reduction,2026-08-26,2026-09-24
sal_hr_11919_e_warren_ave,d6d96fb4-62eb-4e86-968a-09ab5948a792,Careland Pharmacy and Medical Supply,11919 E. Warren Ave,,42.389443,-82.978285,(313) 499-1352,https://www.carelandpharmacyandmedicalsupply.com/,Monday – Friday: 10 AM – 6 PM Saturday: 10 AM – 2 PM Sunday: Closed,Distribution_Device_Type=Countertop; Box_Location=Indoors; Type_of_Business=Pharmacy,dhd_harm_reduction,2026-08-26,2026-09-24
sal_hr_12291_harper_ave,df8b0573-312d-441f-abe7-7a50b87a0650,Cabana Motel,12291 Harper Ave,,42.400242,-82.980627,(313) 371-1220,,24 hrs,Distribution_Device_Type=Countertop; Box_Location=Indoors; Type_of_Business=Hotel,dhd_harm_reduction,2026-08-26,2026-09-24
sal_hr_12337_morang_ave,71c6bdbd-4b6d-4666-8505-2abe8846512e,Mr S Party Store,12337 Morang Ave,,42.427874,-82.954967,(313) 839-2774,,M-Th 9am-11pm F-Sat 9am-12am Sun 11am-10pm,Distribution_Device_Type=Newsstand; Box_Location=Outdoors; Type_of_Business=Liquor Store,dhd_harm_reduction,2026-08-26,2026-09-24
sal_hr_1264_meldrum_st,f47d6300-a7a7-4567-8611-ceff6b737354,Capuchin Soup Kitchen,1264 Meldrum St,,42.351071,-83.012652,(313) 579-2100,https://www.cskdetroit.org/,"Monday – Friday: 8:30–9:30 AM, 11:00 AM–1:00 PM Saturday – Sunday: Closed",Distribution_Device_Type=Newsstand; Box_Location=Outdoors; Type_of_Business=Soup Kitchen,dhd_harm_reduction,2026-08-26,2026-09-24
sal_hr_12900_w_chicago_st,d0776159-9018-402e-bf69-09bd2c96a2be,Detroit Rescue Mission Ministries (Genesis House),12900 W Chicago St,,42.366168,-83.170955,(313) 309-5900,https://drmm.org/about-us/locations/,M-F 9-4:30PM,Distribution_Device_Type=Newsstand; Box_Location=Inside; Type_of_Business=Community Organization,dhd_harm_reduction,2026-08-26,2026-09-24
sal_hr_1300_fort_st,3299106a-2fc5-4a87-abd1-dfb9547eac26,Community Health Awareness group (CHAG),1300 Fort St,,42.325829,-83.059553,(313) 963-3434,https://www.chagdetroit.org/,9-5pm M-F,Distribution_Device_Type=Newsstand; Box_Location=Outdoors; Type_of_Business=Community Organization,dhd_harm_reduction,2026-08-26,2026-09-24
sal_hr_13033_e_seven_mile_rd,e69c5610-bf49-4d7b-a4ca-17decd15cc6a,Mike's Petroleum (Citgo Gas Station),13033 E. Seven Mile Rd,,42.435099,-82.990552,(313) 312-2669,,24 hrs,Distribution_Device_Type=Newsstand; Box_Location=Outdoors; Type_of_Business=Gas Station,dhd_harm_reduction,2026-08-26,2026-09-24
sal_hr_1310_cass_ave,86e16c6d-9596-48dc-bc4c-3263f6d3163b,Rosa Parks Transit Center,1310 Cass Ave,,42.332544,-83.052707,(313) 224-2160,https://detroitmi.gov/departments/detroit-department-transportation,24 hrs,Distribution_Device_Type=Vending Machine; Box_Location=Indoors; Type_of_Business=Transit Center,dhd_harm_reduction,2026-08-26,2026-09-24
