sal_id,record_ref,name,address_1,city,zip,lat,lon,phone,website,hours_text,extra,source_id,source_last_edited,fetched_at
sal_wws_dearborn_arab_community_center_for_social_services_acces,,Arab Community Center for Social Services (ACCESS): One-Stop Employment and Health Services Center,,Dearborn,,42.3378412,-83.1770116,,https://www.accesscommunity.org/,24 hrs,"Station_Type=Newsstand; Access_247=Yes; Box_Location=Outdoors, to the left of the entrance directly off Schaefer Rd.; Supplies=Naloxone (Narcan®), Fentanyl Testing Strips, Xylazine Testing Strips",wayne_well_wayne_stations,2026-09-14,2026-09-20
sal_wws_dearborn_leaders_advancing_and_helping_communities_lahc,,Leaders Advancing and Helping Communities (LAHC),,Dearborn,,42.3266400,-83.1841270,,https://lahc.org/,24 hrs,"Station_Type=Newsstand; Access_247=Yes; Box_Location=Outdoors, to the left of the front entrance; Supplies=Naloxone (Narcan®), Fentanyl Testing Strips, Xylazine Testing Strips",wayne_well_wayne_stations,2026-09-14,2026-09-20
sal_wws_dearborn_mike_s_party_store,,Mike's Party Store,,Dearborn,,42.2981460,-83.2778119,,,24 hrs,"Station_Type=Newsstand; Access_247=Yes; Box_Location=Outdoors, to the right of the entrance; Supplies=Naloxone (Narcan®), Fentanyl Testing Strips, Xylazine Testing Strips",wayne_well_wayne_stations,2026-09-14,2026-09-20
sal_wws_dearborn_university_of_michigan_dearborn_campus_support_,,University of Michigan Dearborn - Campus Support Services,,Dearborn,,42.3200565,-83.2377160,,https://umdearborn.edu/,24 hrs,"Station_Type=Newsstand; Access_247=Yes; Box_Location=Indoors, placed in the vestibule of Campus Support Services; Supplies=Naloxone (Narcan®), Fentanyl Testing Strips, Xylazine Testing Strips",wayne_well_wayne_stations,2026-09-14,2026-09-20
sal_wws_dearborn_university_of_michigan_dearborn_college_of_busi,,University of Michigan Dearborn - College of Business,,Dearborn,,42.3228632,-83.2227156,,https://umdearborn.edu/,24 hrs,"Station_Type=Newsstand; Access_247=Yes; Box_Location=Outdoors, in parking lot FCS-1; Supplies=Naloxone (Narcan®), Fentanyl Testing Strips, Xylazine Testing Strips",wayne_well_wayne_stations,2026-09-14,2026-09-20
sal_wws_dearborn_wagner_place_parking_garage,,Wagner Place Parking Garage,,Dearborn,,42.3050860,-83.2442976,,,24 hrs,"Station_Type=Newsstand; Access_247=Yes; Box_Location=Indoors, on the first floor of the parking garage near the entrance; Supplies=Naloxone (Narcan®), Fentanyl Testing Strips, Xylazine Testing Strips",wayne_well_wayne_stations,2026-09-14,2026-09-20
sal_wws_detroit_detroit_rescue_mission_ministries_emergency_shel,,Detroit Rescue Mission Ministries: Emergency Shelter & Transitional Housing,,Detroit,,42.3445425,-83.0656575,,https://drmm.org/,24 hrs,"Station_Type=Newsstand; Access_247=Yes; Box_Location=Outdoors, to the left of the front/street facing entry way; Supplies=Naloxone (Narcan®), Fentanyl Testing Strips, Xylazine Testing Strips",wayne_well_wayne_stations,2026-09-14,2026-09-20
sal_wws_detroit_elite_care_physicians_medical_and_urgent_care,,Elite Care Physicians - Medical & Urgent Care,,Detroit,,42.3164272,-83.1042808,,https://elitecarephysicansdetroit.com/,24 hrs,"Station_Type=Newsstand; Access_247=Yes; Box_Location=Outdoors, next to the front entrance; Supplies=Naloxone (Narcan®), Fentanyl Testing Strips, Xylazine Testing Strips",wayne_well_wayne_stations,2026-09-14,2026-09-20
sal_wws_detroit_focus_hope_chalmers_st,,Focus: HOPE (Chalmers St.),,Detroit,,42.4063258,-82.9658612,,https://www.focushope.edu/,Not open 24 hours; the County's map says usually Monday-Friday during normal business hours,"Station_Type=Vending Machine; Access_247=No; Box_Location=Indoors, near the entrance; Supplies=Naloxone (Narcan®), Fentanyl Testing Strips, Xylazine Testing Strips",wayne_well_wayne_stations,2026-09-14,2026-09-20
sal_wws_detroit_focus_hope_oakman_blvd,,Focus: HOPE (Oakman Blvd.),,Detroit,,42.4003071,-83.1206667,,https://www.focushope.edu/,Not open 24 hours; the County's map says usually Monday-Friday during normal business hours,"Station_Type=Vending Machine; Access_247=No; Box_Location=Indoors, in the vestibule; Supplies=Naloxone (Narcan®), Fentanyl Testing Strips, Xylazine Testing Strips",wayne_well_wayne_stations,2026-09-14,2026-09-20
sal_wws_detroit_guardian_building,,Guardian Building,,Detroit,,42.3295267,-83.0460804,,https://www.guardianbuilding.com/,Not open 24 hours; the County's map says usually Monday-Friday during normal business hours,"Station_Type=Vending Machine; Access_247=No; Box_Location=Indoors, off lobby, see front desk for directions; Supplies=Naloxone (Narcan®), Fentanyl Testing Strips, Xylazine Testing Strips",wayne_well_wayne_stations,2026-09-14,2026-09-20
sal_wws_detroit_passenger_recovery,,Passenger Recovery,,Detroit,,42.3939657,-83.0442245,,,Not open 24 hours; the County's map says usually Monday-Friday during normal business hours,"Station_Type=Newsstand; Access_247=No; Box_Location=Indoors, up the stairs and in the entrance of Passenger Recovery; Supplies=Naloxone (Narcan®), Fentanyl Testing Strips, Xylazine Testing Strips",wayne_well_wayne_stations,2026-09-14,2026-09-20
sal_wws_detroit_salvation_army_harbor_light,,Salvation Army Harbor Light,,Detroit,,42.3393283,-83.0889038,,https://centralusa.salvationarmy.org/greatlakes/detroit-harbor-light/,Not open 24 hours; the County's map says usually Monday-Friday during normal business hours,"Station_Type=Vending Machine; Access_247=No; Box_Location=Indoors, in the foyer; Supplies=Naloxone (Narcan®), Fentanyl Testing Strips, Xylazine Testing Strips",wayne_well_wayne_stations,2026-09-14,2026-09-20
