id,label,number,sms,hardcoded,sort,area,verified_by_call_on,verified_published_on,mismatch_on,source_url,internal_note
emg_911,Emergency,911,,yes,1,,,,,,Hardcoded; listed for completeness. Do not test-call.
emg_shelter_helpline,"Shelter tonight (Detroit, Hamtramck, Highland Park)",866-313-2520,,no,2,,,2026-09-24,,https://detroitmi.gov/departments/housing-and-revitalization-department/homelessness,The City publishes this number for shelter intake. camdetroit.org and some partners still publish 313-305-0311; we follow the City (DECISIONS 2026-09-18).
emg_shelter_outwayne,"Shelter help (Wayne County outside Detroit, Hamtramck and Highland Park)",734-284-6999,,no,2.5,,,2026-09-19,,https://outwaynehomeless.org/get-help/,"Out-Wayne County Continuum of Care housing crisis line (Wayne Metro): Wayne County outside Detroit, Hamtramck and Highland Park. Read on their page in a browser 2026-09-19; the site answers scripts with 403, so check:emergency logs it as unreadable. Walk-in: 2005 Biddle Ave, Wyandotte; 11131 Wayne Rd, Romulus."
emg_988,Suicide and crisis lifeline,988,988,yes,3,,,,,https://988lifeline.org/,Hardcoded; listed for completeness.
emg_dwihn_crisis,"Mental health and addiction help, 24 hours (DWIHN, Wayne County)",800-241-4949,,no,4,,,2026-09-26,,https://dwihn.org/crisis-help,"DWIHN's ACCESS line: 24/7 crisis line and the front door for publicly funded drug and alcohol treatment in all of Wayne County (research 2026-09-19, docs/research/2026-09-19-new-help/treatment-2-system-and-data.md). Some provider pages print wrong DWIHN numbers (800-421-4949, 800-231-1127, 800-841-4949); use only DWIHN's own pages."
emg_ndvh,Domestic violence hotline,800-799-7233,88788,no,5,,,2026-09-26,,https://www.thehotline.org/,Text START to 88788.
emg_211,Find help near you,211,,no,6,,,2026-09-26,,https://mi211.org/,
emg_samhsa,National drug and alcohol helpline (SAMHSA),800-662-4357,,no,4.5,,,2026-09-26,,https://www.samhsa.gov/find-help/helplines/national-helpline,"Free, 24/7, English and Spanish. TTY 1-800-487-4889. Text a ZIP code to 435748 (English only). Read on the owner page 2026-09-19."
emg_avalon,"Sexual assault help, 24 hours (Avalon Healing Center)",313-474-7233,,no,5.5,,,2026-09-26,,https://avalonhealing.org/,"Printed as 313-474-SAFE. Formerly Wayne County SAFE; free exams and advocates for all ages. Asks survivors to call first and does not publish its exam sites. Its /contact/ page has a tap-to-call link that dials 313-475-7233 (a bug on their page; tell Avalon, never copy that link)."
emg_voices4,"Michigan sexual assault hotline (VOICES4), call or text",855-864-2374,855-864-2374,no,5.6,,,2026-09-26,,https://www.michigan.gov/voices4,"Statewide, 24/7, anonymous. TTY 517-381-8470. The MDHHS Wayne County directory lists a different text number (866-238-1454); both owner pages (michigan.gov/voices4, mcedsv.org/hotline) say text 855-864-2374."
