# Listings near open Joe Louis Greenway segments that had nothing within a 10-minute walk.
# Each was read on the organization's own site (or a library/government page) on 2026-09-18.
# name | org | category | what | address | city | zip | phone | website | schedule | eligibility | source_url
Food give-away | Northwest Church of Christ | food.pantry | Free fresh food at the church on give-away days. | 5151 Oakman Blvd | Detroit | 48204 | 313-834-0562 | https://www.northwestcofcdet.com/ | Their site says every 1st and 3rd Tuesday at noon, but its calendar shows other Tuesdays | | https://www.northwestcofcdet.com/event-details/forgotten-harvest-food-give-away-2026-08-11-12-00
Drive-thru food pantry | Straight Gate International Church | food.pantry | Drive up and get free food. No one is turned away. | 10100 Grand River | Detroit | 48204 | 313-491-8430 | https://straightgate.net/ | 1st and 4th Thursdays of each month, starting at 9am | No qualifications needed. | https://straightgate.net/food-pantry
Free food boxes | Auntie Na's Village | food.pantry | A free box of food, plus free clothes and hygiene kits. | 12028 Yellowstone St | Detroit | 48204 | (313) 808-8940 | https://www.auntienasvillage.org/ | Fri 2pm-5pm; Sat 12pm-2pm | | https://www.auntienasvillage.org/
Dr. Feleta Wilson Health Center | Detroit Community Health Connection | health.clinic | See a doctor or a dentist. | 6550 W Warren Ave | Detroit | 48210 | 313-897-7700 | https://www.dchcquality.org/ | Mon 9:30am-6pm; Tue-Fri 8:30am-5pm | | https://www.dchcquality.org/dr-feleta-wilson-health-center
Medical clinic | American Indian Health and Family Services | health.clinic | Medical care and counseling. | 4880 Lawndale | Detroit | 48210 | (313) 846-6030 | https://www.aihfs.org/ | Mon-Wed 8:30am-5pm; Thu 10:30am-7pm; Fri 8:30am-5pm | Their site says they serve American Indian and Alaska Native people and other underserved people. Call to ask. | https://www.aihfs.org/
After school program | Detroit Association of Black Organizations | youth | An after-school program for kids. The group also helps with food. | 12048 Grand River Ave | Detroit | 48204 | (313) 491-0003 | https://dabodetroitinc.com/ | not stated | | https://dabodetroitinc.com/
Bowen Branch Library | Detroit Public Library | rec.library | Free computers, Wi-Fi, and books. A free place to sit inside. | 3648 W Vernor Hwy | Detroit | | (313) 481-1540 | https://detroitpubliclibrary.org/ | Mon 10am-6pm; Tue 12pm-8pm; Wed 10am-6pm; Thu 12pm-8pm; Sat 10am-6pm | | https://detroitpubliclibrary.org/locations/bowen
Manna Community Meal | St. Peter's Episcopal Church | food.meal | A free hot breakfast. | 1950 Trumbull St | Detroit | 48216 | (313) 444-5143 | https://www.stpetersdetroit.com/ | Mon, Tue, Wed, Fri, Sat 8am-10am | | https://www.stpetersdetroit.com/manna-meal
Corner Shower and Laundry | St. Peter's Episcopal Church | hygiene.shower | A free shower and a place to wash your clothes. | 1950 Trumbull St | Detroit | 48216 | (313) 400-7040 | https://www.stpetersdetroit.com/ | Mon, Tue, Wed, Fri, Sat 7:30am-11am | All are welcome. | https://www.stpetersdetroit.com/copy-of-ministries-2
Cabrini Clinic | St. Frances Cabrini Clinic | health.clinic | Free health care if you have no insurance. | 1234 Porter St | Detroit | 48226 | 313-961-7863 | https://www.cabrini-clinic.org | Tue 12pm-7pm; Wed 1pm-6pm; Thu 12pm-7pm | For people with no insurance or little money. Your immigration status does not matter. | https://www.cabrini-clinic.org
Ste. Anne Pantry | Loaves and Fishes Southwest Detroit | food.pantry | Free groceries. Use the gray door on the parking lot side. | 1000 Ste Anne St | Detroit | 48216 | | https://loavesandfishesswdetroit.org/ | Wed 1pm-3pm | For people who live in ZIP codes 48216 or 48209, and parish members. | https://loavesandfishesswdetroit.org/pantry-locations/
Hamtramck Public Library | Hamtramck Public Library | rec.library | Free computers, Wi-Fi, and books. A free place to sit inside. | 2360 Caniff | Hamtramck | 48212 | (313) 733-6821 | https://hamtramck.lib.mi.us/ | Mon-Wed 9am-5pm; Thu 9am-7pm; Fri 9am-5pm | | https://hamtramck.lib.mi.us/
Hamtramck Health Center | Wayne County Healthy Communities | health.clinic | See a doctor or a dentist and pay based on your income. Saturday hours change week to week, so call first on Saturdays. | 9021 Joseph Campau | Hamtramck | 48212 | (313) 871-1926 | https://www.waynecountyhealthy.com/ | Mon, Tue, Thu, Fri 9am-6pm; Wed 9am-9pm | Care no matter what you can pay. | https://www.waynecountyhealthy.com/
Nutrition Pantry | Detroit Friendship House | food.pantry | Free groceries for people who live in ZIP code 48212. | 9540 Conant | Hamtramck | 48212 | 313-871-7443 | https://www.detroitfriendshiphouse.org/ | Tue, Thu 2pm-4pm; Sat 9am-12pm | Live in 48212 with low income. Bring ID, proof of income, and the names and birthdates of people in your home. Sign up Tue or Thu 10am-1pm or Sat 9am-noon. | https://www.detroitfriendshiphouse.org/get-help-1
