# City of Detroit recreation centers. Read on each center's own detroitmi.gov page, 2026-09-18.
# The City says all recreation centers can be used for heat relief during normal hours; programs need a membership.
# Left out on purpose: Brennan Recreation Facility (page says CLOSED FOR CONSTRUCTION UNTIL 2027).
# name | org | category | what | address | city | zip | phone | website | schedule | eligibility | source_url
Adams Butzel Complex | Detroit Parks and Recreation | rec.center | City recreation center with a pool, ice arena, gym, and weight room. Anyone can come in to cool off on hot days. | 10500 Lyndon | Detroit | 48238 | (313) 628-0990 | https://detroitmi.gov/departments/detroit-parks-recreation | Mon-Fri 8am-9pm; Sat 9am-5pm | You need a membership for classes, the gym, and the pool. Ask at the front desk. | https://detroitmi.gov/departments/detroit-parks-recreation/recreation-centers/adams-butzel-complex
Community Center at AB Ford | Detroit Parks and Recreation | rec.center | City community center on the east riverfront. Anyone can come in to cool off on hot days. | 100 Lenox | Detroit | 48215 | (313) 628-1197 | https://detroitmi.gov/departments/detroit-parks-recreation | Mon-Fri 9am-7pm; Sat 10am-6pm | You need a membership for classes and programs. Ask at the front desk. | https://detroitmi.gov/ABFord
Butzel Family Center | Detroit Parks and Recreation | rec.center | City center with senior and youth services and help agencies on site. Anyone can come in to cool off on hot days. | 7737 Kercheval | Detroit | 48214 | (313) 628-2100 | https://detroitmi.gov/departments/detroit-parks-recreation | Mon-Fri 8am-7pm | You need a membership for classes and programs. Ask at the front desk. | https://detroitmi.gov/departments/detroit-parks-recreation/recreation-centers/butzel-family-center
Chandler Park Fieldhouse | Detroit Parks and Recreation | rec.center | City fieldhouse with a gym, indoor track, and turf field. Anyone can come in to cool off on hot days. | 12300 Chandler Park Drive | Detroit | 48213 | 313-224-3663 | https://detroitmi.gov/departments/detroit-parks-recreation | Mon-Fri 7am-9pm; Sat 8am-5pm | You need a membership for classes, the gym, and the track. Ask at the front desk. | https://detroitmi.gov/departments/detroit-parks-recreation/recreation-centers/chandler-park-fieldhouse
Clemente Recreation Center | Detroit Parks and Recreation | rec.center | City recreation center with a gym, weight room, computer lab, and lending library. Anyone can come in to cool off on hot days. | 2631 Bagley | Detroit | | (313) 224-0228 | https://detroitmi.gov/departments/detroit-parks-recreation | Mon-Fri 11am-7pm; Sat 9am-5pm | You need a membership for classes and the gym. Ask at the front desk. | https://detroitmi.gov/departments/detroit-parks-recreation/recreation-centers/clemente-center
Coleman A. Young Community Center | Detroit Parks and Recreation | rec.center | City recreation center with a pool, gym, weight room, and boxing. Anyone can come in to cool off on hot days. | 2751 Robert Bradby Dr | Detroit | 48207 | (313) 628-0995 | https://detroitmi.gov/departments/detroit-parks-recreation | Mon-Fri 8am-9pm; Sat 9am-5pm | You need a membership for classes, the gym, and the pool. Ask at the front desk. | https://detroitmi.gov/departments/detroit-parks-recreation/recreation-centers/coleman-young-community-center
Crowell Recreation Center | Detroit Parks and Recreation | rec.center | City recreation center with a gym, weight room, boxing, and a walking path in the park. Anyone can come in to cool off on hot days. | 16630 Lahser | Detroit | 48219 | (313) 628-2047 | https://detroitmi.gov/departments/detroit-parks-recreation | Mon-Fri 11am-7pm; Sat 9am-5pm | You need a membership for classes and the gym. Ask at the front desk. | https://detroitmi.gov/departments/detroit-parks-recreation/recreation-centers/crowell-community-center
Farwell Recreation Center | Detroit Parks and Recreation | rec.center | City recreation center with a gym, weight room, arts and crafts, and dance. Anyone can come in to cool off on hot days. | 2781 E Outer Drive | Detroit | 48234 | (313) 628-2028 | https://detroitmi.gov/departments/detroit-parks-recreation | Mon-Fri 11am-7pm; Sat 9am-5:30pm | You need a membership for classes and the gym. Ask at the front desk. | https://detroitmi.gov/departments/detroit-parks-recreation/recreation-centers/farwell-recreation-center
Heilmann Recreation Center | Detroit Parks and Recreation | rec.center | City recreation center with a pool, gym, and weight room, plus senior and youth programs. Anyone can come in to cool off on hot days. | 19601 Brock Ave | Detroit | 48205 | (313) 224-9334 | https://detroitmi.gov/departments/detroit-parks-recreation | Mon-Fri 8am-9pm; Sat 9am-5pm | You need a membership for classes, the gym, and the pool. Ask at the front desk. | https://detroitmi.gov/departments/detroit-parks-recreation/recreation-centers/heilmann-community-center
Helen Moore Community Center | Detroit Parks and Recreation | rec.center | City community center with a gym, weight room, reading room, and art room. Anyone can come in to cool off on hot days. | 11825 Dexter Ave | Detroit | 48206 | 313-224-9303 | https://detroitmi.gov/departments/detroit-parks-recreation | Mon-Fri 11am-7pm; Sat 9am-5pm | You need a membership for classes and the gym. Ask at the front desk. | https://detroitmi.gov/departments/detroit-parks-recreation/recreation-centers/helen-moore-community-center-ed-davis-park
Joseph Walker Williams Center | Detroit Parks and Recreation | rec.center | City recreation center with swimming, dance, and boxing. Anyone can come in to cool off on hot days. | 8431 Rosa Parks Blvd | Detroit | 48206 | (313) 628-2039 | https://detroitmi.gov/departments/detroit-parks-recreation | Mon-Fri 8am-8pm; Sat 9am-5pm | You need a membership for classes and the pool. Ask at the front desk. | https://detroitmi.gov/departments/detroit-parks-recreation/recreation-centers/joseph-walker-williams-center
Kemeny Recreation Center | Detroit Parks and Recreation | rec.center | City recreation center with a gym, weight room, game room, and sports fields. Anyone can come in to cool off on hot days. | 2260 S Fort St | Detroit | 48217 | (313) 628-2819 | https://detroitmi.gov/departments/detroit-parks-recreation | Mon-Fri 8am-9pm; Sat 9am-5pm | You need a membership for classes and the gym. Ask at the front desk. | https://detroitmi.gov/departments/detroit-parks-recreation/recreation-centers/kemeny-recreation-center
Lasky Recreation Center | Detroit Parks and Recreation | rec.center | City recreation center with a gym, weight room, boxing, and a track. Anyone can come in to cool off on hot days. | 13200 Fenelon | Detroit | 48212 | (313) 628-2030 | https://detroitmi.gov/departments/detroit-parks-recreation | Mon-Fri 11am-7pm; Sat 9am-5pm | You need a membership for classes and the gym. Ask at the front desk. | https://detroitmi.gov/departments/detroit-parks-recreation/recreation-centers/lasky-recreation-center
Northwest Activities Center | Detroit Parks and Recreation | rec.center | City activities center with a pool, gym, and weight room. Anyone can come in to cool off on hot days. | 18100 Meyers | Detroit | 48235 | 313-578-7500 | https://detroitmi.gov/departments/detroit-parks-recreation | Mon-Fri 8am-9pm; Sat 9am-5pm | You need a membership for classes, the gym, and the pool. Ask at the front desk. | https://detroitmi.gov/departments/detroit-parks-recreation/recreation-centers/northwest-activities-center
Patton Community Center | Detroit Parks and Recreation | rec.center | City community center with a pool, gym, senior room, and computers. Anyone can come in to cool off on hot days. | 2301 Woodmere | Detroit | 48209 | (313) 628-2000 | https://detroitmi.gov/departments/detroit-parks-recreation | Mon-Fri 8am-9pm; Sat 9am-5pm | You need a membership for classes, the gym, and the pool. Ask at the front desk. | https://detroitmi.gov/departments/detroit-parks-recreation/recreation-centers/patton-community-center
Tindal Recreation Center | Healthy Kidz, Inc. | rec.center | Recreation center run by a partner group for the City. Call for hours and programs. | 10301 W Seven Mile Rd | Detroit | 48221 | 313-307-8869 | https://detroitmi.gov/departments/detroit-parks-recreation | not stated | | https://detroitmi.gov/departments/detroit-parks-recreation/recreation-centers/tindal-recreation-center
