# Help after sexual assault (places only; hotlines go on the screen, not here), free tax help (Accounting Aid
# Society's Summer/Fall 2026 sites), and help signing up for benefits (MDHHS offices, Medicare counseling).
# Research notes: docs/research/2026-09-19-new-help/assault-tax-benefits.md.
# Pages read 2026-09-19 with a plain request that says who we are. Every fact on a line comes from that owner's own
# page (the source_url column). No fact comes from a directory, aggregator or news story. No staff names anywhere.
# Notes for a steward:
# - assault: the app shows these with no map dot, no Save and no Directions (docs/05, docs/08). Avalon's exam sites
#   are NOT listed as places: Avalon asks survivors to call first and publishes no site addresses. Avalon's 601 Bagley
#   office is its published headquarters. Its home page still carries an old "offices are moving to 601 Bagley"
#   banner next to "officially open"; minor. Avalon's crisis line is a hotline (see convert notes): its contact page's
#   tap-to-call link dials 313-475-7233, not 313-474-7233. Never copy that link.
# - Detroit Police Victim's Assistance: the page says "24 hours, 7 days a week"; it is written as staff response, so
#   the listing says "call first" and never shows "open now" for the office.
# - money.tax: Accounting Aid Society's Summer/Fall season runs 2026-08-31 to 2026-10-16 ("Schedule Subject to
#   Change"). After import, set valid_to 2026-10-16 on each tax site's schedule rows (import:lines has no field for
#   it). Each line carries notice=Open through Oct 16, 2026. Days come from the dated calendar on the page. The
#   calendar also marks some days "Sites Close at 2pm" (9/3, 10/1) and "Sites Close at 12pm" (Mondays 9/14, 9/21,
#   9/28) without saying which site; a person should read the page and add exceptions by hand. The Fisher site is
#   "FCC East" in the list and "FREC East" in the calendar; the line uses the school name. The Jan-Apr 2027 season
#   must be re-researched in January 2027.
# - money.tax income limit ($69,000) is from Accounting Aid Society's main page, modified 2026-02-27.
# - money.benefits: MDHHS office facts are from the office iframe page (mdhhs.michigan.gov/CompositeDirPub/...),
#   which is the page that prints the address and information line as plain text. Office hours are not printed.
#   The ZIPs each office serves come from MDHHS's "Wayne County District Offices Zip Code Assignments" PDF, dated
#   October 8, 2025. Greenfield/Joy: that PDF prints ZIP 48236 for the office itself, the office page prints 48228;
#   the line uses the office page.
# - Detroit Area Agency on Aging: MI Options is the new name for MMAP. Service area is from DAAA's /areas-we-serve/.
Avalon Healing Center counseling | Avalon Healing Center | assault | Free counseling, groups and advocates after sexual assault. Help with rides, finding safe shelter and victim-compensation forms. | 601 Bagley St. | Detroit | 48226 | 313-964-9701 | https://avalonhealing.org/ | Counseling appointments Mon-Fri 9am-5pm | Counseling for ages 12 and up, and for family and loved ones. | https://avalonhealing.org/ | flags=appointment_required; phone_label=Main number, for counseling appointments; phone2=313-474-7233; phone2_label=24-hour crisis line (printed as 313-474-SAFE)
Victim's Assistance Program | Detroit Police Department | assault | Free counseling after sexual assault, one-on-one or in groups, and help with victim-compensation claims. Run by the police. | 4707 St. Antoine, Suite M-167 | Detroit | 48201 | (313) 833-1660 | https://detroitmi.gov/ | Staff respond 24 hours, 7 days a week |  | https://detroitmi.gov/departments/police-department/victims-assistance
Free tax help at Detroit Public Library, Main | Accounting Aid Society | money.tax | Free help with past-year or corrected tax returns, IRS or state tax letters, and Detroit HOPE forms. Appointments preferred. | 5201 Woodward | Detroit | 48202 | 313-556-1920 | https://accountingaidsociety.org/ | Mon, Thu 10am-3pm | Households making less than $69,000 a year. | https://www.accountingaidresources.org/taxsitelocations | notice=Open through Oct 16, 2026.
Free tax help at Fisher Magnet Academy | Accounting Aid Society | money.tax | Free help with past-year or corrected tax returns, IRS or state tax letters, and Detroit HOPE forms. Appointments preferred. | 15491 Maddelein St. | Detroit | 48205 | 313-556-1920 | https://accountingaidsociety.org/ | Mon, Wed 9am-3pm | Households making less than $69,000 a year. | https://www.accountingaidresources.org/taxsitelocations | notice=Open through Oct 16, 2026.
Free tax help at La Sed Senior and Youth Center | Accounting Aid Society | money.tax | Free help with past-year or corrected tax returns, IRS or state tax letters, and Detroit HOPE forms. Appointments preferred. | 7150 W. Vernor Hwy | Detroit | 48209 | 313-556-1920 | https://accountingaidsociety.org/ | Tue, Thu 9am-3pm | Households making less than $69,000 a year. | https://www.accountingaidresources.org/taxsitelocations | flags=spanish; notice=Open through Oct 16, 2026.
Free tax help at Northwest Financial Hub | Accounting Aid Society | money.tax | Free help with past-year or corrected tax returns, IRS or state tax letters, and Detroit HOPE forms. Appointments preferred. | 7800 W Outer Dr, LL20 | Detroit | 48235 | 313-556-1920 | https://accountingaidsociety.org/ | Mon-Fri 9am-3pm | Households making less than $69,000 a year. | https://www.accountingaidresources.org/taxsitelocations | notice=Open through Oct 16, 2026.
Free tax help at Henry Ford Centennial Library | Accounting Aid Society | money.tax | Free help with past-year or corrected tax returns and IRS or state tax letters. Appointments preferred. | 16301 Michigan Ave. | Dearborn | 48126 | 313-556-1920 | https://accountingaidsociety.org/ | Thu 10am-3pm | Households making less than $69,000 a year. | https://www.accountingaidresources.org/taxsitelocations | notice=Open through Oct 16, 2026.
MDHHS Hamtramck/Woody Plaza office | Michigan Department of Health and Human Services | money.benefits | Apply for food help, cash help, Medicaid or State Emergency Relief, or ask about your case. | 12140 Joseph Campau St. | Hamtramck | 48212 | 313-892-0180 | https://www.michigan.gov/mdhhs | not stated | Serves ZIP codes 48201, 48202, 48203 (Highland Park), 48208, 48211, 48212 (Hamtramck), 48216 and 48226. | https://mdhhs.michigan.gov/CompositeDirPub/VignetteView.aspx?id=214 | phone_label=Information line
MDHHS Greenfield/Joy office | Michigan Department of Health and Human Services | money.benefits | Apply for food help, cash help, Medicaid or State Emergency Relief, or ask about your case. | 8655 Greenfield | Detroit | 48228 | 313-943-5200 | https://www.michigan.gov/mdhhs | not stated | Serves Dearborn (48120, 48121, 48124, 48126, 48128) and ZIP codes 48135, 48223 and 48228. | https://mdhhs.michigan.gov/CompositeDirPub/VignetteView.aspx?id=212 | phone_label=Information line
MDHHS Grandmont office | Michigan Department of Health and Human Services | money.benefits | Apply for food help, cash help, Medicaid or State Emergency Relief, or ask about your case. | 17455 Grand River Ave | Detroit | 48227 | 313-493-7801 | https://www.michigan.gov/mdhhs | not stated | Serves ZIP codes 48204, 48221, 48227 and 48238. | https://mdhhs.michigan.gov/CompositeDirPub/VignetteView.aspx?id=210 | phone_label=Information line
MDHHS Southwest office | Michigan Department of Health and Human Services | money.benefits | Apply for food help, cash help, Medicaid or State Emergency Relief, or ask about your case. | 2524 Clark Street | Detroit | 48209 | 313-554-8300 | https://www.michigan.gov/mdhhs | not stated | Serves ZIP codes 48101, 48122, 48192, 48206, 48209, 48210, 48217, 48218 and 48229. | https://mdhhs.michigan.gov/CompositeDirPub/VignetteView.aspx?id=207 | phone_label=Information line
