# Free help in Dearborn, Hamtramck and Highland Park (service area widened 2026-09-19, see DECISIONS).
# Each was read on the organization's own site (or its own page on dearborn.gov) on 2026-09-19, with WebFetch.
# Web search was used only to find the sites; no fact comes from a search snippet or a directory.
# Notes:
# - Western Wayne Family Health Centers: the sliding-fee sentence is on their home page (wwfhc.org); the address,
#   phone and each suite's hours are on the locations page used as source_url. The two suites keep different hours.
# - Dearborn Community Food Pantry and Helping Hand: monthly days (3rd Saturday; 1st and 3rd Wednesday) do not parse
#   as weekly hours, so they arrive call-first; a MONTHLY schedule matching the page was then added by hand.
# - Henry Ford Centennial Library: the page says Sunday 1-5, closed Sundays May 25 - August 31. Sunday was added by hand
#   as a schedule valid 2026-09-01 to 2027-05-24, so the app shows it closed on summer Sundays unless someone renews it.
# - Narcan boxes: the City's overdose page gives the places but no hours; the phone is the Public Health office.
#   They were then set to availability "unknown" by hand, like DHD's stations (you can't call a box).
# - DRMM Oasis: the locations page gives the address and phone and calls it housing for returning citizens; the
#   housing-services page (drmm.org/services/housing-services/) calls it an emergency shelter for men, 90 beds.
# name | org | category | what | address | city | zip | phone | website | schedule | eligibility | source_url
Dearborn Community Food Pantry | Dearborn First United Methodist Church | food.pantry | A free bag of groceries once a month. It is at Good Shepherd church on Mason St. | 1570 Mason St | Dearborn | 48124 | 313-563-5200 | https://dearbornfirstumc.org/ | 3rd Saturday of the month 9am-10am | | https://dearbornfirstumc.org/groups/food-pantry
Helping Hand Food Pantry | Cherry Hill Presbyterian Church | food.pantry | A free bag of shelf food (cans and boxes) once a month. No fresh or cold food. | 24110 Cherry Hill Rd | Dearborn | 48124 | 313-563-4800 | https://cherryhillchurch.org/ | 1st and 3rd Wednesday of the month 9:30am-noon | Anyone can come, from any ZIP code. No ID or income papers needed. One person per home, once a month. | https://cherryhillchurch.org/our-ministries/helping-hand
LAHC food pantry by appointment | Leaders Advancing and Helping Communities | food.pantry | Free groceries. You pick the foods your family needs. Call to make an appointment. | 5275 Kenilworth St | Dearborn | 48126 | 313-846-8480 | https://lahc.org/ | Appointments on Thursdays. Their site gives no times. Call first. | For families in Dearborn. | https://lahc.org/food-pantry-dearborn-snap-benefits-resources-lahc/
Dearborn community fridge | Detroit Community Fridge | food.pantry | A free community fridge. Take food you need. | 1176 Abbey Ln | Dearborn | 48124 | | https://detfridge.com/ | Open 24/7 | | https://detfridge.com/
Benefits help at the main Dearborn office | ACCESS | food.benefits | Help signing up for food stamps, Medicaid, cash help, and State Emergency Relief. Help in Arabic and English. | 2651 Saulino Ct | Dearborn | 48120 | 313-203-3392 | https://www.accesscommunity.org/ | not stated | | https://www.accesscommunity.org/human-services/basic-needs
Benefits help at the East Dearborn office | ACCESS | food.benefits | Help signing up for food stamps, Medicaid, cash help, and State Emergency Relief. Help in Arabic and English. | 6451 Schaefer Rd | Dearborn | 48126 | 313-203-1874 | https://www.accesscommunity.org/ | not stated | | https://www.accesscommunity.org/human-services/basic-needs
Benefits help at the Hamtramck office | ACCESS | food.benefits | Help signing up for food stamps, Medicaid, cash help, and State Emergency Relief. Help in Arabic and English. | 9301 Joseph Campau Ave | Hamtramck | 48212 | 313-842-7726 | https://www.accesscommunity.org/ | not stated | | https://www.accesscommunity.org/human-services/basic-needs
ACCESS Medical Center | ACCESS | health.clinic | See a doctor for checkups, shots, and sick visits. If you have no insurance, you pay based on your income. | 6450 Maple St | Dearborn | 48126 | 313-216-2200 | https://www.accesscommunity.org/ | not stated | | https://www.accesscommunity.org/health-wellness/medical
Dearborn health center | Western Wayne Family Health Centers | health.clinic | See a doctor. Family care is in Suite 255. Care for kids and pregnant women is in Suite 245. If you have no insurance, you pay based on your income. | 4700 Schaefer Rd | Dearborn | 48126 | 313-561-5100 | https://wwfhc.org/ | Hours are different for each suite. Most weekdays from about 8am to 5pm or later. Call first. | Care for anyone, with or without insurance. | https://wwfhc.org/locations/
Henry Ford Centennial Library | Dearborn Public Library | rec.library | Free books, computers, and Wi-Fi. A free place to sit inside. | 16301 Michigan Ave | Dearborn | 48126 | 313-943-2330 | https://dearbornlibrary.org/ | Mon-Thu 10am-8pm; Fri-Sat 10am-5:30pm | | https://dearbornlibrary.org/about/
Help paying a Dearborn water bill | City of Dearborn | utilities | If you can't pay your Dearborn water bill, Wayne Metro's water program (WRAP) may help. Call to see if you qualify and what papers you need. | | | | 313-386-9727 | https://dearborn.gov/water | not stated | For Dearborn water customers who are having money trouble. | https://dearborn.gov/water
