# Dentists, a free eye check for kids, Head Start, and low-cost pet care (research lane J: dental, vision, child care,
# rides, pets). Pages read 2026-09-19. Every fact below comes only from the owner's own page (source_url on each line).
# Directories (the Michigan Head Start Association list, search results, news) were used only to find candidates. No staff
# names, emails or direct lines, even where a page shows them (UDM emergency page, MACS clinic page, UCF home page).
# Research notes: docs/research/2026-09-19-new-help/dental-childcare-rides-pets.md.
# Rides: no lines here. Medicaid rides, DDOT/SMART fares and senior ride programs are link-outs (see the convert notes).
# Notes for the steward:
# - Covenant Community Care dental: three new health.dental services at places already listed (sal_covenant_care_michigan_ave,
#   sal_covenant_community_care_moross, sal_covenant_care_joy_rd). The dental page prints each clinic's dental phone and
#   dental hours, which differ from the medical hours. Joy Road's dental phone is the clinic's main line.
# - UDM pediatric clinic: the page prints "8:30 a.m. - 12:30 a.m." (a typo for 12:30 p.m.). Entered exactly as printed, so it
#   says "call first"; a person may fix it after a phone check.
# - UDM student clinic: "30-50% less" and the Medicaid flag come from UDM's own financial page,
#   https://dentalpatients.udmercy.edu/financial.php; "no charge for the screening appointment" is on the source page.
# - UDM emergency clinic: the page gives an opening time (7:30 a.m.) but no closing time, so it is text, not a schedule.
# - Detroit Health Department vision screening: the page prints "100 Mack Ave (First Floor)" and no ZIP; ZIP left blank.
#   It screens only; it does not give glasses.
# - Friends for Animals: the main line needs ext. 6002 for pet food; the page does not say the food is free, so the line
#   does not say "free".
# - All About Animals and MACS: prices are on the page; neither says "low cost", so the lines state prices instead.
Detroit Mercy Dental Center student clinic | University of Detroit Mercy School of Dentistry | health.dental | Dental students fix your teeth while dentists watch. It costs 30-50% less than a private dentist, but visits are long. | 2700 Martin Luther King Jr. Blvd | Detroit | 48208 | 313-494-6700 | https://dentalpatients.udmercy.edu/ | not stated | Bring a photo ID. You must be free for 2 visits a month. Not everyone is accepted. | https://dentalpatients.udmercy.edu/become-a-patient/ | phone_label=Set up a free screening visit; flags=appointment_required,medicaid
Walk-in dental emergency clinic | University of Detroit Mercy School of Dentistry | health.dental | For bad tooth pain or swelling. Walk in early; first come, first served. An $80 deposit is due before care. | 2700 Martin Luther King Jr. Blvd | Detroit | 48208 | 313-494-6700 | https://dentalpatients.udmercy.edu/ | Doors open 7:30am; first come, first served during dental clinic hours; closing time not stated; closed major holidays and school breaks | If you are not a patient, you can come up to 2 times. | https://dentalpatients.udmercy.edu/emergency.php | phone_label=Main line; flags=walk_in,medicaid
Children's dental clinic | University of Detroit Mercy School of Dentistry | health.dental | A dental clinic for kids 1 to 14, including kids with special health care needs. No referral needed. | 2700 Martin Luther King Jr. Blvd. | Detroit | 48208 | 313-494-6701 | https://dentalpatients.udmercy.edu/ | Monday-Thursday: 8:30 a.m. - 12:30 a.m., 1:30 p.m. - 5 p.m. (as printed) | Ages 1 to 14. A parent must stay in the building. | https://dentalpatients.udmercy.edu/clinics/ | phone_label=Children's dental clinic
Dentist, Michigan Ave | Covenant Community Care | health.dental | Low-cost dentist for kids and adults: exams, cleanings, fillings, root canals, pulling teeth and dentures. | 5716 Michigan Ave | Detroit | 48210 | 313-554-3880 | https://covenantcommunitycare.org | Mon-Fri 8am-4pm | Open to everyone, with or without insurance or money to pay. | https://www.covenantcommunitycare.org/health-services/dental-offices-in-detroit | phone_label=Dental
Dentist, Moross | Covenant Community Care | health.dental | Low-cost dentist for kids and adults: exams, cleanings, fillings, root canals, pulling teeth and dentures. | 20901 Moross Rd | Detroit | 48236 | 313-626-2620 | https://covenantcommunitycare.org | Mon-Fri 8am-4pm | Open to everyone, with or without insurance or money to pay. | https://www.covenantcommunitycare.org/health-services/dental-offices-in-detroit | phone_label=Dental
Dentist, Joy Road | Covenant Community Care | health.dental | Low-cost dentist for kids and adults: exams, cleanings, fillings, root canals, pulling teeth and dentures. | 17625 Joy Rd | Detroit | 48228 | 313-446-8800 | https://covenantcommunitycare.org | Mon 8am-4:30pm; Tue 8am-6:30pm; Wed-Thu 8am-4:30pm; Fri 8am-1pm | Open to everyone, with or without insurance or money to pay. | https://www.covenantcommunitycare.org/health-services/dental-offices-in-detroit | phone_label=Main line, also for the dentist
Vision and hearing checks for kids | Detroit Health Department | health.vision | Free eye and hearing checks for kids 3 to 18. Call to make an appointment. They do not give glasses. | 100 Mack Ave, First Floor | Detroit | | 313-876-0134 | https://detroitmi.gov/departments/detroit-health-department | Monday - Friday from 8:00 AM - 4:30 PM, by appointment only | Children in Detroit, ages 3 to 18. | https://detroitmi.gov/departments/detroit-health-department/programs-and-services/vision-and-hearing-screening | phone_label=Make a screening appointment; flags=appointment_required
Head Start at Harper Gratiot | United Children and Family Head Start | kids.care | Head Start for babies, toddlers and preschoolers, plus help for pregnant women. Now enrolling. | 9641 Harper | Detroit | 48213 | 313-432-1000 | https://www.ucfhs.org/ | not stated | Families with low income who are pregnant or have children under 5. | https://www.ucfhs.org/ | phone_label=Enrollment and questions; flags=pregnant
Detroit Wellness Center | All About Animals Rescue | pets | Walk in for pet shots and checks. Vaccines are $20 each; more for pets that are not fixed. | 2038 Springwells St. | Detroit | 48209 | 586-879-6930 | https://allaboutanimalsrescue.org | Thu 3pm-7pm; Fri 10am-3pm; Sat 10am-3pm | | https://allaboutanimalsrescue.org/veterinary-services/wellness-hours/ | phone_label=Say you are calling about the Detroit location; flags=walk_in
Spay and neuter clinic | Michigan Anti-Cruelty Society | pets | Spay and neuter for cats and dogs. Prices for Detroit, Highland Park and Hamtramck residents start at $75. A deposit is needed. | 13569 Joseph Campau | Detroit | 48212 | 313-369-9863 | https://macsshelter.org | Tue-Fri 8:30am-3:30pm | Lowest prices are for Detroit, Highland Park and Hamtramck residents. | https://macsshelter.org/clinic | phone_label=Clinic appointments (calls 10am-2pm); phone2=313-891-7188; phone2_label=Main office; flags=appointment_required
Operation Feed Fido pet food pantry | Friends for Animals of Metro Detroit | pets | Dog or cat food for people with money trouble. By appointment only. They cannot promise the brand or amount. | 16121 Reckinger Road | Dearborn | 48126 | 313-943-2697 | https://www.metrodetroitanimals.org | By appointment only; office Mon-Sat 9am-11am and 12pm-4pm | People having money trouble. Bring a valid ID. | https://www.metrodetroitanimals.org/services/ | phone_label=Ask for ext. 6002 for a pet food appointment; flags=appointment_required
