# Free help in Detroit City Council District 1, the far northwest side: Brightmoor, Old Redford, Rosedale Park, Grandmont, Evergreen-Outer Drive, Five Points and nearby (ZIPs 48219, 48223, 48235).
# Each listing was read on the organization's own website (or the City of Detroit's page about its own site) on 2026-09-18.
# name | org | category | what | address | city | zip | phone | website | schedule | eligibility | source_url
Client-choice food pantry | Brightmoor Connection Food Pantry | food.pantry | Pick out your own groceries, by appointment. Closed the first Monday of each month and the last week of each month. | 20740 Grand River Avenue | Detroit | 48219 | 313-740-7688 | https://brightmoorconnection.org/ | Mon 1pm-6pm; Tue 2pm-7pm; Wed 10am-1pm | Call to make an appointment. | https://brightmoorconnection.org/
St. Christine's Food Pantry | St. Christine Christian Services | food.pantry | Pick out your own groceries, like bread, vegetables, fruit, meat, eggs, and milk. | 22303 Fenkell | Detroit | 48223 | 313-543-1527 | https://sccsdetroit.org/ | Tue 12pm-2:30pm | Only for people who live in ZIP codes 48223 and 48219. Bring an ID that shows your ZIP code, and bring your own cart or bags. Seniors 70 and older who are in line at 11am go first. | https://sccsdetroit.org/food-pantry
St. Christine Soup Kitchen | St. Christine Christian Services | food.meal | A hot meal every Tuesday, served until the meals are gone. Kids meals and to-go meals too. | 22261 Fenkell | Detroit | 48223 | 313-255-0312 | https://sccsdetroit.org/ | Tue 12pm-2pm |  | https://sccsdetroit.org/soup-kitchen
B'moor Nourished Free Pantry | Brightmoor Artisans Collective | food.pantry | Free groceries, and you choose what you take. Bring your own bags and come early, because it closes when the food runs out. | 22735 Fenkell St. | Detroit | 48223 | 313-437-1057 | https://brightmoorartisans.org/bmoor-nourished-free-pantry | Fri 3pm-4:30pm | No ID and no sign-up needed. You can pick up for another household if you tell the door volunteer. | https://brightmoorartisans.org/contact-us
Hot meals | City Covenant Church | food.meal | Hot meals four days a week. | 13624 Stout Street | Detroit | 48223 | 313-535-1084 | https://citycovenantchurch.org/ | Mon-Thu 4pm-6:30pm |  | https://citycovenantchurch.org/
Food pantry | Detroit Northwest Seventh-day Adventist Church | food.pantry | Groceries from the church food pantry once a month. | 14301 Burt Rd | Detroit | 48223 | 313-538-5755 | https://detroitnorthwestmi.adventistchurch.org/ | Every 4th Thursday at 10am |  | https://detroitnorthwestmi.adventistchurch.org/ministries/community-services/
Neighborhood Wellness Center at WCCCD Northwest Campus | Detroit Health Department | health.clinic | Checks for blood pressure, diabetes, and cholesterol at no cost, plus flu and COVID-19 tests. Health workers can help you find other help. | 8200 West Outer Drive | Detroit | 48219 | 313-943-4000 | https://detroitmi.gov/departments/detroit-health-department | Tue 9am-5pm; Wed 11am-7pm; Sat 10am-2pm |  | https://detroitmi.gov/departments/detroit-health-department/detroit-health-department-locations
Brilliant Detroit, Brightmoor | Brilliant Detroit | youth | A neighborhood house with free programs for young kids and their families, like reading help, fitness, and community meals. Call for times. | 15509 Heyden Street | Detroit | 48223 | 313-483-8896 | https://brilliantcities.org/ | not stated | Families do not pay anything. | https://brilliantcities.org/hub/brightmoor/
Health center at Henry Ford High School | Henry Ford Health | health.clinic | A small doctor's office inside the school, with a nurse practitioner and a therapist. Kids do not have to go to this school to get care there. | 20000 Evergreen | Detroit | 48219 | 313-484-5800 | https://www.henryford.com/services/pediatrics/community/school-based | not stated | For children and teens. No child is turned away for having no insurance, and no one gets a bill. A parent must sign a form first. | https://www.henryford.com/services/pediatrics/community/school-based/centers
Racquet Up Detroit | Racquet Up Detroit | youth | A free after-school program with homework help, tutoring, squash, and a meal at each practice. Staff give rides from school to practice. | 6530 West Outer Drive | Detroit | 48235 | 313-380-2675 | https://racquetup.org/ | not stated | For students in grades 5 to 10 who apply. Kids come 3 days a week. It is not a drop-in program. | https://racquetup.org/contact
Wellspring youth program | Wellspring | youth | Math and reading help, fun activities, field trips, and college prep for young people. It is a Christian program. | 16742 Lamphere | Detroit | 48219 | 313-255-9085 | https://wellspringdetroit.org/ | not stated | Ages 6 to 24. | https://wellspringdetroit.org/contact/
