# Free help in Detroit City Council District 2, the north-central and northwest side (ZIPs 48221, 48235, 48238, 48227, 48203, 48219).
# Each was read on the organization's own site on 2026-09-19.
# name | org | category | what | address | city | zip | phone | website | schedule | eligibility | source_url
St. Vincent de Paul Food Pantry | St. Peter Claver Catholic Community | food.pantry | Free food and other things you need at home. It is in the basement of Mt. Lebanon-Strathmoor Church. | 14400 Puritan St | Detroit | 48227 | 313-342-5292 | https://spcccdetroit.org/ | Tue 10am-1pm | | https://spcccdetroit.org/staff%2Flocations
Twelfth Street Food Pantry | Twelfth Street Food Pantry | food.pantry | Free bags of food, plus free clothes and things for your home. | 1829 Pilgrim | Detroit | 48238 | 313-868-2659 | https://www.twelfthstreetfoodpantry.org/ | Alternating Fridays 10am-12pm and 1pm-3pm; the website shows the next date | | https://www.twelfthstreetfoodpantry.org/contact-us
Grocery give-away | New Prospect Missionary Baptist Church | food.pantry | Free groceries for church members and neighbors. Call to ask when the next one is. | 6330 Pembroke Ave | Detroit | 48221 | 313-341-4204 | https://newnpmbcunity.org/ | not stated | | https://newnpmbcunity.org/ministries/food-distribution/
St. Vincent de Paul at Gesu | Gesu Catholic Church | food.pantry | Free groceries once a month, and short-term help for neighbors in need. Call and leave a message to ask for help. | 17180 Oak Drive | Detroit | 48221 | 313-626-7680 | https://gesudetroit.org/ | not stated | | https://gesudetroit.org/st-vincent-de-paul/
RESPOND free lunch | Westminster Church of Detroit | food.meal | A free healthy lunch for anyone who needs it, such as seniors, families, and people without a home. | 17567 Hubbell Ave | Detroit | 48235 | 313-341-2697 | https://www.wcodetroit.org/ | Most 3rd Saturdays of the month at 12:30pm; call the church office Mon-Fri before 3pm to check which Saturdays | | https://www.wcodetroit.org/community-programs
HUDA Clinic | HUDA Clinic | health.clinic | A free clinic. See a doctor and get free medicine and lab tests. Walk in before 10:30am to see a doctor. Dental, eye, and counseling visits need an appointment. | 13240 Woodrow Wilson St | Detroit | 48238 | 313-865-8446 | https://www.hudaclinic.org/ | Tue, Thu, Sat 8:30am-2pm | For people with no insurance or not enough insurance. New patients sign up in person. | https://www.hudaclinic.org/contact-us.html
IPH Health Center, James Couzens | Institute for Population Health | health.clinic | See a doctor or a dentist. Walk-ins are welcome. They see you even if you have no insurance or cannot pay. | 19830 James Couzens | Detroit | 48235 | 313-309-9350 | https://ipophealth.org/ | Wed-Fri 8am-5pm | You may pay a small fee based on your income. Bring proof of income. | https://ipophealth.org/services/
Nolan Family Medical Center | Detroit Community Health Connection | health.clinic | See a doctor. The dentist is across the street at 62 West Seven Mile Road, phone 313-366-5200. | 111 West Seven Mile Road | Detroit | 48203 | 313-369-2600 | https://www.dchcquality.org/ | Mon, Tue, Wed, Fri 8:30am-5pm; Thu 9:30am-6pm | | https://www.dchcquality.org/nolan-health-center
Advantage Health, West McNichols | Advantage Health Centers | health.clinic | See a doctor, a dentist, or a counselor. They care for people with no insurance and people without a home. | 15400 W McNichols Rd | Detroit | 48235 | 313-416-6262 | https://ahcdetroit.org/ | Mon, Tue, Thu, Fri 8am-5pm; Wed 10am-7pm | | https://ahcdetroit.org/services/medical-services/
Advantage Health, Oakman | Advantage Health Centers | health.clinic | See a doctor, a dentist, or a counselor. They care for people with no insurance and people without a home. | 1355 Oakman Blvd | Detroit | 48238 | 313-416-6262 | https://ahcdetroit.org/ | Mon-Fri 8am-5pm | | https://ahcdetroit.org/services/medical-services/
Brilliant Detroit, Fitzgerald | Brilliant Detroit | youth | A neighborhood house with free programs for young kids and their families, like reading help, fitness, and parent classes. Call for times. | 16919 Prairie Street | Detroit | 48221 | 313-447-0165 | https://brilliantcities.org/ | not stated | Families do not pay anything. | https://brilliantcities.org/hub/fitzgerald/
Brilliant Detroit, Martin Park | Brilliant Detroit | youth | A neighborhood house with free programs for young kids and their families, like reading help, fitness, and parent classes. Call for times. | 16922 Lawton Street | Detroit | 48221 | 313-528-7221 | https://brilliantcities.org/ | not stated | Families do not pay anything. | https://brilliantcities.org/hub/martin-park/
Brilliant Detroit, O'Hair Park | Brilliant Detroit | youth | A neighborhood house with free programs for young kids and their families, like reading help, fitness, and parent classes. Call for times. | 19792 Annchester Rd | Detroit | 48219 | 313-447-0506 | https://brilliantcities.org/ | not stated | Families do not pay anything. | https://brilliantcities.org/hub/ohair-park/
