# Detroit City Council District 7 and the west side near the Joe Louis Greenway Conrail segments (Warren to Joy to Intervale): Warrendale, Cody Rouge, Franklin Park, Plymouth-Hubbell, Nardin Park, Russell Woods, Littlefield; ZIPs 48228, 48227, 48204, 48238.
# Each was read on the organization's own site on 2026-09-18 (the day the research was done). source_url is the page on that site where the phone and street number both appear as text; for St. Suzanne and Ebenezer the hours are on the same site's /services page.
# name | org | category | what | address | city | zip | phone | website | schedule | eligibility | source_url
Weekly food pantry | Islamic Center of Detroit | food.pantry | Free groceries for you and your family. | 14350 Tireman | Detroit | 48228 | 313-584-4143 | https://icdonline.org/ | Sat 2pm-5pm |  | https://icdonline.org/icd-weekly-food-pantry/
Providential Care Food Pantry | New Providence Baptist Church | food.pantry | Free groceries every week. | 18211 Plymouth Rd | Detroit | 48228 | 313-837-0818 | https://www.newprovbaptistdetroit.com/ | Tue 8:30am-10:30am |  | https://www.newprovbaptistdetroit.com/ministries/providential-care-ministry/
Food pantry at the Activities Building | SS. Peter and Paul Parish, Westside Detroit | food.pantry | Free bags of food for families and single people. They do their best not to turn anyone away. | 7718 Westwood | Detroit | 48228 | 313-846-2222 | https://ssppdetroit.net/ | Fourth Friday of every month 2pm-3pm | Mostly for people who live in ZIP code 48228. | https://ssppdetroit.net/christian-service/
Food pantry | Scott Memorial United Methodist Church | food.pantry | Free emergency food. Call first to ask when it is open. | 15361 Plymouth Road | Detroit | 48227 | 313-836-6301 | https://www.scottumc.org/ | not stated | For people who live in ZIP codes 48227, 48228 and 48204. | https://www.scottumc.org/ministries/community-ministries.html
Dinner Church free meal | St. Suzanne Cody Rouge Community Resource Center | food.meal | A free home-cooked meal and a Bible lesson. All are welcome. | 19321 W. Chicago | Detroit | 48228 | 313-493-9129 | https://www.stsuzannecodyrouge.org/ | Mon 5:30pm-6:30pm | All are welcome. | https://www.stsuzannecodyrouge.org/
Gleaners drive-up food | St. Suzanne Cody Rouge Community Resource Center | food.mobile | Drive up and get groceries from the Gleaners Community Food Bank truck. | 19321 W. Chicago | Detroit | 48228 | 313-493-9129 | https://www.stsuzannecodyrouge.org/ | Every Thursday at 11am | Call 313-963-8880 to make an appointment. | https://www.stsuzannecodyrouge.org/
After-school programs with dinner | St. Suzanne Cody Rouge Community Resource Center | youth | After-school coding and robots, arts and crafts, chess, nature club, basketball, and one-on-one reading help. Dinner is provided. | 19321 W. Chicago | Detroit | 48228 | 313-493-9129 | https://www.stsuzannecodyrouge.org/ | Mon-Thu 4pm-6pm | Call 313-493-9129 ext. 1 to learn more. | https://www.stsuzannecodyrouge.org/
Brilliant Detroit Cody Rouge hub | Brilliant Detroit | youth | A neighborhood house for families with young kids. Free programs like reading help, healthy eating, and community meals, plus free diapers, clothes, food, and books. | 7425 Fielding Street | Detroit | 48228 | 313-483-8991 | https://brilliantcities.org/detroit/ | not stated | For families with children ages 0 to 8. | https://brilliantcities.org/detroit/
Brilliant Detroit Littlefield hub | Brilliant Detroit | youth | A neighborhood house for families with young kids. Free programs like reading help, healthy eating, and community meals, plus free diapers, clothes, food, and books. | 12789 Indiana Avenue | Detroit | 48238 | 313-528-7299 | https://brilliantcities.org/detroit/ | not stated | For families with children ages 0 to 8. | https://brilliantcities.org/detroit/
Brilliant Detroit Russell Woods hub | Brilliant Detroit | youth | A neighborhood house for families with young kids. Free programs like reading help, healthy eating, and community meals, plus free diapers, clothes, food, and books. | 4203 Sturtevant Street | Detroit | 48204 | 313-509-3567 | https://brilliantcities.org/detroit/ | not stated | For families with children ages 0 to 8. | https://brilliantcities.org/detroit/
Walk-in help with food and basic needs | Ebenezer Community and Cultural Center | food.pantry | Walk in and talk with a helper about basic needs like food, rides, and keeping your home. There is also a free clothing closet. | 5151 West Chicago Street | Detroit | 48204 | 313-635-3355 | https://ebenezerccc.org/ | Thu 10am-2pm |  | https://ebenezerccc.org/contact-us
