# Detroit Health Department programs, plus one DDOT line. Pages read 2026-09-20 in Kyle's own Chrome, which had
# already passed detroitmi.gov's human check. No challenge was clicked, no form submitted, no cookie banner
# accepted. Every fact below comes only from a City of Detroit page (source_url on each line). No staff name,
# email or direct line is recorded, even where a page printed one (the vision and hearing contact block does).
# The worksheet this fills in is docs/CHECKS-2026-09-19.md section 3; the notes are in
# docs/research/2026-09-20/dhd-and-hand-checks.md.
#
# Notes for the steward:
# - Phone as printed vs phone as dialled. The immunizations pages print "(313) 876-IMMS (4667)". The lines below
#   carry 313-876-4667, the digits the page itself gives in brackets. If `pnpm check:sources` cannot find that
#   number on the page (it is printed with letters), those rows will simply stay `proposed` until a person looks.
# - The Samaritan Center is spelled "Connor" on the locations page and "Conner" on the satellite page. The lines
#   use the satellite page's "Conner St." because that page is their source_url.
# - The satellite centre runs monthly clinics ("Every 2nd Tuesday", "Every 3rd Monday"). Those cannot become a
#   schedule, so they are written as text and the listing will say "call first". That is the honest result.
# - The immunizations satellite hours disagree between two DHD pages (9:00AM-4:00PM, last client 3:30PM on the
#   immunizations page; 9:00 a.m. to 4:30 p.m. on the satellite page). That row is deliberately call-first.
# - WIC at Woodward: the WIC page says ZIP 48202, the locations page says 48235. No ZIP entered. A steward should
#   ask DHD. "WIC at Northwest, 7800 W. Outer Dr. Suite 310" is on the WIC page only, with no hours: no line.
# - Neighborhood Wellness Center "The Open Door, Church of God in Christ", 12411 East Seven Mile Road, 48205, is
#   NOT below: the page prints its phone as "(313) 526-34205", which is not a phone number. Ask DHD.
# - Not written as listings, because no street address is printed with them: the Harm Reduction programme
#   (313-938-3677), the Behavioral Health programme (313-938-3677), the HIV/STI Program outreach line
#   (313-569-6023), food safety complaints (313-876-0135) and the Detroit Safe Routes Ambassadors Program
#   (313-418-8982). "Rides to Care" is now DHD's "Resources and Services for Medical Care Transportation" page,
#   which runs no rides of its own: it is a link-out (Medicaid NEMT via your own plan, 2-1-1, 313-961-BABY).
# - Vital records are not DHD: the page sends people to the Wayne County Clerk's Birth and Death Records
#   Division, 400 Monroe Street Suite 605, 313 224-0270, 8:00 am to 4:30 pm. It belongs under `ids`, from the
#   Clerk's own page, so no line is written here from DHD's page.
# - The held to-verify rows for "Immunizations Clinic, 100 Mack" and "Rides to Care" can now be closed.
# - `health.dhd` is in the taxonomy (docs/03) but no screen queries it yet (see entry-dhd.md). These rows will
#   not appear anywhere until a screen is added; that is a separate decision for Kyle.
Detroit Health Department main clinic | Detroit Health Department | health.dhd | The Health Department's main clinic. Shots, lead tests, eye and hearing checks for kids, help for pregnant women and new families, food safety and more. | 100 Mack Avenue | Detroit | 48201 | 313-876-4000 | https://detroitmi.gov/departments/detroit-health-department | Monday-Friday 8:30am-4:00pm | | https://detroitmi.gov/departments/detroit-health-department/detroit-health-department-locations | phone_label=Health Department main line (TTY 711)
Detroit Health Department at the Samaritan Center | Detroit Health Department | health.dhd | Health Department services on the east side: shots for kids and adults, lead screening, eye and hearing checks, and help finding other services. | 5555 Connor Street, Suite 2224 | Detroit | 48213 | 313-876-4554 | https://detroitmi.gov/departments/detroit-health-department | Monday-Friday 9:30am-4:00pm | | https://detroitmi.gov/departments/detroit-health-department/detroit-health-department-locations | phone_label=Satellite Services Center
Shots for babies, kids and adults | Detroit Health Department | health.dhd | Free or low-cost vaccines at the main clinic. Bring your shot record, a picture ID and your insurance card. The last client is taken at 3:45pm. | 100 Mack Ave | Detroit | 48201 | 313-876-4667 | https://detroitmi.gov/departments/detroit-health-department | Monday-Friday 8:30am-4:30pm | | https://detroitmi.gov/departments/detroit-health-department/programs-and-services/immunizations | phone_label=Shots line, printed as (313) 876-IMMS (4667); flags=walk_in; notice=The page says walk-ins are welcome and that appointments can be made on the same number.
Shots at the Samaritan Center | Detroit Health Department | health.dhd | Vaccines for babies, children and adults on the east side, one day a week. Bring your shot record, a picture ID and your insurance card. | 5555 Conner St., Suite 2224 | Detroit | 48213 | 313-876-4667 | https://detroitmi.gov/departments/detroit-health-department | Wednesdays. The two Health Department pages give different closing times: 9:00AM-4:00PM (last client at 3:30PM) on the immunizations page, 9:00 a.m. to 4:30 p.m. on the satellite page. | | https://detroitmi.gov/departments/detroit-health-department/programs-and-services/immunizations | phone_label=Shots line, printed as (313) 876-IMMS (4667)
Free lead test for kids | Detroit Health Department | health.dhd | A free blood lead test for young children and women who are pregnant. Call to make a time. The program also visits homes and helps get rid of lead. | 100 Mack Avenue (First Floor) | Detroit | 48201 | 313-876-0133 | https://detroitmi.gov/departments/detroit-health-department | Thursdays 8:30am-5:00pm | Children from birth through six years of age and women who are pregnant. | https://detroitmi.gov/departments/detroit-health-department/programs-and-services/childhood-lead-prevention-program | phone_label=Make a lead test appointment; flags=appointment_required,pregnant
Lead Safe Detroit at the Samaritan Center | Detroit Health Department | health.dhd | Lead testing and lead help on the east side, one day a month. Call first. | 5555 Conner St., Suite 2224 | Detroit | 48213 | 313-876-0133 | https://detroitmi.gov/departments/detroit-health-department | Every 2nd Tuesday, 9:00 a.m. to 4:30 p.m. | | https://detroitmi.gov/departments/detroit-health-department/programs-and-services/detroit-health-department-satellite-services-center | phone_label=Lead program
Free HIV and STI testing, treatment and PrEP | Detroit Health Department | health.dhd | The iDecide Clinic tests and treats HIV and STIs, gives PrEP and PEP, and hands out free condoms and lubricant. You are seen whether or not you can pay. | 100 Mack Avenue (First Floor) | Detroit | 48201 | 313-876-4319 | https://detroitmi.gov/departments/detroit-health-department | Monday-Friday 8:00am-4:30pm | | https://detroitmi.gov/departments/detroit-health-department/programs-and-services/sexually-transmitted-diseases-clinic | phone_label=iDecide Clinic; flags=walk_in
iDecide Detroit at the Samaritan Center | Detroit Health Department | health.dhd | Teen-friendly birth control, condoms, and STI testing and treatment on the east side, one day a week. | 5555 Conner St., Suite 2224 | Detroit | 48213 | 833-933-2433 | https://detroitmi.gov/departments/detroit-health-department | Every Thursday, 9:00 a.m. to 4:30 p.m. | | https://detroitmi.gov/departments/detroit-health-department/programs-and-services/detroit-health-department-satellite-services-center | phone_label=iDecide, printed as 833-9-DECIDE
Free radon test kit | Detroit Health Department | health.dhd | Radon has no smell or taste. Pick up a free radon test kit for your home at the Health Department. | 100 Mack Avenue, 3rd Floor | Detroit | 48201 | 313-876-4715 | https://detroitmi.gov/departments/detroit-health-department | 9 a.m. - 5 p.m.; the page does not say which days | | https://detroitmi.gov/departments/detroit-health-department/programs-and-services/environmental-health-and-safety | phone_label=Environmental Health and Safety; flags=walk_in
SisterFriends Detroit | Detroit Health Department | health.dhd | A volunteer mentor walks with you through your pregnancy and your baby's first year, and helps you get to services. | 100 Mack Ave. | Detroit | 48201 | 313-876-0412 | https://detroitmi.gov/departments/detroit-health-department | not stated | Women who are pregnant or who recently had a baby, until the baby's first birthday. | https://detroitmi.gov/departments/detroit-health-department/programs-and-services/sisterfriends-detroit | phone_label=SisterFriends; phone2=313-961-2229; phone2_label=961-BABY; flags=pregnant,women
Children's Special Health Care Services | Detroit Health Department | health.dhd | Help with the cost and care of a long-term illness for young people, one day a month. Call first. | 5555 Conner St., Suite 2224 | Detroit | 48213 | 313-876-4223 | https://detroitmi.gov/departments/detroit-health-department | Every 3rd Monday, 9:00 a.m. to 4:30 p.m. | Young people up to 26 years of age living with one or more of 2700 qualifying medical conditions, and persons of all ages with Sickle Cell Disease, Cystic Fibrosis, or certain blood disorders. Eligibility is based on the diagnosis, severity and treatment plan, not income. | https://detroitmi.gov/departments/detroit-health-department/programs-and-services/detroit-health-department-satellite-services-center | phone_label=CSHCS
Ceasefire Detroit | Detroit Health Department | health.dhd | Mentoring, community help and legal aid support for people caught up in violence. Call for an appointment. | 5555 Conner St., Suite 2224 | Detroit | 48213 | 313-224-1257 | https://detroitmi.gov/departments/detroit-health-department | Call for an appointment. | Program members. | https://detroitmi.gov/departments/detroit-health-department/programs-and-services/detroit-health-department-satellite-services-center | phone_label=Ceasefire Detroit; flags=appointment_required
WIC at Woodward | Detroit Health Department | health.dhd | Free food, formula and food advice for pregnant women, new mothers, babies and children under 5. | 9053 Woodward | Detroit | | 313-876-4555 | https://detroitmi.gov/departments/detroit-health-department | Mon 10am-5pm; Wed 10am-6pm; Fri 10am-5pm | Pregnant women or women who have recently experienced a pregnancy loss, breastfeeding or non-breastfeeding postpartum women, infants, and children up to age 5. All Michigan residents are welcomed. No ZIP code restriction. | https://detroitmi.gov/departments/detroit-health-department/detroit-health-department-locations | phone_label=WIC; flags=pregnant,women; notice=In the IPH Building. The WIC page gives the ZIP as 48202 and the locations page as 48235, so no ZIP is entered.
WIC at Outer Drive | Detroit Health Department | health.dhd | Free food, formula and food advice for pregnant women, new mothers, babies and children under 5. | 7800 W. Outer Drive | Detroit | 48235 | 313-876-4555 | https://detroitmi.gov/departments/detroit-health-department | Mon 10am-6pm; Wed 10am-6pm; Thu 10am-6pm | Pregnant women or women who have recently experienced a pregnancy loss, breastfeeding or non-breastfeeding postpartum women, infants, and children up to age 5. All Michigan residents are welcomed. No ZIP code restriction. | https://detroitmi.gov/departments/detroit-health-department/detroit-health-department-locations | phone_label=WIC; flags=pregnant,women; notice=Inside the Henry Ford Medical Center.
WIC at Michigan | Detroit Health Department | health.dhd | Free food, formula and food advice for pregnant women, new mothers, babies and children under 5. | 5716 Michigan Ave Suite B-202 | Detroit | 48210 | 313-876-4555 | https://detroitmi.gov/departments/detroit-health-department | Mon 10am-5pm; Thu 10am-5pm; Fri 9am-4pm | Pregnant women or women who have recently experienced a pregnancy loss, breastfeeding or non-breastfeeding postpartum women, infants, and children up to age 5. All Michigan residents are welcomed. No ZIP code restriction. | https://detroitmi.gov/departments/detroit-health-department/detroit-health-department-locations | phone_label=WIC; flags=pregnant,women
WIC at West Warren | Detroit Health Department | health.dhd | Free food, formula and food advice for pregnant women, new mothers, babies and children under 5. | 6550 West Warren | Detroit | 48210 | 313-876-4555 | https://detroitmi.gov/departments/detroit-health-department | Mon 10am-5pm; Wed 10am-5pm; Fri 10am-6pm | Pregnant women or women who have recently experienced a pregnancy loss, breastfeeding or non-breastfeeding postpartum women, infants, and children up to age 5. All Michigan residents are welcomed. No ZIP code restriction. | https://detroitmi.gov/departments/detroit-health-department/detroit-health-department-locations | phone_label=WIC; flags=pregnant,women
WIC at Kercheval | Detroit Health Department | health.dhd | Free food, formula and food advice for pregnant women, new mothers, babies and children under 5. | 7900 Kercheval | Detroit | 48214 | 313-876-4555 | https://detroitmi.gov/departments/detroit-health-department | Thu 10am-6pm; Fri 10am-6pm; Sat 9am-2pm | Pregnant women or women who have recently experienced a pregnancy loss, breastfeeding or non-breastfeeding postpartum women, infants, and children up to age 5. All Michigan residents are welcomed. No ZIP code restriction. | https://detroitmi.gov/departments/detroit-health-department/detroit-health-department-locations | phone_label=WIC; flags=pregnant,women
WIC at Samaritan | Detroit Health Department | health.dhd | Free food, formula and food advice for pregnant women, new mothers, babies and children under 5. | 5405 Conner | Detroit | 48213 | 313-876-4555 | https://detroitmi.gov/departments/detroit-health-department | Tue 9am-5pm; Wed 11am-7pm; Sat 10am-2pm | Pregnant women or women who have recently experienced a pregnancy loss, breastfeeding or non-breastfeeding postpartum women, infants, and children up to age 5. All Michigan residents are welcomed. No ZIP code restriction. | https://detroitmi.gov/departments/detroit-health-department/detroit-health-department-locations | phone_label=WIC; flags=pregnant,women; notice=In the Ford Wellness Building.
Neighborhood Wellness Center at Bethel Baptist Church East | Detroit Health Department | health.dhd | Free blood pressure, diabetes and cholesterol checks, COVID-19 and flu testing, and a community health worker on site. | 5715 Holcomb Street, Suite 33 | Detroit | 48213 | 313-923-3060 | https://detroitmi.gov/departments/detroit-health-department | Mon 10am-5pm; Wed 10am-6pm; Fri 10am-5pm | | https://detroitmi.gov/departments/detroit-health-department/detroit-health-department-locations | phone_label=Wellness center; flags=walk_in
Neighborhood Wellness Center at Southwestern Church of God | Detroit Health Department | health.dhd | Free blood pressure, diabetes and cholesterol checks, COVID-19 and flu testing, and a community health worker on site. | 3032 South Fort Street | Detroit | 48217 | 313-386-7960 | https://detroitmi.gov/departments/detroit-health-department | Mon 10am-6pm; Wed 10am-6pm; Thu 10am-6pm | | https://detroitmi.gov/departments/detroit-health-department/detroit-health-department-locations | phone_label=Wellness center; flags=walk_in
Neighborhood Wellness Center at Hartford Memorial Baptist | Detroit Health Department | health.dhd | Free blood pressure, diabetes and cholesterol checks, COVID-19 and flu testing, and a community health worker on site. In the Head Start Building. | 14000 West Seven Mile Road | Detroit | 48235 | 313-861-1285 | https://detroitmi.gov/departments/detroit-health-department | Mon 10am-5pm; Thu 10am-6pm; Fri 10am-5pm | | https://detroitmi.gov/departments/detroit-health-department/detroit-health-department-locations | phone_label=Wellness center; flags=walk_in
Neighborhood Wellness Center at Triumph Church | Detroit Health Department | health.dhd | Free blood pressure, diabetes and cholesterol checks, COVID-19 and flu testing, and a community health worker on site. At the Central Campus. | 15801 Joy Road | Detroit | 48228 | 313-386-8044 | https://detroitmi.gov/departments/detroit-health-department | Mon 10am-5pm; Wed 10am-5pm; Fri 10am-5pm | | https://detroitmi.gov/departments/detroit-health-department/detroit-health-department-locations | phone_label=Wellness center; flags=walk_in
Neighborhood Wellness Center at Historic King Solomon Baptist Church | Detroit Health Department | health.dhd | Free blood pressure, diabetes and cholesterol checks, COVID-19 and flu testing, and a community health worker on site. | 6100 14th Street | Detroit | 48208 | 313-355-2150 | https://detroitmi.gov/departments/detroit-health-department | Thu 10am-6pm; Fri 10am-6pm; Sat 9am-2pm | | https://detroitmi.gov/departments/detroit-health-department/detroit-health-department-locations | phone_label=Wellness center; flags=walk_in
Reduced fare bus ID card | Detroit Department of Transportation | transport | Seniors 65 and older, people with disabilities, Medicare cardholders and students pay 50 cents a ride with a reduced fare ID card. Bring your form to the Rosa Parks Transit Center; they take your picture there. | 360 Michigan Ave. | Detroit | 48226 | 313-933-1300 | https://detroitmi.gov/departments/detroit-department-transportation | Monday-Friday 8:00am-3:30pm | Seniors (ages 65 and older), people with disabilities, Medicare cardholders, and students with proper school ID. Students are those between ages 5 and 18 and must show a current school ID card. | https://detroitmi.gov/departments/detroit-department-transportation/transportation-fares | phone_label=DDOT Customer Service (also 3-1-1, TDD/TTY 7-1-1); flags=walk_in,seniors,disability; notice=Pictures are taken 8:00 a.m. to 3:30 p.m. Monday to Friday, and a filled-out form can be dropped off in the same hours. Students ride DDOT buses for free.
