# Food bank stops and drive-up pantries in the four cities, 2026-09-20. Forgotten Harvest and Gleaners own the facts
# about their own distributions (DECISIONS 2026-09-19); each row's source is that food bank's own page. Notes and held
# rows: docs/research/2026-09-19-new-help/entry-food-gaps.md.
Mobile food pantry at Body Of Christ International | Forgotten Harvest | food.mobile | Free groceries from a Forgotten Harvest truck. It ends when the food runs out. | 9555 St. Mary’s St | Detroit | 48227 | 248-967-1500 | https://www.forgottenharvest.org/ | Some Fridays 9am-11:30am. Forgotten Harvest lists the dates two weeks at a time. Call first. | | https://www.forgottenharvest.org/find-food/ | phone_label=Forgotten Harvest main line; notice=Forgotten Harvest's list showed this stop on both Fridays in the two weeks read on Sep 19, 2026.
Mobile food pantry at Grace Church of the Nazarene | Forgotten Harvest | food.mobile | Free groceries from a Forgotten Harvest truck. It ends when the food runs out. | 18020 Hoover | Detroit | 48205 | 248-967-1500 | https://www.forgottenharvest.org/ | Some Fridays 9am-noon. Forgotten Harvest lists the dates two weeks at a time. Call first. | | https://www.forgottenharvest.org/find-food/ | phone_label=Forgotten Harvest main line
Mobile food pantry at Gompers/Brightmoor Alliance | Forgotten Harvest | food.mobile | Free groceries from a Forgotten Harvest truck. It ends when the food runs out. | 14450 Burt Rd | Detroit | 48223 | 248-967-1500 | https://www.forgottenharvest.org/ | Some Fridays 9:30am-11:30am. Forgotten Harvest lists the dates two weeks at a time. Call first. | | https://www.forgottenharvest.org/find-food/ | phone_label=Forgotten Harvest main line
Mobile food pantry at Prayer Temple of Love | Forgotten Harvest | food.mobile | Free groceries from a Forgotten Harvest truck. It ends when the food runs out. | 12375 Woodward Ave | Highland Park | 48203 | 248-967-1500 | https://www.forgottenharvest.org/ | Some Mondays 9am-11am. Forgotten Harvest lists the dates two weeks at a time. Call first. | | https://www.forgottenharvest.org/find-food/ | phone_label=Forgotten Harvest main line
Mobile food pantry at Jesus Tabernacle of Deliverance | Forgotten Harvest | food.mobile | Free groceries from a Forgotten Harvest truck. It ends when the food runs out. | 11001 Chalmers Rd | Detroit | 48213 | 248-967-1500 | https://www.forgottenharvest.org/ | Some Wednesdays 9am-noon. Forgotten Harvest lists the dates two weeks at a time. Call first. | | https://www.forgottenharvest.org/find-food/ | phone_label=Forgotten Harvest main line
Mobile food pantry at First Baptist Institutional Church | Forgotten Harvest | food.mobile | Free groceries from a Forgotten Harvest truck. It ends when the food runs out. | 17101 W Seven Mile Rd | Detroit | 48235 | 248-967-1500 | https://www.forgottenharvest.org/ | Some Wednesdays 9am-11am. Forgotten Harvest lists the dates two weeks at a time. Call first. | | https://www.forgottenharvest.org/find-food/ | phone_label=Forgotten Harvest main line
Mobile food pantry at Freedom Ain’t Free | Forgotten Harvest | food.mobile | Free groceries from a Forgotten Harvest truck. It ends when the food runs out. | 16129 Plymouth Rd | Detroit | 48227 | 248-967-1500 | https://www.forgottenharvest.org/ | Some Wednesdays 10am-noon. Forgotten Harvest lists the dates two weeks at a time. Call first. | | https://www.forgottenharvest.org/find-food/ | phone_label=Forgotten Harvest main line
Mobile food pantry at Goodwill Integrated Solutions | Forgotten Harvest | food.mobile | Free groceries from a Forgotten Harvest truck. It ends when the food runs out. | 14201 Prospect | Dearborn | 48126 | 248-967-1500 | https://www.forgottenharvest.org/ | Some Wednesdays 11am-1pm. Forgotten Harvest lists the dates two weeks at a time. Call first. | | https://www.forgottenharvest.org/find-food/ | phone_label=Forgotten Harvest main line
Mobile food pantry at Jalen Rose Leadership Academy | Forgotten Harvest | food.mobile | Free groceries from a Forgotten Harvest truck. It ends when the food runs out. | 15000 Trojan St | Detroit | 48235 | 248-967-1500 | https://www.forgottenharvest.org/ | Some Wednesdays 11:30am-1:30pm. Forgotten Harvest lists the dates two weeks at a time. Call first. | | https://www.forgottenharvest.org/find-food/ | phone_label=Forgotten Harvest main line
Mobile food pantry at Nexus Detroit | Forgotten Harvest | food.mobile | Free groceries from a Forgotten Harvest truck. It ends when the food runs out. | 15042 Burt Rd | Detroit | 48223 | 248-967-1500 | https://www.forgottenharvest.org/ | Some Wednesdays 2:30pm-4:30pm. Forgotten Harvest lists the dates two weeks at a time. Call first. | | https://www.forgottenharvest.org/find-food/ | phone_label=Forgotten Harvest main line
Mobile food pantry at Northwestern Community Baptist Church | Forgotten Harvest | food.mobile | Free groceries from a Forgotten Harvest truck. It ends when the food runs out. | 20225 Fenkell St | Detroit | 48223 | 248-967-1500 | https://www.forgottenharvest.org/ | Some Thursdays 9am-11am. Forgotten Harvest lists the dates two weeks at a time. Call first. | | https://www.forgottenharvest.org/find-food/ | phone_label=Forgotten Harvest main line
