# Chrome pass round 3, 2026-09-23: held leads on sites that refuse the pipeline, read in Kyle's Chrome by an AI agent;
# Kyle approves as steward (DECISIONS 2026-09-23, decision 1). Record: docs/CHECKS-2026-09-23.md, round 3.
# Staff names and staff extensions are never used (Jefferson House's director's ext. 5522; ACCESS's ESL contact).
# Wayne Metro's program pages print one line for every program, (313) 388-9799, and no street address, so those rows are
# phone only. None says Head Start is free, so no Head Start row says so; tax preparation says FREE, so that row does.
Head Start at Wayne Metro ACCESS | Wayne Metro Community Action Agency | kids.prek | Head Start for children 3 to 5, and Early Head Start for babies and pregnant moms. Classes Monday to Friday, September to June. | 2651 Saullino Ct | Dearborn |  | 313-202-0552 | https://www.waynemetro.org | not stated | Families with income at or below the poverty line, or who get TANF, SSI or SNAP; children who are homeless or in foster care. A few places for families above the line. | https://www.waynemetro.org/headstart/ | phone_label=This center; phone2=(313) 388-9799; phone2_label=Wayne Metro Connect Center; flags=pregnant
Head Start at Wayne Metro Art SPACE | Wayne Metro Community Action Agency | kids.prek | Head Start for children 3 to 5, and Early Head Start for babies and pregnant moms. Classes Monday to Friday, September to June. | 13615 Michigan Ave | Dearborn |  | 313-479-4366 | https://www.waynemetro.org | not stated | Families with income at or below the poverty line, or who get TANF, SSI or SNAP; children who are homeless or in foster care. A few places for families above the line. | https://www.waynemetro.org/headstart/ | phone_label=This center; phone2=(313) 388-9799; phone2_label=Wayne Metro Connect Center; flags=pregnant
Head Start at Wayne Metro Dearborn South | Wayne Metro Community Action Agency | kids.prek | Head Start for children 3 to 5, and Early Head Start for babies and pregnant moms. Classes Monday to Friday, September to June. | 2623 Salina St | Dearborn |  | 313-202-0552 | https://www.waynemetro.org | not stated | Families with income at or below the poverty line, or who get TANF, SSI or SNAP; children who are homeless or in foster care. A few places for families above the line. | https://www.waynemetro.org/headstart/ | phone_label=This center; phone2=(313) 388-9799; phone2_label=Wayne Metro Connect Center; flags=pregnant
Head Start at Wayne Metro COTS | Wayne Metro Community Action Agency | kids.prek | Head Start for children 3 to 5, and Early Head Start for babies and pregnant moms. Classes Monday to Friday, September to June. | 16630 Wyoming Ave | Detroit |  | 947-426-0936 | https://www.waynemetro.org | not stated | Families with income at or below the poverty line, or who get TANF, SSI or SNAP; children who are homeless or in foster care. A few places for families above the line. | https://www.waynemetro.org/headstart/ | phone_label=This center; phone2=(313) 388-9799; phone2_label=Wayne Metro Connect Center; flags=pregnant
Head Start at Wayne Metro DAAS | Wayne Metro Community Action Agency | kids.prek | Head Start for children 3 to 5, and Early Head Start for babies and pregnant moms. Classes Monday to Friday, September to June. | 2985 E Jefferson Ave | Detroit |  | 313-259-1744 | https://www.waynemetro.org | not stated | Families with income at or below the poverty line, or who get TANF, SSI or SNAP; children who are homeless or in foster care. A few places for families above the line. | https://www.waynemetro.org/headstart/ | phone_label=This center; phone2=(313) 388-9799; phone2_label=Wayne Metro Connect Center; flags=pregnant
Head Start at Wayne Metro Hamtramck | Wayne Metro Community Action Agency | kids.prek | Head Start for children 3 to 5, and Early Head Start for babies and pregnant moms. Classes Monday to Friday, September to June. | 12031 Mitchell | Hamtramck |  | 313-880-2472 | https://www.waynemetro.org | not stated | Families with income at or below the poverty line, or who get TANF, SSI or SNAP; children who are homeless or in foster care. A few places for families above the line. | https://www.waynemetro.org/headstart/ | phone_label=This center; phone2=(313) 388-9799; phone2_label=Wayne Metro Connect Center; flags=pregnant
Head Start at Wayne Metro Highland Park | Wayne Metro Community Action Agency | kids.prek | Head Start for children 3 to 5, and Early Head Start for babies and pregnant moms. Classes Monday to Friday, September to June. | 138 Cortland St | Highland Park |  | 313-634-5560 | https://www.waynemetro.org | not stated | Families with income at or below the poverty line, or who get TANF, SSI or SNAP; children who are homeless or in foster care. A few places for families above the line. | https://www.waynemetro.org/headstart/ | phone_label=This center; phone2=(313) 388-9799; phone2_label=Wayne Metro Connect Center; flags=pregnant
Senior food boxes, Stansbury pick-up | Wayne Metro Community Action Agency | food.pantry | A monthly box of food for people 60 and older. Pick it up on Stansbury, or ask about delivery if you live within 10 miles. | 13660 Stansbury Ave | Detroit | 48227 | (313) 388-9799 | https://www.waynemetro.org | not stated | Age 60 or older, and on SNAP, SSI, FDPIR, the Low-Income Subsidy or a Medicare Savings Plan, or under the income limit. | https://www.waynemetro.org/food/ | phone_label=Connect Center; flags=seniors
Free tax preparation, Wayne Metro | Wayne Metro Community Action Agency | money.tax | Free tax preparation by IRS-certified preparers, including returns up to three years late, and credits like the Earned Income and Home Heating credits. |  |  |  | (313) 388-9799 | https://www.waynemetro.org | not stated | Income up to $69,000. Online self-preparation for income up to $89,000. | https://www.waynemetro.org/taxes/ | phone_label=Schedule an appointment
Detroit Tax Relief Fund | Wayne Metro Community Action Agency | housing.owner | Help paying off old property tax debt, for Detroit homeowners who have been approved for the HOPE exemption. |  |  |  | (866) 313-2520 | https://www.waynemetro.org | not stated | Detroit homeowners who own and live in the home. Apply for HOPE first. | https://www.waynemetro.org/propertytax/ | phone_label=Schedule an appointment
Help for veterans at risk of losing housing (SSVF) | Wayne Metro Community Action Agency | veterans | For veterans who are homeless or about to be: a security deposit, back rent, utility bills, moving costs, and help getting VA and other benefits. |  |  |  | (313) 388-9799 | https://www.waynemetro.org | not stated | Veterans not dishonorably discharged, with income under 80% of the area median, who are homeless or about to be. | https://www.waynemetro.org/ssvf-veteran-support/ | phone_label=Connect Center; flags=veterans
Adult classes: GED, English and citizenship | Wayne Metro Community Action Agency | learn.school | GED classes, English classes, and help getting ready for the citizenship test and the N-400 form. |  |  |  | (313) 388-9799 | https://www.waynemetro.org | not stated | Adults. | https://www.waynemetro.org/leaps/ | phone_label=Register
Paid job training, Wayne Metro | Wayne Metro Community Action Agency | jobs.training | Paid on-the-job training in customer service, weatherization and teaching, with free coaching on money, computers and work. |  |  |  | (313) 388-9799 | https://www.waynemetro.org | not stated | | https://www.waynemetro.org/employment/ | phone_label=Apply; flags=paid_training
Jefferson House | Capuchin Soup Kitchen | treatment.residential | Free live-in treatment for men with a drug or alcohol problem who cannot pay: twelve beds, six to nine months, with twelve-step meetings and paid work. Most men come from an inpatient program. Call for an admission interview. | 8311 E. Jefferson | Detroit | 48214 | (313) 331-8900 | https://www.cskdetroit.org | Mon-Fri 8am-5pm | Men who cannot pay. Admission when a bed is free. | https://www.cskdetroit.org/services-offerings/jefferson-house/ | phone_label=Call for an admission interview; flags=men
Detroit Animal Care | City of Detroit | pets | The City's animal shelter: find a lost pet, adopt a dog or cat, and get a dog license. | 1431 E Ferry St | Detroit | 48211 | (313) 922-3647 | https://detroitmi.gov | Adoptions every day 10:30am-5:30pm; animal intake every day 10:30am-3pm | | https://detroitmi.gov/departments/general-services-department/detroit-animal-care-and-control/detroit-animal-care |
Free supper for kids at Adams Butzel Center | Detroit Parks & Recreation | food.meal | A free supper for kids 18 and under in the after-school programs. Eat it there; there is no take-home. | 10500 Lyndon | Detroit |  | (313) 224-1100 | https://detroitmi.gov | Mon-Fri 4:30pm-6:30pm | Children 18 and under taking part in the center's after-school programs. | https://detroitmi.gov/departments/detroit-parks-recreation/recreation-centers/food-resources | phone_label=Detroit Parks & Recreation; flags=youth
Free supper for kids at Farwell Recreation Center | Detroit Parks & Recreation | food.meal | A free supper for kids 18 and under in the after-school programs. Eat it there; there is no take-home. | 2711 E. Outer Dr. | Detroit |  | (313) 224-1100 | https://detroitmi.gov | Wed, Fri 4:30pm-6:30pm | Children 18 and under taking part in the center's after-school programs. | https://detroitmi.gov/departments/detroit-parks-recreation/recreation-centers/food-resources | phone_label=Detroit Parks & Recreation; flags=youth
Free supper for kids at Kemeny Recreation Center | Detroit Parks & Recreation | food.meal | A free supper for kids 18 and under in the after-school programs. Eat it there; there is no take-home. | 2260 S. Fort St. | Detroit |  | (313) 224-1100 | https://detroitmi.gov | Mon-Fri 4:30pm-6:30pm | Children 18 and under taking part in the center's after-school programs. | https://detroitmi.gov/departments/detroit-parks-recreation/recreation-centers/food-resources | phone_label=Detroit Parks & Recreation; flags=youth
Free supper for kids at Racquet Up | Detroit Parks & Recreation | food.meal | A free supper for kids 18 and under in the after-school programs. Eat it there; there is no take-home. | 6530 W. Outer Dr. | Detroit |  | (313) 224-1100 | https://detroitmi.gov | Mon-Thu 4:30pm-6:30pm | Children 18 and under taking part in the center's after-school programs. | https://detroitmi.gov/departments/detroit-parks-recreation/recreation-centers/food-resources | phone_label=Detroit Parks & Recreation; flags=youth
Free supper for kids at Patton Recreation Center | Detroit Parks & Recreation | food.meal | A free supper for kids 18 and under in the after-school programs. Eat it there; there is no take-home. | 2301 Woodmere | Detroit |  | (313) 224-1100 | https://detroitmi.gov | Mon, Tue, Thu, Fri 4:30pm-6:30pm | Children 18 and under taking part in the center's after-school programs. | https://detroitmi.gov/departments/detroit-parks-recreation/recreation-centers/food-resources | phone_label=Detroit Parks & Recreation; flags=youth
Frozen meals for seniors at Adams Butzel Recreation | Detroit Area Agency on Aging | food.pantry | A pack of five frozen meals to take home, for people 60 and older. First come, first served, while they last. | 10500 Lyndon | Detroit |  | (313) 224-1100 | https://detroitmi.gov | Wed 11:30am-1pm | Age 60 or older. | https://detroitmi.gov/departments/detroit-parks-recreation/recreation-centers/food-resources | phone_label=Detroit Parks & Recreation; flags=seniors
Frozen meals for seniors at Butzel Family Center | Detroit Area Agency on Aging | food.pantry | A pack of five frozen meals to take home, for people 60 and older. First come, first served, while they last. | 7737 Kercheval | Detroit |  | (313) 224-1100 | https://detroitmi.gov | Wed 11am-12:30pm | Age 60 or older. | https://detroitmi.gov/departments/detroit-parks-recreation/recreation-centers/food-resources | phone_label=Detroit Parks & Recreation; flags=seniors
Frozen meals for seniors at Patton Recreation Center | Detroit Area Agency on Aging | food.pantry | A pack of five frozen meals to take home, for people 60 and older. First come, first served, while they last. | 2301 Woodmere | Detroit |  | (313) 224-1100 | https://detroitmi.gov | Wed 11:30am-1pm | Age 60 or older. | https://detroitmi.gov/departments/detroit-parks-recreation/recreation-centers/food-resources | phone_label=Detroit Parks & Recreation; flags=seniors
Frozen meals for seniors at Joseph Walker Williams Recreation Center | Detroit Area Agency on Aging | food.pantry | A pack of five frozen meals to take home, for people 60 and older. First come, first served, while they last. | 8431 Rosa Parks Blvd. | Detroit |  | (313) 224-1100 | https://detroitmi.gov | Wed 11:30am-1pm | Age 60 or older. | https://detroitmi.gov/departments/detroit-parks-recreation/recreation-centers/food-resources | phone_label=Detroit Parks & Recreation; flags=seniors
Hot lunch for seniors at Farwell Recreation Center | Detroit Area Agency on Aging | food.meal | A hot lunch on weekdays for people 60 and older, eaten at the center. A small donation is asked. | 2711 E. Outer Dr. | Detroit |  | (313) 224-1100 | https://detroitmi.gov | not stated | Age 60 or older. | https://detroitmi.gov/departments/detroit-parks-recreation/recreation-centers/food-resources | phone_label=Detroit Parks & Recreation; flags=seniors
Gleaners groceries at the Northwest Activities Center | Detroit Parks & Recreation | food.pantry | Free groceries every other Monday, 2pm to 4pm. Call for the dates. | 18100 Meyers Rd | Detroit | 48235 | (313) 578-7500 | https://detroitmi.gov | Every other Monday 2pm-4pm | | https://detroitmi.gov/departments/detroit-parks-recreation/recreation-centers/food-resources |
English classes for adults, ACCESS | ACCESS | learn.english | English classes for adults all year, in five levels. You are placed in a class that fits your English. Sign-up opens three times a year. |  |  |  | (313) 203-3406 | https://www.accesscommunity.org | not stated | Adults. | https://www.accesscommunity.org/education/adult-programs | phone_label=Adult and Family Learning
Michigan Works! job center, Dearborn | ACCESS | jobs.find | Help finding a job, at the ACCESS One-Stop Employment and Human Services Center. | 6451 Schaefer Road | Dearborn | 48126 | (313) 945-8380 | https://www.accesscommunity.org | not stated | | https://www.accesscommunity.org/contact |
Care in early pregnancy and after birth, Planned Parenthood Detroit | Planned Parenthood of Michigan | health.prenatal | Pregnancy tests, care for early pregnancy concerns like pain or bleeding, miscarriage care, care after birth, and help thinking through your options. Insurance is not required; the fee depends on your income. | 4229 Cass Ave. | Detroit | 48201 | 313-831-7776 | https://www.plannedparenthood.org | not stated | | https://www.plannedparenthood.org/health-center/michigan/detroit/48201/detroit-health-center-2890-90630 | flags=pregnant,sliding_fee
STD and HIV testing, Planned Parenthood Detroit | Planned Parenthood of Michigan | health.sexual | Tests for STDs and HIV. Insurance is not required; the fee depends on your income. | 4229 Cass Ave. | Detroit | 48201 | 313-831-7776 | https://www.plannedparenthood.org | not stated | | https://www.plannedparenthood.org/health-center/michigan/detroit/48201/detroit-health-center-2890-90630 | flags=sliding_fee
Prenatal care, CHASS Center | Community Health and Social Services (CHASS) | health.prenatal | Care all through pregnancy and after the baby is born: regular checkups, ultrasounds, advice on eating well, rides to appointments, and doula services. Babies are delivered at Henry Ford Hospital. | 5635 West Fort Street | Detroit | 48209 | 313.849.3920 | https://chasscenter.org | not stated | | https://chasscenter.org/health/list/Prenatal-Care | flags=pregnant
