# Read in Kyle's Chrome on 2026-09-23 by an AI agent; Kyle approves as steward (DECISIONS 2026-09-23, decision 1).
# These sites refuse the pipeline, so after import each row is set active with entry_method=web by hand, as on 2026-09-20.
# New St. Paul: https://nspheadstart.org/locations/ lists ten Detroit centers with phones. Its pages do not say the program
# is free, so no line says so. SER: https://sermetro.org/locations/ and the youth program pages. ACCESS: the service is on
# https://www.accesscommunity.org/human-services/immigration-and-citizenship (a fee-for-service program with a sliding
# scale; the only number there is a named staff member's direct line, which we never use); the row's phone and address
# are the One-Stop center's general line on https://www.accesscommunity.org/contact. LeadSafe: phone only; the page prints
# no street address, and it is a program a person calls, not a door.
Head Start at New St. Paul Bible Way 1 | New St. Paul Head Start Agency | kids.prek | Head Start preschool for children 3 to 5. Now enrolling. | 16431 Plymouth | Detroit | 48227 | 313-659-0142 | https://nspheadstart.org | not stated | Children who are 3 by September 1, up to age 5. | https://nspheadstart.org/locations/ | phone_label=This center; phone2=(313) 835-4400; phone2_label=Main office
Early Head Start at New St. Paul Bible Way 2 | New St. Paul Head Start Agency | kids.prek | Early Head Start for babies and toddlers under 3, and for pregnant moms. Now enrolling. | 16401 Plymouth | Detroit | 48227 | 313-272-2048 | https://nspheadstart.org | not stated | Babies and toddlers under 3, and pregnant women. | https://nspheadstart.org/locations/ | phone_label=This center; phone2=(313) 835-4400; phone2_label=Main office; flags=pregnant
Head Start at New St. Paul Citadel of Praise | New St. Paul Head Start Agency | kids.prek | Head Start preschool for children 3 to 5. Now enrolling. | 14595 Heyden | Detroit | 48223 | 313-533-3947 | https://nspheadstart.org | not stated | Children who are 3 by September 1, up to age 5. | https://nspheadstart.org/locations/ | phone_label=This center; phone2=(313) 835-4400; phone2_label=Main office
Head Start and Early Head Start at New St. Paul Corpus Christi | New St. Paul Head Start Agency | kids.prek | Head Start for children 3 to 5, and Early Head Start for babies, toddlers and pregnant moms. Now enrolling. | 19900 Evergreen Rd | Detroit | 48219 | 313-326-4238 | https://nspheadstart.org | not stated | Pregnant women, and children up to age 5. | https://nspheadstart.org/locations/ | phone_label=This center; phone2=(313) 835-4400; phone2_label=Main office; flags=pregnant
Early Head Start at New St. Paul Greater Burnette | New St. Paul Head Start Agency | kids.prek | Early Head Start for babies and toddlers under 3, and for pregnant moms. Now enrolling. | 16801 Schoolcraft | Detroit | 48227 | 313-273-6020 | https://nspheadstart.org | not stated | Babies and toddlers under 3, and pregnant women. | https://nspheadstart.org/locations/ | phone_label=This center; phone2=(313) 835-4400; phone2_label=Main office; flags=pregnant
Head Start at New St. Paul Greater Grace | New St. Paul Head Start Agency | kids.prek | Head Start preschool for children 3 to 5. Now enrolling. | 23500 W. 7 Mile Rd. | Detroit | 48219 | 313-543-6177 | https://nspheadstart.org | not stated | Children who are 3 by September 1, up to age 5. | https://nspheadstart.org/locations/ | phone_label=This center; phone2=(313) 835-4400; phone2_label=Main office
Early Head Start at New St. Paul New Westside Central | New St. Paul Head Start Agency | kids.prek | Early Head Start for babies and toddlers under 3, and for pregnant moms. Now enrolling. | 19840 W. Chicago | Detroit | 48228 | 313-836-4330 | https://nspheadstart.org | not stated | Babies and toddlers under 3, and pregnant women. | https://nspheadstart.org/locations/ | phone_label=This center; phone2=(313) 835-4400; phone2_label=Main office; flags=pregnant
Head Start at New St. Paul St. John | New St. Paul Head Start Agency | kids.prek | Head Start preschool for children 3 to 5. Now enrolling. | 4950 Oakman Blvd. | Detroit | 48204 | 313-933-3980 | https://nspheadstart.org | not stated | Children who are 3 by September 1, up to age 5. | https://nspheadstart.org/locations/ | phone_label=This center; phone2=(313) 835-4400; phone2_label=Main office
Early Head Start at New St. Paul Summer Preschool Early Learning | New St. Paul Head Start Agency | kids.prek | Early Head Start for babies and toddlers under 3, and for pregnant moms. Now enrolling. | 3121 W. McNichols Rd. | Detroit | 48221 | 313-345-5111 | https://nspheadstart.org | not stated | Babies and toddlers under 3, and pregnant women. | https://nspheadstart.org/locations/ | phone_label=This center; phone2=(313) 835-4400; phone2_label=Main office; flags=pregnant
Head Start at New St. Paul Third New Hope | New St. Paul Head Start Agency | kids.prek | Head Start preschool for children 3 to 5. Now enrolling. | 12850 Plymouth Rd. | Detroit | 48227 | 313-931-1834 | https://nspheadstart.org | not stated | Children who are 3 by September 1, up to age 5. | https://nspheadstart.org/locations/ | phone_label=This center; phone2=(313) 835-4400; phone2_label=Main office
Youth job training, east side | SER Metro-Detroit | jobs.training | Career coaching, free job training if you qualify, paid work experience, tutoring, and help getting your official documents. | 5555 Conner St. | Detroit | 48213 | 313-945-5200 ext. 4200 | https://sermetro.org | not stated | Ages 16 to 24 in Detroit, in school or out of school. | https://sermetro.org/program-service/youth-programs-services/year-round-youth/ | flags=youth,paid_training
