# Health care in the 71 places added on 2026-09-24 (every city and township a DDOT or SMART bus reaches, outside
# Detroit, Hamtramck, Highland Park and Dearborn): clinics, dentists, eye care, care in pregnancy, HIV and STI tests,
# mental-health support places, and urgent care. Batch "health", written 2026-09-24.
# Method: every page was read on the organization's own site (or its own page on its county's official site) on
# 2026-09-24, fetched one page at a time with the pipeline's own honest user agent (pipeline/src/page-match.ts
# fetchPage), and each line's phone and street number were then checked on its source_url with the same strict
# matcher `pnpm check:sources` uses (listingOnPage). Web search, and HRSA's public list of health-center sites, were
# used ONLY to find organizations; no fact on any line comes from a search snippet, HRSA's list, or a directory.
# No emergency rooms (another step), no crisis lines, no Detroit Health Department rows.
#
# Notes for the steward:
# - Cost words: a line says "free" only where the owner's page says free or no cost. FQHC lines say "you pay based on
#   your income" only where the owner's page says sliding fee or discounts by income. Every health.urgent line says
#   it is NOT free: Corewell's and Henry Ford-GoHealth's pages say "insurance and self-pay".
# - Facts spread over several pages of one owner's site: the source_url is the page that shows both the phone and the
#   street address; the rest came from the same site:
#   * Western Wayne Family Health Centers: walk-ins, sliding fee and the dental emergency walk-in hours are on
#     wwfhc.org/services/ and wwfhc.org/cost-2/; addresses, phones and each suite's hours on wwfhc.org/locations/.
#     WWFHC's PrEP page (wwfhc.org/prep/) gives no address, so there is no health.sexual line for WWFHC.
#   * Oakland County Health Division: walk-in only, the fees ($10 visit, $12 per vaccine) and "no one will be denied"
#     are on .../public-health-services/clinic-services; what the sexual-health visit covers is on
#     .../clinic-services/sexual-health-services. The SOUTHFIELD phone (248-424-7000) is printed only on
#     .../about/contact-us, so both Southfield lines use that page as source_url.
#   * Macomb County Health Department, St. Clair Shores shots: hours are on .../family-health-services/immunization-clinic,
#     which prints no St. Clair Shores phone; that line uses the Health Department page (address + 586-466-6800).
#   * Honor Community Health: "we serve all patients regardless of ability to pay" and income-based discounts are on
#     honorcommunityhealth.org/honor-cares-program/; school centers "open to non-students" and ages 3-21 are on
#     honorcommunityhealth.org/schoolhealth/.
#   * Wellness Plan: OB/GYN days per site and "underinsured and uninsured" are on wellplan.com (home page);
#     addresses, phones and hours on wellplan.com/contact-locations/.
#   * Downriver Community Clinic: "primary care at no cost" and "proof of employment or school enrollment" are on
#     downrivercommunityclinic.org/about; address and phone on the home page.
#   * Crossroads Clubhouse: "participation is free ... no referral is needed" is on MCCMH's page
#     (mccmh.net/crossroads-clubhouse/), which gives the phone but not the address; the clubhouse's own site has both.
#   * CNS drop-in centers (F.A.I.R., Comfort Zone Unlimited) are listed on cnshealthcare.org/locations as
#     "Consumer-Run Drop-In Centers" with address, phone and hours; the page says nothing about who may come, so
#     both lines say to call first.
# - Rows with NO address, on purpose (a nurse comes to you, or the place is not named on the page): the three county
#   home-visiting lines (health.prenatal) and Oakland's children's vision screening line (its page says "at our
#   offices" without naming one). They carry a phone only. Healthy Families America Wayne's phone is a 313 number and
#   its page names no office; it serves all of Wayne County "including Detroit" - keep or drop as the steward prefers.
# - Two rows share an address with a different organization on purpose: Oakland County's clinic and Honor Community
#   Health both work at 1200 N Telegraph (Pontiac) and 27725 Greenfield (Southfield); Wayne County's public health
#   clinic and Wayne County Healthy Communities (an FQHC) both work at 33030 Van Born (Wayne). Different phones.
# - Macomb's family-planning lines (birth control, pregnancy tests) are health.clinic, a second service at the same
#   Health Department doors as the shots lines, with their own phone and hours.
# - Gary Burnstein Community Health Clinic: its "Become a Patient" page says new-patient applications are paused for
#   30 days (read 2026-09-24); the three lines carry that as a notice. Re-check in late October.
# - Corewell Health Urgent Care - West Bloomfield: its page prints no phone at all, so the line has an address only.
# - Oakland 360 Care Center (Honor's walk-in center) is health.urgent: same-day walk-in care 7 days a week, with the
#   Honor Cares income discount; its page says it does NOT do STI testing.
# Held, not listed (a person could finish these):
# - Health Centers Detroit Foundation, Greenfield Health Center, 23077 Greenfield Ste 400, Southfield: hcdmg.org says
#   "Temporarily Closed Due to Fire".
# - CHASS Westland (35180 Nankin Blvd): on HRSA's list, but chasscenter.org lists only its two Detroit sites.
# - Advantage Health Centers, Warren (12200 E 13 Mile Rd; 4669 E 8 Mile Rd): advantagehealthcenters.org serves a page
#   with almost no text to a script. Needs a person with a browser.
# - Detroit Community Health Connection, Harper Woods (20303 Kelly Rd): no website could be found without search.
# - Family Medical Center of Michigan, Southgate (13101 Allen Rd): no website could be found without search (fmcmi.org
#   is an unrelated site).
# - Authority Health's Anne Mare' Ice Pediatric center: HRSA lists it in Southfield, but authorityhealth.org now gives a
#   Detroit address (12121 Broadstreet), so it is not in this batch.
# - Planned Parenthood (Ferndale and others) and TTI's clubhouse (Oxford, outside the area): not listed. The
#   Planned Parenthood page a script receives has no health-center details.
# - Macomb and Wayne-suburb mental-health drop-in centers besides the ones below: DWIHN's and MCCMH's provider
#   directories are search forms, not pages.
# name | org | category | what | address | city | zip | phone | website | schedule | eligibility | source_url | extras
#
# ---------- Wayne County ----------
Inkster health center | Western Wayne Family Health Centers | health.clinic | See a doctor for check-ups, sick visits and long-term health problems. Walk-ins are often taken; come early. If you have no insurance, you pay based on your income. | 2700 Hamlin Blvd | Inkster | 48141 | 313-561-5100 | https://wwfhc.org/ | Mon 8am-5pm; Tue 8am-7pm; Wed 8am-6pm; Thu 8am-7pm; Fri 8am-5pm | Open to everyone, with or without insurance. Bring a photo ID and insurance cards. If you have no insurance, bring proof of income. | https://wwfhc.org/locations/ | flags=walk_in,sliding_fee,medicaid
Dentist in Inkster | Western Wayne Family Health Centers | health.dental | Low-cost dentist for kids and adults. For a bad toothache, walk in Monday to Friday, 8:30am to 3pm. If you have no insurance, you pay based on your income. | 2700 Hamlin Blvd | Inkster | 48141 | 313-561-5100 | https://wwfhc.org/ | Mon-Thu 8am-6:30pm; Fri 8:30am-5pm | Open to everyone, with or without insurance. | https://wwfhc.org/locations/ | flags=sliding_fee,medicaid
Taylor health center | Western Wayne Family Health Centers | health.clinic | See a doctor. Family care is in Suite C. Care for kids and OB/GYN care is in Suite E. If you have no insurance, you pay based on your income. | 26650 Eureka Rd, Suite C & E | Taylor | 48180 | 313-561-5100 | https://wwfhc.org/ | Mon 8:20am-5pm; Tue 8:20am-6pm; Wed 8:20am-5pm; Thu 8:20am-6pm; Fri 8:20am-5pm | Open to everyone, with or without insurance. The hours are Suite C's; Suite E keeps different hours. | https://wwfhc.org/locations/ | flags=walk_in,sliding_fee,medicaid
Dentist in Taylor | Western Wayne Family Health Centers | health.dental | Low-cost dentist for kids and adults. For a bad toothache, walk in Monday to Friday, 8:30am to 3pm. If you have no insurance, you pay based on your income. | 26650 Eureka Rd | Taylor | 48180 | 313-561-5100 | https://wwfhc.org/ | Mon 9:30am-6pm; Tue-Fri 8:30am-5pm | Open to everyone, with or without insurance. | https://wwfhc.org/locations/ | flags=sliding_fee,medicaid
Pregnancy care in Taylor | Western Wayne Family Health Centers | health.prenatal | OB/GYN care, including care while you are pregnant, in Suite E. If you have no insurance, you pay based on your income. | 26650 Eureka Rd, Suite E | Taylor | 48180 | 313-561-5100 | https://wwfhc.org/ | Mon-Wed 8:20am-5pm; Thu 9:20am-6pm; Fri 8:20am-5pm | Open to everyone, with or without insurance. | https://wwfhc.org/locations/ | flags=sliding_fee,medicaid
Lincoln Park health center | Western Wayne Family Health Centers | health.clinic | See a doctor for check-ups, sick visits and long-term health problems. Open some Saturday mornings. If you have no insurance, you pay based on your income. | 25650 W Outer Dr | Lincoln Park | 48146 | 313-561-5100 | https://wwfhc.org/ | Mon 8:20am-5pm; Tue 8am-6pm; Wed 8am-5pm; Thu 8:20am-6pm; Fri 8:20am-5pm; Sat 8:20am-noon | Open to everyone, with or without insurance. | https://wwfhc.org/locations/ | flags=walk_in,sliding_fee,medicaid
Dentist in Lincoln Park | Western Wayne Family Health Centers | health.dental | Low-cost dentist for kids and adults. For a bad toothache, walk in Monday to Friday, 8:30am to 3pm. If you have no insurance, you pay based on your income. | 25650 W Outer Dr | Lincoln Park | 48146 | 313-561-5100 | https://wwfhc.org/ | Mon 9:30am-6pm; Tue-Fri 8:30am-5pm | Open to everyone, with or without insurance. | https://wwfhc.org/locations/ | flags=sliding_fee,medicaid
Shots at the Wayne County public health clinic | Wayne County Health, Human & Veterans Services | health.clinic | Shots (vaccines) for children, and some for adults. Call to make an appointment. Bring shot records and your insurance or Medicaid card. | 33030 Van Born Rd | Wayne | 48184 | 734-727-7100 | https://www.waynecountymi.gov/Government/Departments/Health-Human-Veterans-Services | Mon-Tue 8am-4:30pm; Wed 11am-7:30pm; Thu-Fri 8am-4:30pm | A child must come with a parent or legal guardian. With no insurance, they ask $10 for each shot, but no one is turned away for not being able to pay. | https://www.waynecountymi.gov/Government/Departments/Health-Human-Veterans-Services/Clinical-Care-Services/Public-Health-Clinic-Services | flags=appointment_required
HIV and STI tests at the Wayne County public health clinic | Wayne County Health, Human & Veterans Services | health.sexual | Tests and treatment for gonorrhea, chlamydia and syphilis, and HIV tests. Call for an appointment; you may get one the same day. They ask for a $10 fee. | 33030 Van Born Rd | Wayne | 48184 | 734-727-7100 | https://www.waynecountymi.gov/Government/Departments/Health-Human-Veterans-Services | Mon-Tue 8am-3:30pm; Wed 11am-6:30pm; Thu-Fri 8am-3:30pm | Teens do not need a parent's OK. | https://www.waynecountymi.gov/Government/Departments/Health-Human-Veterans-Services/Clinical-Care-Services/Public-Health-Clinic-Services | flags=appointment_required
Free vision and hearing checks for kids, Wayne County | Wayne County Health, Human & Veterans Services | health.vision | Free eye and hearing checks for kids 3 to 18, by appointment on the 3rd Friday of each month. If they find a problem, they will tell you to see a doctor. | 33030 Van Born Rd | Wayne | 48184 | 734-727-7136 | https://www.waynecountymi.gov/Government/Departments/Health-Human-Veterans-Services | 3rd Friday of each month, by appointment. Call first. | Children ages 3 to 18. | https://www.waynecountymi.gov/Government/Departments/Health-Human-Veterans-Services/Public-Health/Childrens-Healthcare-Support-Services/Hearing-Vision | flags=appointment_required,youth
# HELD (lead, 2026-09-24): no office is named and the program serves all of Wayne County including Detroit; a row must be a place in one of the 71 new places.
# Home visits while pregnant, Wayne County | Wayne County Health, Human & Veterans Services | health.prenatal | Healthy Families America Wayne: free home visits from pregnancy until your baby turns 3. Classes, support, and help finding other services. | | | | 313-537-1708 | https://www.waynecountymi.gov/Government/Departments/Health-Human-Veterans-Services | Call first | Low-income women 13 and older and their babies, living in Wayne County (Detroit too). | https://www.waynecountymi.gov/Government/Departments/Health-Human-Veterans-Services/Public-Health/Maternal-Child-Health/Healthy-Families-America-Wayne-Program | flags=pregnant
