# Kids, goods and community help in the 71 new places (area widened 2026-09-24, DECISIONS).
# Categories: kids.care, kids.prek, youth, youth.advocacy, rec.center, connect, transport, pets, goods.clothes, goods.baby,
#   goods.home, goods.personal, assault. rec.library comes from the federal-library batch.
# Method: each fact read on the organization's own site (or its city/county's official page) with the pipeline's own
#   honest user agent or WebFetch on 2026-09-24; web search used only to find sites. Every line was run through the
#   importer's parser and the check:sources matcher by the researcher; # BROWSER lines are sites that refuse scripts.
# Combined by the lead from six researched parts. Per-line steward notes stay directly above their lines.

# ---- part: part-connect-transport-pets.txt ----
# NOTE: Hours printed twice on the page: the new hours (from July 13, 2026) close Sundays and Mondays; an older paragraph lower down still says "open Monday". We use the new hours. Free rabies shot is with the purchase of a dog license, Fridays 9am-noon.
Oakland County Animal Shelter | Oakland County Animal Shelter and Pet Adoption Center | pets | The county animal shelter: look for a lost pet, adopt a dog or cat, and buy a dog license. Free rabies shot for your dog when you buy its license, Fridays 9am to noon. Ask about help with end-of-life care for a pet. | 1200 North Telegraph Road, Building 42E | Pontiac | 48341 | 248-858-1070 | https://www.oakgov.com/community/pet-adoption | Tue 10am-7pm; Wed 10am-5pm; Thu 10am-7pm; Fri 10am-5pm; Sat 10am-4pm | | https://www.oakgov.com/community/pet-adoption | phone_label=Pet Adoption Center; phone2=248-858-1090; phone2_label=Animal Control
# NOTE: The eligibility and the appointment rule are on the county's pet food pantry page, https://www.macombgov.org/departments/animal-control/programs/pet-food-pantry (it shows no street address, so the source is the Animal Control page, which shows the door and phone).
Pet food pantry, Macomb County Animal Control | Macomb County Animal Control | pets | Free pet food to help keep your pet at home when money is tight. Curbside pickup by appointment only. Food is donated, so the brand may change. | 21417 Dunham Rd | Clinton Township | 48036 | 586-469-5115 | https://www.macombgov.org/departments/animal-control | By appointment, Mon-Fri 10am-4pm | Macomb County residents, but not Eastpointe, Mount Clemens, Sterling Heights or Warren. Bring a driver's license or other ID. Dogs need a current rabies shot and dog license. Pets must be companions, not for breeding. | https://www.macombgov.org/departments/animal-control | flags=appointment_required
# NOTE: Warren is closed Saturday 9/26/26 (the page sends people to a $10 vaccine and microchip clinic at the Warren DPW that day).
Warren Wellness Center, All About Animals Rescue | All About Animals Rescue | pets | Walk in for low-cost pet shots, microchips and checks. Most vaccines are $20 each; more for pets that are not fixed. | 23451 Pinewood St. | Warren | 48091 | 586-879-1745 | https://allaboutanimalsrescue.org | Tue 10am-6pm; Wed-Thu 1pm-7pm; Fri 10am-6pm; Sat 10am-3pm | | https://allaboutanimalsrescue.org/veterinary-services/wellness-hours/ | flags=walk_in; phone2=586-757-2000; phone2_label=Also call; notice=Clinics are very busy by phone. You can leave a message or text 586-435-1745.
Auburn Hills Wellness Center, All About Animals Rescue | All About Animals Rescue | pets | Walk in for low-cost pet shots, microchips and checks. Most vaccines are $20 each; more for pets that are not fixed. Some care for sick pets by appointment. | 2660 Auburn #400 | Auburn Hills | 48326 | 248-212-0781 | https://allaboutanimalsrescue.org | Wed 1pm-7pm; Thu 3pm-7pm; Fri 10am-6pm; Sat 10am-3pm | | https://allaboutanimalsrescue.org/veterinary-services/wellness-hours/ | flags=walk_in
# NOTE: Prices and the Warren low-income special are on https://allaboutanimalsrescue.org/veterinary-services/all-about-pricing/ (read 2026-09-24): cats $50, dogs $150 "limited time"; Warren residents with proof of state assistance $10 cat / $25 dog. The page says it is booking 6 months out.
Low-cost spay and neuter, All About Animals Rescue Warren | All About Animals Rescue | pets | Low-cost spay and neuter for cats and dogs, by appointment. Warren residents who get state assistance pay less. Call or text if you cannot pay the fee. | 23451 Pinewood Street | Warren | 48091 | 586-879-1745 | https://allaboutanimalsrescue.org | By appointment | Any pet owner. Lowest price for Warren residents with proof of state assistance and where they live. | https://allaboutanimalsrescue.org/veterinary-services/request-spay-or-neuter-appointment/request-a-warren-appointment/ | flags=appointment_required; notice=Book online. They are scheduling about 6 months out. You can also text 586-435-1745.
Low-cost pet shots, Tail Waggers Livonia | Tail Waggers 1990 | pets | Low-cost pet shots, tests and checkups at a nonprofit wellness center. Every income level is welcome; you do not need to qualify. First visit has a one-time $20 fee. | 16322 Middlebelt Rd. | Livonia | 48154 | (734) 855-4077 | https://tailwaggers1990.org | Call first. The schedule changes every week. | Anyone. | https://tailwaggers1990.org/wellness-center/ | flags=appointment_required
Pet food pantry, Tail Waggers Livonia | Tail Waggers 1990 | pets | Free pet food for up to 6 months when times are hard, for up to 5 pets. No walk-ins: call to enroll and get a pickup time. | 16322 Middlebelt Rd. | Livonia | 48154 | (734) 855-4077 | https://tailwaggers1990.org | By appointment | Tail Waggers clients come first, but new pet owners are welcome. Pets need proof of up-to-date shots to stay on the program. | https://tailwaggers1990.org/pantry-for-paws/ | flags=appointment_required
Pet food pantry, New Beginnings Animal Rescue | New Beginnings Animal Rescue | pets | Free dog and cat food once a month, for up to 3 months at a time. Bring your own clean bucket or container. | 2502 Rochester Rd | Royal Oak | 48073 | 248-543-4070 | https://www.nbarmichigan.org | Sun 12pm-2pm | Bring ID each time. Up to 5 pets. Not for stray or community cats. Closed on holiday weekends. | https://www.nbarmichigan.org/pet-food-pantry.html
