# Work, school, money, legal help, IDs, veterans, disability and seniors in the 71 places added on 2026-09-24
# (every city and township a DDOT or SMART bus reaches: 24 in Wayne, 32 in Oakland, 15 in Macomb). Batch `work-money-legal`.
# Categories: jobs.find, jobs.training, learn.school, learn.english, money.tax, money.benefits, legal, legal.immigration,
# ids, veterans, disability, seniors. (ids.mail: nothing found; see the end of this file.)
# Method: read on each organization's own site (or its own page on its city's, county's or the State's official site)
# on 2026-09-24, with a page reader that sends the same user agent as `pnpm check:sources` and extracts the page text the
# same way; WebFetch or a browser only where a site refuses scripts (those lines carry a `# BROWSER:` comment). Web search
# was used only to find sites, and ran out part way (session budget); after that, pages were found by following links
# from owners' home pages and reading their sitemaps. No fact comes from a search snippet or a directory.
# Every line (except the BROWSER ones) was checked the way check:sources will: the source_url page shows the phone
# (and phone2) and the street address. Rows with no phone show their house number and street on the source page.
# "Free" appears only where the owner's page says free / no cost. No staff names, no emails.
# Flags use `appointment_required` (docs/03), not `appointment`.
# Per-line notes for the steward are `# note:` lines directly above the line they concern.
# name | org | category | what | address | city | zip | phone | website | schedule | eligibility | source_url | extras

# ======== jobs ========
# Help finding a job (jobs.find) and free job training (jobs.training) in the 71 places added on 2026-09-24.
# Read on each organization's own site (or its own page on its county's site) on 2026-09-24, with the project's
# page reader (the same fetch pnpm check:sources uses) and, where a site refuses scripts, WebFetch. Web search was used
# only to find sites; no fact comes from a search snippet or a directory.
# Notes for the steward:
# - Oakland County Michigan Works! runs its centers through partners: Goodwill of Greater Detroit runs Pontiac and
#   Novi (goodwilldetroit.org), the Troy School District runs Troy, Gesher Human Services runs Waterford. The county's
#   own page (oaklandcountymi.gov/business/workforce-development/about) lists Novi, Oak Park, Pontiac, Troy and
#   Waterford, says the services are free, and lists "Tuition Assistance for Education/Training".
# - NOT listed on purpose: Oak Park (22180 Parklawn) — the county page says "*Closing September 25, 2026". Southfield
#   (21415 Civic Center Dr) closed June 30, 2026; the county says a new center for southern Oakland County "will open in
#   early Fall 2026". Add it when the county names the address.
# - SEMCA Michigan Works! (semcamiworks.org) refuses scripts (403). Its Wayne and Wyandotte centers are sourced from
#   the Downriver Community Conference's pages (dccwf.org), which operates them and which scripts can read. SEMCA's own
#   page (read with WebFetch) gives the Wyandotte center's phone as 734.362.3466; DCC's pages give 734-362-7070 and
#   say "please call 734-362-7070". We list DCC's number. SEMCA's Livonia and Southgate centers are gone (Southgate
#   moved to Wyandotte).
# - Macomb/St. Clair Michigan Works! centers print "Hours 8am - 5pm (Excluding Holidays)" with no days, so they arrive
#   call-first. The Port Huron center is outside the area.
# - Not repeated here because another file in this batch already has them: Chaldean Community Foundation job help,
#   Sterling Heights (part-learn.txt) and STEP Western Wayne job coaching, Westland (part-vd.txt).
Michigan Works! Novi service center | Oakland County Michigan Works! | jobs.find | Free help finding a job: computers, job search tools, workshops on resumes and interviews, job fairs and career coaching. Help with an unemployment claim. Some programs can help pay for training. | 31186 Beck Road | Novi | 48377 | (248) 926-1820 | https://www.oaklandcountymi.gov/business/workforce-development | Mon-Fri 8am-5pm | Open to everyone. Some programs have rules about who can join. For same-day help with an unemployment claim, come by 3:30pm. | https://www.goodwilldetroit.org/career-centers/michigan-works-novi/ |
Michigan Works! Pontiac service center | Oakland County Michigan Works! | jobs.find | Free help finding a job: computers, job search tools, workshops on resumes and interviews, job fairs and career coaching. Help with an unemployment claim. Some programs can help pay for training. | 1850 North Perry | Pontiac | 48340 | 248-276-1777 | https://www.oaklandcountymi.gov/business/workforce-development | Mon-Fri 8am-5pm | Open to everyone. Some programs have rules about who can join. For same-day help with an unemployment claim, come by 3:30pm. | https://www.goodwilldetroit.org/career-centers/michigan-works-pontiac/ |
# note: Troy's own page says Mon-Fri 8:00-4:30 and "On days the Troy School District is closed, please call in advance";
# the county's page says 8:00-5:00. We used the shorter hours. The Troy site also still shows 2023 holiday notices.
Michigan Works! Troy service center | Oakland County Michigan Works! | jobs.find | Help finding a full-time job, career advisors, and help paying for short-term training. Help registering for work for unemployment. | 550 Stephenson Highway, Suite 400 | Troy | 48083 | 248-823-5101 | https://www.oaklandcountymi.gov/business/workforce-development | Mon-Fri 8am-4:30pm | Oakland County residents come first. For same-day unemployment registration, come by 3:30pm. Call first on days Troy schools are closed. | https://www.troymichiganworks.com/contact-us.html |
# note: source is the county's page (7500 Highland Road, 248-617-3600, "Hours 8:00 a.m. - 5:00 p.m."). The center's own
# contact page (waterfordmiworks.org/contact-us/) was read by script at 11:55 on 2026-09-24 and said "7500 Highland Rd,
# Waterford Twp", "Monday-Friday 8:00 am - 5:00 pm" and "UIA registration ends at 3:30 pm daily"; minutes later its
# firewall (Sucuri) began answering scripts with HTTP 307, so it cannot be the source_url. It is run by Gesher.
Michigan Works! Waterford service center | Oakland County Michigan Works! | jobs.find | Free help finding a job: job search help, career coaching, workshops, job fairs, and help paying for training. Unemployment registration. | 7500 Highland Road | Waterford Township | 48327 | 248-617-3600 | https://www.oaklandcountymi.gov/business/workforce-development | Mon-Fri 8am-5pm | Unemployment registration ends at 3:30pm. | https://www.oaklandcountymi.gov/business/workforce-development/about |
Michigan Works! Warren career center | Michigan Works! Macomb/St. Clair | jobs.find | Help finding a job, getting ready for interviews, workshops, and training programs. On the 4th floor. | 30500 Van Dyke Avenue | Warren | 48093 | (586) 574-2170 | https://msc-mw.org/ | 8am-5pm except holidays. The site does not list the days. Call first. | | https://msc-mw.org/location/warren-career-center/ |
Michigan Works! Roseville career center | Michigan Works! Macomb/St. Clair | jobs.find | Help finding a job, getting ready for interviews, workshops, and training programs. | 15950 Twelve Mile Road | Roseville | 48066 | (586) 447-9200 | https://msc-mw.org/ | 8am-5pm except holidays. The site does not list the days. Call first. | | https://msc-mw.org/location/roseville-career-center/ |
Michigan Works! Clinton Township career center | Michigan Works! Macomb/St. Clair | jobs.find | Help finding a job, getting ready for interviews, workshops, and training programs. | 43630 Hayes Road | Clinton Township | 48038 | (586) 263-1501 | https://msc-mw.org/ | 8am-5pm except holidays. The site does not list the days. Call first. | | https://msc-mw.org/location/clinton-twp-career-center/ |
Michigan Works! job center, Wayne | SEMCA Michigan Works! | jobs.find | Help finding a job and career help at an American Job Center. Call to make an appointment with a career advisor. | 35731 W Michigan Ave. | Wayne | 48184 | 734-858-4284 | https://semcamiworks.org | Mon-Fri 8am-5pm | | https://dccwf.org/locations/ |
