sal_id,freq,interval,byday,bymonthday,dtstart,until,valid_from,valid_to,opens_at,closes_at,description
sal_csk_meldrum_meals,WEEKLY,,"MO,TU,WE,TH,FR",,2026-09-14,,,,08:30,09:30,Breakfast
sal_csk_meldrum_meals,WEEKLY,,"MO,TU,WE,TH,FR",,2026-09-14,,,,11:00,13:00,Lunch
sal_csk_conner_meals,WEEKLY,,"MO,TU,WE,TH,FR,SA",,2026-09-14,,,,08:30,09:30,Breakfast
sal_csk_conner_meals,WEEKLY,,"MO,TU,WE,TH,FR,SA",,2026-09-14,,,,11:00,13:00,Lunch
sal_csk_conner_meals,WEEKLY,,"MO,TU,WE,TH,FR",,2026-09-14,,,,16:00,17:00,Dinner
sal_pope_francis_day_center,WEEKLY,,"MO,TU,WE,TH,FR,SA",,2026-09-14,,,,07:00,11:00,
sal_crossroads_sunday_meal,WEEKLY,,SU,,2026-09-14,,,,11:00,14:00,
sal_focus_hope_seniors_west,WEEKLY,,"MO,TU,WE,TH",,2026-09-14,,,,08:00,16:00,
sal_focus_hope_seniors_west,WEEKLY,,FR,,2026-09-14,,,,08:00,12:00,
sal_focus_hope_seniors_east,WEEKLY,,"MO,TU,WE,TH",,2026-09-14,,,,08:00,16:00,
sal_focus_hope_seniors_east,WEEKLY,,FR,,2026-09-14,,,,08:00,12:00,
sal_csk_conner_showers,WEEKLY,,"TU,TH",,2026-09-14,,,,09:00,13:00,
sal_thaw_utility_help,WEEKLY,,"MO,TU,WE,TH,FR",,2026-09-14,,,,08:00,16:45,Phone hours
sal_wayne_metro_connect_center,WEEKLY,,"MO,TU,WE,TH,FR",,2026-09-14,,,,08:00,18:00,Phone hours
sal_wayne_metro_connect_center,WEEKLY,,SA,,2026-09-14,,,,09:00,12:00,Phone hours
sal_chass_southwest,WEEKLY,,"MO,WE,TH,FR",,2026-09-14,,,,08:00,17:00,
sal_chass_southwest,WEEKLY,,TU,,2026-09-14,,,,08:00,20:00,
sal_chass_southwest,WEEKLY,,SA,,2026-09-14,,,,08:00,12:00,
sal_covenant_care_michigan_ave,WEEKLY,,"MO,TU",,2026-09-14,,,,08:00,20:00,
sal_covenant_care_michigan_ave,WEEKLY,,"WE,TH,FR",,2026-09-14,,,,08:00,17:00,
sal_covenant_care_joy_rd,WEEKLY,,"MO,WE,TH,FR",,2026-09-14,,,,08:00,16:30,Medical
sal_covenant_care_joy_rd,WEEKLY,,TU,,2026-09-14,,,,08:00,18:00,Medical
sal_ruth_ellis_drop_in,WEEKLY,,"MO,WE",,2026-09-14,,,,15:00,20:30,
sal_ruth_ellis_drop_in,WEEKLY,,TH,,2026-09-14,,,,11:00,14:00,Resource day
sal_detroit_parks_adams_butzel_complex,WEEKLY,,"MO,TU,WE,TH,FR",,2026-09-14,,,,08:00,21:00,
sal_detroit_parks_adams_butzel_complex,WEEKLY,,SA,,2026-09-14,,,,09:00,17:00,
sal_detroit_parks_community_center_at_ab_ford,WEEKLY,,"MO,TU,WE,TH,FR",,2026-09-14,,,,09:00,19:00,
sal_detroit_parks_community_center_at_ab_ford,WEEKLY,,SA,,2026-09-14,,,,10:00,18:00,
sal_detroit_parks_butzel_family_center,WEEKLY,,"MO,TU,WE,TH,FR",,2026-09-14,,,,08:00,19:00,
sal_detroit_parks_chandler_park_fieldhouse,WEEKLY,,"MO,TU,WE,TH,FR",,2026-09-14,,,,07:00,21:00,
sal_detroit_parks_chandler_park_fieldhouse,WEEKLY,,SA,,2026-09-14,,,,08:00,17:00,
sal_detroit_parks_clemente_recreation_center,WEEKLY,,"MO,TU,WE,TH,FR",,2026-09-14,,,,11:00,19:00,
sal_detroit_parks_clemente_recreation_center,WEEKLY,,SA,,2026-09-14,,,,09:00,17:00,
sal_detroit_parks_coleman_a_young_community_center,WEEKLY,,"MO,TU,WE,TH,FR",,2026-09-14,,,,08:00,21:00,
sal_detroit_parks_coleman_a_young_community_center,WEEKLY,,SA,,2026-09-14,,,,09:00,17:00,
sal_detroit_parks_crowell_recreation_center,WEEKLY,,"MO,TU,WE,TH,FR",,2026-09-14,,,,11:00,19:00,
sal_detroit_parks_crowell_recreation_center,WEEKLY,,SA,,2026-09-14,,,,09:00,17:00,
sal_detroit_parks_farwell_recreation_center,WEEKLY,,"MO,TU,WE,TH,FR",,2026-09-14,,,,11:00,19:00,
sal_detroit_parks_farwell_recreation_center,WEEKLY,,SA,,2026-09-14,,,,09:00,17:30,
sal_detroit_parks_heilmann_recreation_center,WEEKLY,,"MO,TU,WE,TH,FR",,2026-09-14,,,,08:00,21:00,
sal_detroit_parks_heilmann_recreation_center,WEEKLY,,SA,,2026-09-14,,,,09:00,17:00,
sal_detroit_parks_helen_moore_community_center,WEEKLY,,"MO,TU,WE,TH,FR",,2026-09-14,,,,11:00,19:00,
sal_detroit_parks_helen_moore_community_center,WEEKLY,,SA,,2026-09-14,,,,09:00,17:00,
sal_detroit_parks_joseph_walker_williams_center,WEEKLY,,"MO,TU,WE,TH,FR",,2026-09-14,,,,08:00,20:00,
sal_detroit_parks_joseph_walker_williams_center,WEEKLY,,SA,,2026-09-14,,,,09:00,17:00,
sal_detroit_parks_kemeny_recreation_center,WEEKLY,,"MO,TU,WE,TH,FR",,2026-09-14,,,,08:00,21:00,
sal_detroit_parks_kemeny_recreation_center,WEEKLY,,SA,,2026-09-14,,,,09:00,17:00,
sal_detroit_parks_lasky_recreation_center,WEEKLY,,"MO,TU,WE,TH,FR",,2026-09-14,,,,11:00,19:00,
sal_detroit_parks_lasky_recreation_center,WEEKLY,,SA,,2026-09-14,,,,09:00,17:00,
sal_detroit_parks_northwest_activities_center,WEEKLY,,"MO,TU,WE,TH,FR",,2026-09-14,,,,08:00,21:00,
sal_detroit_parks_northwest_activities_center,WEEKLY,,SA,,2026-09-14,,,,09:00,17:00,
sal_detroit_parks_patton_community_center,WEEKLY,,"MO,TU,WE,TH,FR",,2026-09-14,,,,08:00,21:00,
sal_detroit_parks_patton_community_center,WEEKLY,,SA,,2026-09-14,,,,09:00,17:00,
sal_auntie_na_s_free_food_boxes,WEEKLY,,FR,,2026-09-14,,,,14:00,17:00,
sal_auntie_na_s_free_food_boxes,WEEKLY,,SA,,2026-09-14,,,,12:00,14:00,
sal_detroit_community_dr_feleta_wilson_health_center,WEEKLY,,MO,,2026-09-14,,,,09:30,18:00,
sal_detroit_community_dr_feleta_wilson_health_center,WEEKLY,,"TU,WE,TH,FR",,2026-09-14,,,,08:30,17:00,
sal_american_indian_medical_clinic,WEEKLY,,"MO,TU,WE",,2026-09-14,,,,08:30,17:00,
sal_american_indian_medical_clinic,WEEKLY,,TH,,2026-09-14,,,,10:30,19:00,
sal_american_indian_medical_clinic,WEEKLY,,FR,,2026-09-14,,,,08:30,17:00,
sal_detroit_public_bowen_branch_library,WEEKLY,,MO,,2026-09-14,,,,10:00,18:00,
sal_detroit_public_bowen_branch_library,WEEKLY,,TU,,2026-09-14,,,,12:00,20:00,
sal_detroit_public_bowen_branch_library,WEEKLY,,WE,,2026-09-14,,,,10:00,18:00,
sal_detroit_public_bowen_branch_library,WEEKLY,,TH,,2026-09-14,,,,12:00,20:00,
sal_detroit_public_bowen_branch_library,WEEKLY,,SA,,2026-09-14,,,,10:00,18:00,
sal_st_peter_s_manna_community_meal,WEEKLY,,"MO,TU,WE,FR,SA",,2026-09-14,,,,08:00,10:00,
sal_st_peter_s_corner_shower_and_laundry,WEEKLY,,"MO,TU,WE,FR,SA",,2026-09-14,,,,07:30,11:00,
sal_st_frances_cabrini_clinic,WEEKLY,,TU,,2026-09-14,,,,12:00,19:00,
sal_st_frances_cabrini_clinic,WEEKLY,,WE,,2026-09-14,,,,13:00,18:00,
sal_st_frances_cabrini_clinic,WEEKLY,,TH,,2026-09-14,,,,12:00,19:00,
sal_loaves_and_ste_anne_pantry,WEEKLY,,WE,,2026-09-14,,,,13:00,15:00,
sal_hamtramck_public_library,WEEKLY,,"MO,TU,WE",,2026-09-14,,,,09:00,17:00,
sal_hamtramck_public_library,WEEKLY,,TH,,2026-09-14,,,,09:00,19:00,
sal_hamtramck_public_library,WEEKLY,,FR,,2026-09-14,,,,09:00,17:00,
sal_wayne_county_hamtramck_health_center,WEEKLY,,"MO,TU,TH,FR",,2026-09-14,,,,09:00,18:00,
sal_wayne_county_hamtramck_health_center,WEEKLY,,WE,,2026-09-14,,,,09:00,21:00,
sal_detroit_friendship_nutrition_pantry,WEEKLY,,"TU,TH",,2026-09-14,,,,14:00,16:00,
sal_detroit_friendship_nutrition_pantry,WEEKLY,,SA,,2026-09-14,,,,09:00,12:00,
sal_deo_gratias_free_hot_meals_at_the_cafe,WEEKLY,,"MO,TU,WE,TH,FR",,2026-09-14,,,,10:00,14:00,
sal_st_raymond_our_parish_food_pantry,WEEKLY,,TU,,2026-09-14,,,,09:30,11:00,
sal_detroit_community_nolan_family_medical_center,WEEKLY,,"MO,TU,WE",,2026-09-14,,,,08:30,17:00,
sal_detroit_community_nolan_family_medical_center,WEEKLY,,TH,,2026-09-14,,,,09:30,18:00,
sal_detroit_community_nolan_family_medical_center,WEEKLY,,FR,,2026-09-14,,,,08:30,17:00,
sal_the_wellness_east_medical_center,WEEKLY,,"MO,TU,WE,TH,FR",,2026-09-14,,,,08:30,17:00,
sal_st_peter_st_vincent_de_paul_food_pantry,WEEKLY,,TU,,2026-09-14,,,,10:00,13:00,
sal_huda_clinic,WEEKLY,,"TU,TH,SA",,2026-09-14,,,,08:30,10:30,Walk-ins (primary care)
sal_institute_for_iph_health_center_james_couzens,WEEKLY,,"WE,TH,FR",,2026-09-14,,,,08:00,17:00,
sal_advantage_health_west_mcnichols,WEEKLY,,"MO,TU,TH,FR",,2026-09-14,,,,08:00,17:00,
sal_advantage_health_west_mcnichols,WEEKLY,,WE,,2026-09-14,,,,10:00,19:00,
sal_advantage_health_oakman,WEEKLY,,"MO,TU,WE,TH,FR",,2026-09-14,,,,08:00,17:00,
sal_detroit_community_east_riverside_health_center,WEEKLY,,"MO,WE,TH,FR",,2026-09-14,,,,08:30,17:00,
sal_detroit_community_east_riverside_health_center,WEEKLY,,TU,,2026-09-14,,,,09:30,18:00,
sal_detroit_community_dr_sophie_womack_health_center,WEEKLY,,"MO,TU,TH,FR",,2026-09-14,,,,08:30,17:00,
sal_detroit_community_dr_sophie_womack_health_center,WEEKLY,,WE,,2026-09-14,,,,09:30,18:00,
sal_trinity_health_primary_care,WEEKLY,,"MO,TU,WE",,2026-09-14,,,,08:30,17:00,
sal_trinity_health_primary_care,WEEKLY,,TH,,2026-09-14,,,,08:30,20:00,
sal_trinity_health_primary_care,WEEKLY,,FR,,2026-09-14,,,,08:30,17:00,
sal_covenant_community_care_moross,WEEKLY,,"MO,WE,FR",,2026-09-14,,,,08:00,16:00,
sal_covenant_community_care_moross,WEEKLY,,"TU,TH",,2026-09-14,,,,08:00,20:00,
sal_deo_gratias_children_s_tutoring,WEEKLY,,"MO,WE",,2026-09-14,,,,15:00,16:30,
sal_islamic_center_weekly_food_pantry,WEEKLY,,SA,,2026-09-14,,,,14:00,17:00,
sal_new_providence_providential_care_food_pantry,WEEKLY,,TU,,2026-09-14,,,,08:30,10:30,
sal_st_suzanne_dinner_church_free_meal,WEEKLY,,MO,,2026-09-14,,,,17:30,18:30,
sal_st_suzanne_after_school_programs_with_dinner,WEEKLY,,"MO,TU,WE,TH",,2026-09-14,,,,16:00,18:00,
sal_ebenezer_community_walk_in_help_with_food_and_basic_need,WEEKLY,,TH,,2026-09-14,,,,10:00,14:00,
sal_st_christine_s_food_pantry,WEEKLY,,TU,,2026-09-14,,,,12:00,14:30,
sal_st_christine_soup_kitchen,WEEKLY,,TU,,2026-09-14,,,,12:00,14:00,
sal_brightmoor_artisans_b_moor_nourished_free_pantry,WEEKLY,,FR,,2026-09-14,,,,15:00,16:30,
sal_city_covenant_hot_meals,WEEKLY,,"MO,TU,WE,TH",,2026-09-14,,,,16:00,18:30,
sal_detroit_health_neighborhood_wellness_center_at_wcccd_nor,WEEKLY,,TU,,2026-09-14,,,,09:00,17:00,
sal_detroit_health_neighborhood_wellness_center_at_wcccd_nor,WEEKLY,,WE,,2026-09-14,,,,11:00,19:00,
sal_detroit_health_neighborhood_wellness_center_at_wcccd_nor,WEEKLY,,SA,,2026-09-14,,,,10:00,14:00,
sal_pope_francis_showers,WEEKLY,,"MO,TU,WE,TH,FR,SA",,2026-09-14,,,,07:00,11:00,Day center
sal_ruth_ellis_showers,WEEKLY,,"MO,WE",,2026-09-14,,,,15:00,20:30,"Drop-in, full service"
sal_dearborn_public_henry_ford_centennial_library,WEEKLY,,"MO,TU,WE,TH",,2026-09-14,,,,10:00,20:00,
sal_dearborn_public_henry_ford_centennial_library,WEEKLY,,"FR,SA",,2026-09-14,,,,10:00,17:30,
sal_dearborn_first_dearborn_community_food_pantry,MONTHLY,,3SA,,2026-09-14,,,,09:00,10:00,3rd Saturday of the month
sal_dearborn_public_henry_ford_centennial_library,WEEKLY,,SU,,2026-09-14,,2026-09-01,2027-05-24,13:00,17:00,Closed Sundays May 25 to August 31
sal_most_holy_food_pantry,WEEKLY,,TH,,2026-09-14,,,,11:00,13:00,
sal_catholic_charities_all_saints_soup_kitchen,WEEKLY,,WE,,2026-09-14,,,,12:00,13:30,
sal_loaves_and_st_stephen_pantry,WEEKLY,,SA,,2026-09-14,,,,09:00,11:00,
sal_metropolitan_united_good_samaritan_food_pantry,WEEKLY,,WE,,2026-09-14,,,,12:00,14:00,
sal_forgotten_harvest_mobile_food_pantry_at_historic_little_,MONTHLY,,"2FR,4FR",,2026-09-14,,,,09:00,12:00,2nd and 4th Friday of the month
sal_new_liberty_food_pantry,WEEKLY,,WE,,2026-09-14,,,,16:00,18:00,
