sal_id,record_ref,name,address_1,zip,lat,lon,phone,website,hours_text,extra,source_id,source_last_edited,fetched_at
sal_cfm_1000_sainte_anne_st,Sainte Anne's Pantry|1000 Sainte Anne St,Sainte Anne's Pantry,1000 Sainte Anne St,48216,42.320540,-83.076540,313-496-1701,,"3rd Wednesdays of the month, from 10:00am-12:00pm",Type=Pantry; council_district=6; neighborhood_name=Hubbard Richard,city_food_map,2025-11-21,2026-09-26
sal_cfm_1002_military_st,Military Avenue Evangelical|1002 Military St,Military Avenue Evangelical,1002 Military St,48209,42.309880,-83.102180,313-407-2093,,10:00am after Sunday Service on the 4th Sunday of the month,"Type=Pantry, Hot Meal; council_district=6; neighborhood_name=Central Southwest",city_food_map,2025-11-21,2026-09-26
sal_cfm_10100_grand_river_ave,Straight Gate Church|10100 Grand River Ave,Straight Gate Church,10100 Grand River Ave,48204,42.370670,-83.142230,313-491-8430,,"1st and 4th Thursdays of the month, from 9:00am - while supplies last",Type=Pantry; council_district=7; neighborhood_name=Oakman Blvd Community,city_food_map,2025-11-21,2026-09-26
sal_cfm_10301_woodward_ave,Center for the Works of Mercy|10301 Woodward Ave,Center for the Works of Mercy,10301 Woodward Ave,48202,42.389820,-83.087050,313-335-3261,,Mondays and Wednesdays from 10:00am-3:00pm,Type=Pantry; council_district=5; neighborhood_name=Gateway Community,city_food_map,2025-11-21,2026-09-26
sal_cfm_1050_porter_st,Most Holy Trinity Church|1050 Porter St,Most Holy Trinity Church,1050 Porter St,48226,42.329910,-83.060210,313 965 4450,,Thursdays from 11:00am-1:00pm,council_district=6; neighborhood_name=Corktown,city_food_map,2025-11-21,2026-09-26
sal_cfm_110_w_seven_mile,ACC|110 W Seven Mile,ACC,110 W Seven Mile,48203,42.432440,-83.104430,248-559-1990,,"Nov. 6, Nov. 7, Nov. 13 and every following Thursday starting at 9:00am-while supplies last",Type=Pantry; council_district=2; neighborhood_name=Penrose,city_food_map,2025-11-21,2026-09-26
sal_cfm_11001_chalmers_st,Jesus Tabernacle of Deliverance|11001 Chalmers St,Jesus Tabernacle of Deliverance,11001 Chalmers St,48213,42.416170,-82.972210,313-372-3110,,Wednesdays from 9:00am - 12:00pm,Type=Pantry; council_district=4; neighborhood_name=Eden Gardens,city_food_map,2025-11-21,2026-09-26
sal_cfm_11325_montrose_st,Salvation Army Grandale|11325 Montrose St,Salvation Army Grandale,11325 Montrose St,48227,42.370460,-83.200240,313-835-3736 ext 801,,"By appointment only Tuesday - Friday, from 1:00pm-3:00pm",council_district=7; neighborhood_name=Joy Community,city_food_map,2025-11-21,2026-09-26
sal_cfm_11475_e_outer_dr,Bethany Lutheran Church|11475 E Outer Dr,Bethany Lutheran Church,11475 E Outer Dr,48224,42.405880,-82.948860,313-885-7721,,"2nd and 4th Wednesay of the month 12:30-2pm (Appointments only, the week of)",council_district=4; neighborhood_name=Morningside,city_food_map,2025-11-21,2026-09-26
sal_cfm_11529_linwood_st,Detroit Muslim Mission|11529 Linwood St,Detroit Muslim Mission,11529 Linwood St,48206,42.381690,-83.114590,313-865-6770,,Thursdays 10:00am-2:00pm,Type=Pantry; council_district=5; neighborhood_name=Dexter-Linwood,city_food_map,2025-11-21,2026-09-26
sal_cfm_11744_rosa_parks_blvd,Cass Community Social Services|11744 Rosa Parks Blvd,Cass Community Social Services,11744 Rosa Parks Blvd,0,42.386740,-83.106500,313-883-2277 ext203,,"3rd Monday of the month, from 1:00pm-4:00pm",council_district=5; neighborhood_name=Dexter-Linwood,city_food_map,2025-11-21,2026-09-26
sal_cfm_12028_yellowstone_st,Auntie Na's|12028 Yellowstone St,Auntie Na's,12028 Yellowstone St,48204,42.377580,-83.135170,,,"Fridays from 2:00pm - 5:00pm, Saturdays from 12:00pm - while supplies last",Type=Pantry; council_district=7; neighborhood_name=Nardin Park,city_food_map,2025-11-21,2026-09-26
sal_cfm_12047_miami_st,Perry Outreach Center|12047 Miami St,Perry Outreach Center,12047 Miami St,48217,42.271680,-83.151630,313-749-7324,,Mondays - Wednesdays from 10:00am-2:00pm,council_district=6; neighborhood_name=Boynton,city_food_map,2025-11-21,2026-09-26
sal_cfm_12411_e_seven_mile_rd,The Open Door Church|12411 E Seven Mile Rd,The Open Door Church,12411 E Seven Mile Rd,48205,42.434980,-82.997770,313-526-3460,,"1st Monday of every month, from 10:00am-12:00pm",council_district=3; neighborhood_name=Pulaski,city_food_map,2025-11-21,2026-09-26
sal_cfm_12500_mitchell_st,ICNA Relief Muslim Family Services|12500 Mitchell St,ICNA Relief Muslim Family Services,12500 Mitchell St,48212,42.409010,-83.064150,313-366-6800,,"Tuesdays and Thursdays, from 11:00am - 3:00pm",Type=Pantry; council_district=3; neighborhood_name=Campau/Banglatown,city_food_map,2025-11-21,2026-09-26
sal_cfm_12521_dexter_ave,Grace Temple|12521 Dexter Ave,Grace Temple,12521 Dexter Ave,48206,42.384750,-83.127950,313-931-4040,,"2nd Thursday of every month, from 10:00am to 4:30pm",council_district=7; neighborhood_name=Russell Woods,city_food_map,2025-11-21,2026-09-26
sal_cfm_12530_mack_ave,Feed Your Neighbor|12530 Mack Ave,Feed Your Neighbor,12530 Mack Ave,48215,42.382940,-82.966860,313-821-5958,,"3rd Mondays of the month, from 2:00pm - 4:00pm",council_district=4; neighborhood_name=Riverbend,city_food_map,2025-11-21,2026-09-26
sal_cfm_1264_meldrum_st,Capuchin Soup Kitchen - Meldrum Soup Kitchen|1264 Meldrum St,Capuchin Soup Kitchen - Meldrum Soup Kitchen,1264 Meldrum St,48207,42.351070,-83.012650,,,"Monday - Friday Breakfast from 8:30am-9:30am, Lunch from 11:00am-1:00pm",Type=Hot Meal; council_district=5; neighborhood_name=Islandview,city_food_map,2025-11-21,2026-09-26
sal_cfm_12850_plymouth_rd,Third New Hope Baptist Church|12850 Plymouth Rd,Third New Hope Baptist Church,12850 Plymouth Rd,48227,42.373510,-83.170250,313-491-7890,,"Every 4th Friday of the month, from 10am-2pm",council_district=7; neighborhood_name=Pride Area Community,city_food_map,2025-11-21,2026-09-26
