candidate_id,category,name,address_1,city,zip,lat,lon,phone,place_id,county,source_dataset,source_url,source_last_edited,placed_by,record_ref,note,fetched_at
sal_hrsa_advantage_health,health.clinic,Advantage Health,"12200 E 13 Mile Rd, Suite 200",Warren,48093,42.520863,-83.002027,313-416-6262,city_warren,Macomb,HRSA Health Center Service Delivery and Look-Alike Sites,https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv,2026-09-24,coordinate,BPS-H80-040572,"health_center=DETROIT HEALTH CARE FOR THE HOMELESS, INC; type=Federally Qualified Health Center (FQHC); setting=All Other Clinic Types",2026-09-24
sal_hrsa_advantage_health_centers_8_mile,health.clinic,Advantage Health Centers-8 Mile,4669 E 8 Mile Rd,Warren,48091,42.448134,-83.056727,313-416-6262,city_warren,Macomb,HRSA Health Center Service Delivery and Look-Alike Sites,https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv,2026-09-24,coordinate,BPS-H80-013423,"health_center=DETROIT HEALTH CARE FOR THE HOMELESS, INC; type=Federally Qualified Health Center (FQHC); setting=All Other Clinic Types",2026-09-24
sal_hrsa_anne_mare_ice_pediatric_health_center,health.clinic,Anne Mare' Ice Pediatric Health Center,"23077 Greenfield Rd, Suite 200",Southfield,48075,42.460088,-83.202202,313-824-1000,city_southfield,Oakland,HRSA Health Center Service Delivery and Look-Alike Sites,https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv,2026-09-24,coordinate,BPS-LAL-040941,health_center=Detroit Wayne County Health Authority; type=Federally Qualified Health Center (FQHC) Look-Alike; setting=All Other Clinic Types; website=https://authorityhealth.org/,2026-09-24
sal_hrsa_avondale_high_school_health_center,health.clinic,Avondale High School Health Center,2800 Waukegan St RM 03,Auburn Hills,48326,42.628424,-83.232399,248-724-7600,city_auburn_hills,Oakland,HRSA Health Center Service Delivery and Look-Alike Sites,https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv,2026-09-24,coordinate,BPS-H80-029851,health_center=OAKLAND INTEGRATED HEALTHCARE NETWORK; type=Federally Qualified Health Center (FQHC); setting=School; a school-based site may serve only students; website=www.honorcommunityhealth.org,2026-09-24
sal_hrsa_baldwin_family_medicine_center,health.clinic,Baldwin Family Medicine Center,1701 Baldwin Ave,Pontiac,48340,42.682688,-83.302308,248-724-7600,city_pontiac,Oakland,HRSA Health Center Service Delivery and Look-Alike Sites,https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv,2026-09-24,coordinate,BPS-H80-020773,health_center=OAKLAND INTEGRATED HEALTHCARE NETWORK; type=Federally Qualified Health Center (FQHC); setting=All Other Clinic Types; website=www.honorcommunityhealth.org,2026-09-24
sal_hrsa_brewster_elementary_empowerment_zone,health.clinic,Brewster Elementary Empowerment Zone,1535 Brewster Rd,Rochester Hills,48306,42.702955,-83.185790,248-724-7600,city_rochester_hills,Oakland,HRSA Health Center Service Delivery and Look-Alike Sites,https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv,2026-09-24,coordinate,BPS-H80-039359,health_center=OAKLAND INTEGRATED HEALTHCARE NETWORK; type=Federally Qualified Health Center (FQHC); setting=School; a school-based site may serve only students; website=www.honorcommunityhealth.org,2026-09-24
sal_hrsa_center_line,health.clinic,Center Line,6900 E 10 Mile Rd,Center Line,48015,42.476739,-83.035011,586-756-7777,city_center_line,Macomb,HRSA Health Center Service Delivery and Look-Alike Sites,https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv,2026-09-24,coordinate,BPS-H80-013123,health_center=MYCARE HEALTH CENTER; type=Federally Qualified Health Center (FQHC); setting=All Other Clinic Types; website=www.mycarehealthcenter.org,2026-09-24
sal_hrsa_center_line_behavioral_health,health.clinic,Center Line Behavioral Health,6780 E 10 Mile Rd,Center Line,48015,42.476769,-83.035861,586-834-8060,city_center_line,Macomb,HRSA Health Center Service Delivery and Look-Alike Sites,https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv,2026-09-24,coordinate,BPS-H80-036843,health_center=MYCARE HEALTH CENTER; type=Federally Qualified Health Center (FQHC); setting=All Other Clinic Types,2026-09-24
sal_hrsa_chass_westland,health.clinic,CHASS Westland,"35180 Nankin Blvd, Suite 204",Westland,48185,42.345293,-83.387444,313-644-1500,city_westland,Wayne,HRSA Health Center Service Delivery and Look-Alike Sites,https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv,2026-09-24,coordinate,BPS-H80-035176,"health_center=COMMUNITY HEALTH AND SOCIAL SERVICES CENTER, INC; type=Federally Qualified Health Center (FQHC); setting=All Other Clinic Types",2026-09-24
sal_hrsa_family_medical_center_of_mi_southgate,health.clinic,Family Medical Center of MI - Southgate,13101 Allen Rd,Southgate,48195,42.211824,-83.227313,734-785-7700,city_southgate,Wayne,HRSA Health Center Service Delivery and Look-Alike Sites,https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv,2026-09-24,coordinate,BPS-H80-018881,"health_center=FAMILY MEDICAL CENTER OF MICHIGAN, INC.; type=Federally Qualified Health Center (FQHC); setting=All Other Clinic Types",2026-09-24
