candidate_id,category,name,address_1,city,zip,lat,lon,phone,place_id,county,source_dataset,source_url,source_last_edited,placed_by,record_ref,note,fetched_at
sal_cmser_ascension_providence_hospital_southfield_and_novi,health.er,"ASCENSION PROVIDENCE HOSPITAL, SOUTHFIELD AND NOVI",16001 W NINE MILE RD,SOUTHFIELD,48075,,,248-849-3000,city_southfield,Oakland,CMS Hospital General Information (xubh-q36u),https://data.cms.gov/provider-data/dataset/xubh-q36u,2026-07-22,city,230019,hospital_type=Acute Care Hospitals; placed by mailing city; no coordinate in the file,2026-09-24
sal_cmser_ascension_providence_rochester_hospital,health.er,ASCENSION PROVIDENCE ROCHESTER HOSPITAL,1101 W UNIVERSITY DRIVE,ROCHESTER,48307,,,248-652-5000,city_rochester,Oakland,CMS Hospital General Information (xubh-q36u),https://data.cms.gov/provider-data/dataset/xubh-q36u,2026-07-22,city,230254,hospital_type=Acute Care Hospitals; placed by mailing city; no coordinate in the file,2026-09-24
sal_cmser_beaumont_hospital_farmington_hills,health.er,BEAUMONT HOSPITAL - FARMINGTON HILLS,28050 GRAND RIVER AVENUE,FARMINGTON HILLS,48336,,,248-471-8000,city_farmington_hills,Oakland,CMS Hospital General Information (xubh-q36u),https://data.cms.gov/provider-data/dataset/xubh-q36u,2026-07-22,city,230151,hospital_type=Acute Care Hospitals; placed by mailing city; no coordinate in the file,2026-09-24
sal_cmser_beaumont_hospital_grosse_pointe,health.er,BEAUMONT HOSPITAL - GROSSE POINTE,468 CADIEUX RD,GROSSE POINTE,48230,,,313-473-1000,city_grosse_pointe,Wayne,CMS Hospital General Information (xubh-q36u),https://data.cms.gov/provider-data/dataset/xubh-q36u,2026-07-22,city,230089,hospital_type=Acute Care Hospitals; placed by mailing city; no coordinate in the file,2026-09-24
sal_cmser_beaumont_hospital_royal_oak,health.er,BEAUMONT HOSPITAL ROYAL OAK,3601 W THIRTEEN MILE RD,ROYAL OAK,48073,,,248-898-5400,city_royal_oak,Oakland,CMS Hospital General Information (xubh-q36u),https://data.cms.gov/provider-data/dataset/xubh-q36u,2026-07-22,city,230130,hospital_type=Acute Care Hospitals; placed by mailing city; no coordinate in the file,2026-09-24
sal_cmser_beaumont_hospital_taylor,health.er,BEAUMONT HOSPITAL - TAYLOR,10000 TELEGRAPH ROAD,TAYLOR,48180,,,313-295-5000,city_taylor,Wayne,CMS Hospital General Information (xubh-q36u),https://data.cms.gov/provider-data/dataset/xubh-q36u,2026-07-22,city,230270,hospital_type=Acute Care Hospitals; placed by mailing city; no coordinate in the file,2026-09-24
sal_cmser_beaumont_hospital_troy,health.er,"BEAUMONT HOSPITAL, TROY",44201 DEQUINDRE ROAD,TROY,48085,,,248-964-8800,city_troy,Oakland,CMS Hospital General Information (xubh-q36u),https://data.cms.gov/provider-data/dataset/xubh-q36u,2026-07-22,city,230269,hospital_type=Acute Care Hospitals; placed by mailing city; no coordinate in the file,2026-09-24
sal_cmser_corewell_health_trenton_hospital,health.er,COREWELL HEALTH TRENTON HOSPITAL,5450 FORT STREET,TRENTON,48183,,,734-671-3800,city_trenton,Wayne,CMS Hospital General Information (xubh-q36u),https://data.cms.gov/provider-data/dataset/xubh-q36u,2026-07-22,city,230176,hospital_type=Acute Care Hospitals; placed by mailing city; no coordinate in the file,2026-09-24
sal_cmser_corewell_health_wayne_hospital,health.er,COREWELL HEALTH WAYNE HOSPITAL,33155 ANNAPOLIS AVE,WAYNE,48184,,,734-467-4175,city_wayne,Wayne,CMS Hospital General Information (xubh-q36u),https://data.cms.gov/provider-data/dataset/xubh-q36u,2026-07-22,city,230142,hospital_type=Acute Care Hospitals; placed by mailing city; no coordinate in the file,2026-09-24
sal_cmser_garden_city_hospital,health.er,GARDEN CITY HOSPITAL,6245 INKSTER RD,GARDEN CITY,48135,,,734-421-3300,city_garden_city,Wayne,CMS Hospital General Information (xubh-q36u),https://data.cms.gov/provider-data/dataset/xubh-q36u,2026-07-22,city,230244,hospital_type=Acute Care Hospitals; placed by mailing city; no coordinate in the file,2026-09-24
sal_cmser_henry_ford_health_warren_hospital,health.er,Henry Ford Health Warren Hospital,11800 EAST TWELVE MILE ROAD,WARREN,48093,,,586-573-5000,city_warren,Macomb,CMS Hospital General Information (xubh-q36u),https://data.cms.gov/provider-data/dataset/xubh-q36u,2026-07-22,city,230195,hospital_type=Acute Care Hospitals; placed by mailing city; no coordinate in the file,2026-09-24
sal_cmser_henry_ford_health_west_bloomfield_hospital,health.er,HENRY FORD HEALTH WEST BLOOMFIELD HOSPITAL,6777 WEST MAPLE ROAD,W BLOOMFIELD,48322,,,248-325-1000,city_west_bloomfield_township,Oakland,CMS Hospital General Information (xubh-q36u),https://data.cms.gov/provider-data/dataset/xubh-q36u,2026-07-22,city,230302,hospital_type=Acute Care Hospitals; placed by mailing city; no coordinate in the file,2026-09-24
sal_cmser_henry_ford_macomb_hospital,health.er,HENRY FORD MACOMB HOSPITAL,15855 NINETEEN MILE RD,CLINTON TOWNSHIP,48038,,,586-263-2300,city_clinton_township,Macomb,CMS Hospital General Information (xubh-q36u),https://data.cms.gov/provider-data/dataset/xubh-q36u,2026-07-22,city,230047,hospital_type=Acute Care Hospitals; placed by mailing city; no coordinate in the file,2026-09-24
sal_cmser_huron_valley_sinai_hospital,health.er,HURON VALLEY-SINAI HOSPITAL,ONE WILLIAM CARLS DRIVE,COMMERCE TOWNSHIP,48382,,,248-937-3370,city_commerce_township,Oakland,CMS Hospital General Information (xubh-q36u),https://data.cms.gov/provider-data/dataset/xubh-q36u,2026-07-22,city,230277,hospital_type=Acute Care Hospitals; placed by mailing city; no coordinate in the file,2026-09-24
sal_cmser_mclaren_macomb,health.er,MCLAREN MACOMB,1000 HARRINGTON ST,MOUNT CLEMENS,48043,,,586-493-8000,city_mount_clemens,Macomb,CMS Hospital General Information (xubh-q36u),https://data.cms.gov/provider-data/dataset/xubh-q36u,2026-07-22,city,230227,hospital_type=Acute Care Hospitals; placed by mailing city; no coordinate in the file,2026-09-24
sal_cmser_mclaren_oakland,health.er,MCLAREN OAKLAND,50 N PERRY ST,PONTIAC,48342,,,248-338-5000,city_pontiac,Oakland,CMS Hospital General Information (xubh-q36u),https://data.cms.gov/provider-data/dataset/xubh-q36u,2026-07-22,city,230207,hospital_type=Acute Care Hospitals; placed by mailing city; no coordinate in the file,2026-09-24
sal_cmser_st_joe_mercy_hospital_system_livonia,health.er,ST JOE MERCY HOSPITAL SYSTEM LIVONIA,36475 FIVE MILE ROAD,LIVONIA,48154,,,734-655-4800,city_livonia,Wayne,CMS Hospital General Information (xubh-q36u),https://data.cms.gov/provider-data/dataset/xubh-q36u,2026-07-22,city,230002,hospital_type=Acute Care Hospitals; placed by mailing city; no coordinate in the file,2026-09-24
sal_cmser_trinity_health_oakland_hospital,health.er,TRINITY HEALTH OAKLAND HOSPITAL,44405 WOODWARD AVE,PONTIAC,48341,,,248-858-3000,city_pontiac,Oakland,CMS Hospital General Information (xubh-q36u),https://data.cms.gov/provider-data/dataset/xubh-q36u,2026-07-22,city,230029,hospital_type=Acute Care Hospitals; placed by mailing city; no coordinate in the file,2026-09-24
sal_cmser_wyandotte_hospital_and_medical_center,health.er,WYANDOTTE HOSPITAL AND MEDICAL CENTER,2333 BIDDLE AVE,WYANDOTTE,48192,,,734-246-6000,city_wyandotte,Wayne,CMS Hospital General Information (xubh-q36u),https://data.cms.gov/provider-data/dataset/xubh-q36u,2026-07-22,city,230146,hospital_type=Acute Care Hospitals; placed by mailing city; no coordinate in the file,2026-09-24
