candidate_id,category,name,address_1,city,zip,lat,lon,phone,place_id,county,source_dataset,source_url,source_last_edited,placed_by,record_ref,note,fetched_at
sal_imls_allen_park_public_library,rec.library,ALLEN PARK PUBLIC LIBRARY,8100 ALLEN ROAD,ALLEN PARK,48101,42.249409,-83.218071,313-381-2425,city_allen_park,Wayne,"IMLS Public Libraries Survey FY 2024, outlet file",https://www.imls.gov/sites/default/files/2026-06/pls_fy2024_csv.zip,2026-06-16,coordinate,MI9017-001,outlet=central library; system=MI9017; geocode=pointaddress,2026-09-24
sal_imls_arthur_j_miller_branch_library,rec.library,ARTHUR J. MILLER BRANCH LIBRARY,5460 ARDEN SUITE 303,WARREN,48092,42.530463,-83.054423,586-751-5377,city_warren,Macomb,"IMLS Public Libraries Survey FY 2024, outlet file",https://www.imls.gov/sites/default/files/2026-06/pls_fy2024_csv.zip,2026-06-16,coordinate,MI0356-003,outlet=branch; system=MI0356; geocode=manual,2026-09-24
sal_imls_auburn_hills_public_library,rec.library,AUBURN HILLS PUBLIC LIBRARY,3400 EAST SEYBURN DRIVE,AUBURN HILLS,48326,42.670906,-83.222359,248-370-9466,city_auburn_hills,Oakland,"IMLS Public Libraries Survey FY 2024, outlet file",https://www.imls.gov/sites/default/files/2026-06/pls_fy2024_csv.zip,2026-06-16,coordinate,MI0015-002,outlet=central library; system=MI0015; geocode=pointaddress,2026-09-24
sal_imls_bacon_memorial_district_library,rec.library,BACON MEMORIAL DISTRICT LIBRARY,45 VINEWOOD STREET,WYANDOTTE,48192,42.207603,-83.147697,734-246-8357,city_wyandotte,Wayne,"IMLS Public Libraries Survey FY 2024, outlet file",https://www.imls.gov/sites/default/files/2026-06/pls_fy2024_csv.zip,2026-06-16,coordinate,MI0017-002,outlet=central library; system=MI0017; geocode=pointaddress,2026-09-24
sal_imls_baldwin_public_library,rec.library,BALDWIN PUBLIC LIBRARY,300 WEST MERRILL STREET,BIRMINGHAM,48009,42.545158,-83.217697,248-647-7339,city_birmingham,Oakland,"IMLS Public Libraries Survey FY 2024, outlet file",https://www.imls.gov/sites/default/files/2026-06/pls_fy2024_csv.zip,2026-06-16,coordinate,MI0019-002,outlet=central library; system=MI0019; geocode=pointaddress,2026-09-24
sal_imls_berkley_public_library,rec.library,BERKLEY PUBLIC LIBRARY,3155 COOLIDGE HIGHWAY,BERKLEY,48072,42.501041,-83.183861,248-658-3440,city_berkley,Oakland,"IMLS Public Libraries Survey FY 2024, outlet file",https://www.imls.gov/sites/default/files/2026-06/pls_fy2024_csv.zip,2026-06-16,coordinate,MI0030-002,outlet=central library; system=MI0030; geocode=pointaddress,2026-09-24
sal_imls_blair_memorial_library,rec.library,BLAIR MEMORIAL LIBRARY,416 NORTH MAIN STREET,CLAWSON,48017,42.536762,-83.146454,248-588-5500,city_clawson,Oakland,"IMLS Public Libraries Survey FY 2024, outlet file",https://www.imls.gov/sites/default/files/2026-06/pls_fy2024_csv.zip,2026-06-16,coordinate,MI0036-002,outlet=central library; system=MI0036; geocode=pointaddress,2026-09-24
sal_imls_bloomfield_township_public_library,rec.library,BLOOMFIELD TOWNSHIP PUBLIC LIBRARY,1099 LONE PINE ROAD,BLOOMFIELD TOWNSHIP,48302,42.565732,-83.281605,248-642-5800,city_bloomfield_township,Oakland,"IMLS Public Libraries Survey FY 2024, outlet file",https://www.imls.gov/sites/default/files/2026-06/pls_fy2024_csv.zip,2026-06-16,coordinate,MI0037-002,outlet=central library; system=MI0037; geocode=manual,2026-09-24
sal_imls_carl_sandburg_branch_library,rec.library,CARL SANDBURG BRANCH LIBRARY,30100 SEVEN MILE ROAD,LIVONIA,48152,42.426926,-83.343102,248-893-4010,city_livonia,Wayne,"IMLS Public Libraries Survey FY 2024, outlet file",https://www.imls.gov/sites/default/files/2026-06/pls_fy2024_csv.zip,2026-06-16,coordinate,MI0200-004,outlet=branch; system=MI0200; geocode=pointaddress,2026-09-24
sal_imls_center_line_public_library,rec.library,CENTER LINE PUBLIC LIBRARY,7345 WEINGARTZ STREET,CENTER LINE,48015,42.479309,-83.029678,586-758-8274,city_center_line,Macomb,"IMLS Public Libraries Survey FY 2024, outlet file",https://www.imls.gov/sites/default/files/2026-06/pls_fy2024_csv.zip,2026-06-16,coordinate,MI0057-002,outlet=central library; system=MI0057; geocode=pointaddress,2026-09-24
