staged_id,decision,reason,category,name,address_1,city,zip,phone,intake,flags,what,eligibility,listed_as,dwihn_website,dwihn_accepting_new,on_lists,otp_certification,directory_file_date,otp_read,dwihn_updated,fetched_at
sal_samhsa_10_peterboro_street_3rd_floor,listed,already listed as sal_central_city_health,treatment.outpatient,Central City Health,"10 Peterboro Street, 3rd Floor",Detroit,48201,313-831-3160,,"medicaid,sliding_fee",Treatment for drug or alcohol use while you live at home. Offers buprenorphine (Suboxone) and naltrexone (Vivitrol). Takes Medicaid. Sliding fee.,,sal_central_city_health,https://www.centralcityhealth.com,Yes,directory+dwihn,,2026-03-06,,2026-04-06,2026-09-19
sal_samhsa_11105_jefferson_avenue_lillibridge_resid,listed,already listed as sal_team_east_clinic,treatment.outpatient,Team East Clinic,"11105 Jefferson Avenue, Lillibridge Residential",Detroit,48214,313-396-5300,,medicaid,Treatment for drug or alcohol use while you live at home. Offers buprenorphine (Suboxone) and naltrexone (Vivitrol). Takes Medicaid.,,sal_team_east_clinic,https://www.teamwellnesscenter.com,No,directory+dwihn,,2026-03-06,,2026-04-06,2026-09-19
sal_samhsa_1121_east_mcnichols_road,listed,already listed as sal_detroit_recovery_project_eastside,treatment.outpatient,"Detroit Recovery Project Inc, Eastside Recovery Resource Center",1121 East McNichols Road,Highland Park,48203,313-365-3100,,"medicaid,sliding_fee",Treatment for drug or alcohol use while you live at home. Takes Medicaid. Sliding fee.,,sal_detroit_recovery_project_eastside,,No,directory+dwihn,,2026-03-06,,2026-04-06,2026-09-19
sal_samhsa_1145_lawndale_street,skip,"takes no Medicaid, sliding fee, payment help or public funding",,Latino Family Services Inc,1145 Lawndale Street,Detroit,48209,313-279-3232,,,,,,https://www.latinofamilyservices.org,No,directory+dwihn,,2026-03-06,,2026-04-06,2026-09-19
sal_samhsa_1145_west_grand_boulevard,staged,no website on DWIHN's list; a person or a research pass must find its own page,treatment.outpatient,"Detroit Recovery Project, Health and Wellness Recov Resource",1145 West Grand Boulevard,Detroit,48208,313-324-8900,,"medicaid,sliding_fee,spanish",Treatment for drug or alcohol use while you live at home. Offers buprenorphine (Suboxone) and naltrexone (Vivitrol). Takes Medicaid. Sliding fee.,,,,No,directory+dwihn,,2026-03-06,,2026-04-06,2026-09-19
sal_samhsa_12007_linwood_street,listed,already listed as sal_elmhurst_home_james_oden_center,treatment.residential,Elmhurst Home,12007 Linwood Street,Detroit,48206,313-867-1090,,"medicaid,sliding_fee,men",Live-in treatment for drug or alcohol use. Offers buprenorphine (Suboxone) and naltrexone (Vivitrol). Takes Medicaid. Sliding fee.,Men only.,sal_elmhurst_home_james_oden_center,,Yes,directory+dwihn,,2026-03-06,,2026-04-06,2026-09-19
sal_samhsa_12019_linwood_street,listed,already listed as sal_elmhurst_home_james_oden_center,treatment.outpatient,"Elmhurst Home, Recovery Housing and Outpatient",12019 Linwood Street,Detroit,48206,313-867-1090,,"medicaid,sliding_fee",Treatment for drug or alcohol use while you live at home. Offers buprenorphine (Suboxone) and naltrexone (Vivitrol). Takes Medicaid. Sliding fee.,,sal_elmhurst_home_james_oden_center,,Yes,directory+dwihn,,2026-03-06,,2026-04-06,2026-09-19
sal_samhsa_12501_hamilton_avenue,listed,already listed as sal_rainbow_center_of_michigan,treatment.meds,Rainbow Center of Michigan Inc,12501 Hamilton Avenue,Highland Park,48203,313-865-1580,313-530-3376,medicaid,Methadone clinic (a federally certified opioid treatment program). Takes Medicaid.,,sal_rainbow_center_of_michigan,https://rainbowcm.com,Yes,directory+otp+dwihn,Certified,2026-03-06,2026-09-19,2026-04-06,2026-09-19
sal_samhsa_13336_east_warren_avenue,staged,no website on DWIHN's list; a person or a research pass must find its own page,treatment.residential,"Positive Images Inc, Residential I",13336 East Warren Avenue,Detroit,48215,313-822-1138,313-822-6940 x101,"medicaid,sliding_fee,women",Live-in treatment for drug or alcohol use. Offers naltrexone (Vivitrol). Takes Medicaid. Sliding fee.,Women only.,,,No,directory+dwihn,,2026-03-06,,2026-04-06,2026-09-19
sal_samhsa_13336_east_warren_avenue,staged,no website on DWIHN's list; a person or a research pass must find its own page,treatment.residential,"Positive Images Inc, Residential II",13336 East Warren Avenue,Detroit,48215,313-822-1135,313-822-6940 x101,"medicaid,sliding_fee,women",Live-in treatment for drug or alcohol use. Offers naltrexone (Vivitrol). Takes Medicaid. Sliding fee.,Women only.,,,No,directory+dwihn,,2026-03-06,,2026-04-06,2026-09-19
sal_samhsa_13340_east_warren_avenue,staged,no website on DWIHN's list; a person or a research pass must find its own page,treatment.outpatient,Positive Images Inc,13340 East Warren Avenue,Detroit,48215,313-822-1135 x101,313-822-6940 x101,"medicaid,sliding_fee",Treatment for drug or alcohol use while you live at home. Offers naltrexone (Vivitrol). Takes Medicaid. Sliding fee.,,,,,directory,,2026-03-06,,,2026-09-19
sal_samhsa_13575_lesure_street,staged,no website on DWIHN's list; a person or a research pass must find its own page,treatment.meds,Star Center Inc,13575 Lesure Street,Detroit,48227,313-493-4410,,"medicaid,sliding_fee",Methadone clinic (a federally certified opioid treatment program). Takes Medicaid. Sliding fee.,,,,Yes,directory+otp+dwihn,Certified,2026-03-06,2026-09-19,2026-04-06,2026-09-19
sal_samhsa_13840_west_warren,import,DWIHN names its website; check:sources decides,treatment.outpatient,Americas Community Council,13840 West Warren,Dearborn,48126,313-584-7287,313-581-7287,"medicaid,arabic",Treatment for drug or alcohol use while you live at home. Takes Medicaid.,,,https://www.myacc.org,No,directory+dwihn,,2026-03-06,,2026-04-06,2026-09-19
sal_samhsa_13929_harper_avenue,staged,no website on DWIHN's list; a person or a research pass must find its own page,treatment.meds,"Metro East, Clinics",13929 Harper Avenue,Detroit,48213,313-371-0055,888-810-0848,"medicaid,sliding_fee",Methadone clinic (a federally certified opioid treatment program). Also offers buprenorphine (Suboxone) and naltrexone (Vivitrol). Takes Medicaid. Sliding fee.,,,,No,directory+otp+dwihn,Certified,2026-03-06,2026-09-19,2026-04-06,2026-09-19
sal_samhsa_1413_field_street,listed,already listed as sal_dwihn_crisis_line,treatment.outpatient,All Well Being Services,1413 Field Street,Detroit,48214,313-347-2070,800-241-4949,"medicaid,sliding_fee",Treatment for drug or alcohol use while you live at home. Offers naltrexone (Vivitrol). Takes Medicaid. Sliding fee.,,sal_dwihn_crisis_line,https://www.awbs.org,Yes,directory+dwihn,,2026-03-06,,2026-04-06,2026-09-19
sal_samhsa_16647_wyoming_avenue,staged,no website on DWIHN's list; a person or a research pass must find its own page,treatment.outpatient,"National Council on Alcoholism and, Drug Dep GDA Vantage Point West",16647 Wyoming Avenue,Detroit,48221,313-342-3606,313-341-9891,medicaid,Treatment for drug or alcohol use while you live at home. Takes Medicaid.,,,,No,directory+dwihn,,2026-03-06,,2026-04-06,2026-09-19
sal_samhsa_17667_pierson_street,staged,no website on DWIHN's list; a person or a research pass must find its own page,treatment.residential,Life Challenge Mental Health Services,17667 Pierson Street,Detroit,48219,313-531-0111,,medicaid,Live-in treatment for drug or alcohol use. Takes Medicaid.,,,,,directory,,2026-03-06,,,2026-09-19
sal_samhsa_1852_west_grand_boulevard,listed,already listed as sal_self_help_addiction_shar_main,treatment.residential,"Self Help Addiction Rehab (SHAR), Main",1852 West Grand Boulevard,Detroit,48208,313-894-8444,,"medicaid,sliding_fee",Live-in treatment for drug or alcohol use. Offers buprenorphine (Suboxone) and naltrexone (Vivitrol). Takes Medicaid. Sliding fee.,,sal_self_help_addiction_shar_main,,No,directory+dwihn,,2026-03-06,,2026-04-06,2026-09-19
sal_samhsa_19211_anglin_street,staged,no website on DWIHN's list; a person or a research pass must find its own page,treatment.detox,"Detroit Rescue Mission Ministries, Christian Guidance Center",19211 Anglin Street,Detroit,48234,313-263-0077 x4013,,"medicaid,sliding_fee","Detox: a safe place to stop using, with medical care. Offers buprenorphine (Suboxone) and naltrexone (Vivitrol). Takes Medicaid. Sliding fee.",,,,Yes,directory+dwihn,,2026-03-06,,2026-04-06,2026-09-19
sal_samhsa_19940_conant_street_suites_a_b_and_c,staged,no website on DWIHN's list; a person or a research pass must find its own page,treatment.meds,Institute of Supportive Services Inc,"19940 Conant Street, Suites A, B and C",Detroit,48234,313-733-4528,,sliding_fee,Methadone clinic (a federally certified opioid treatment program). Also offers buprenorphine (Suboxone) and naltrexone (Vivitrol). Sliding fee.,,,,,directory+otp,Certified,2026-03-06,2026-09-19,,2026-09-19
sal_samhsa_2081_west_grand_boulevard,listed,already listed as sal_sobriety_house,treatment.residential,Sobriety House Inc,2081 West Grand Boulevard,Detroit,48208,313-895-0500,,"medicaid,sliding_fee,men",Live-in treatment for drug or alcohol use. Offers naltrexone (Vivitrol). Takes Medicaid. Sliding fee.,Men only.,sal_sobriety_house,,No,directory+dwihn,,2026-03-06,,2026-04-06,2026-09-19
sal_samhsa_245_pitkin_street,listed,already listed as sal_elmhurst_home_naomi_s_nest,treatment.residential,"Elmhurst Home, Naomis Nest",245 Pitkin Street,Highland Park,48203,313-865-1500,,"medicaid,sliding_fee,women",Live-in treatment for drug or alcohol use. Offers buprenorphine (Suboxone) and naltrexone (Vivitrol). Takes Medicaid. Sliding fee.,Women only.,sal_elmhurst_home_naomi_s_nest,,Yes,directory+dwihn,,2026-03-06,,2026-04-06,2026-09-19
sal_samhsa_2727_2nd_avenue_suite_108,staged,no website on DWIHN's list; a person or a research pass must find its own page,treatment.outpatient,"Spiritual Israels Comm Outreach Prog, Choice Comm Housing/Outreach Agency","2727 2nd Avenue, Suite 108",Detroit,48201,313-965-7880,,medicaid,Treatment for drug or alcohol use while you live at home. Takes Medicaid.,,,,,directory,,2026-03-06,,,2026-09-19
sal_samhsa_2925_russell_street,listed,already listed as sal_team_east_clinic,treatment.outpatient,Team Wellness Center,2925 Russell Street,Detroit,48207,313-396-5300,,medicaid,Treatment for drug or alcohol use while you live at home. Offers buprenorphine (Suboxone) and naltrexone (Vivitrol). Takes Medicaid.,,sal_team_east_clinic,https://www.teamwellnesscenter.com,No,directory+dwihn,,2026-03-06,,2026-04-06,2026-09-19
sal_samhsa_2995_east_grand_boulevard,listed,already listed as sal_centers_for_family_development,treatment.outpatient,"Centers for Family Development Inc, HOPE",2995 East Grand Boulevard,Detroit,48202,313-758-0150,,"medicaid,sliding_fee",Treatment for drug or alcohol use while you live at home. Takes Medicaid. Sliding fee.,,sal_centers_for_family_development,,No,directory+dwihn,,2026-03-06,,2026-04-06,2026-09-19
sal_samhsa_300_west_mcnichols_street,listed,already listed as sal_new_light_recovery_center,treatment.meds,New Light Recovery Center Inc,300 West McNichols Street,Highland Park,48203,313-867-8015,,"medicaid,sliding_fee,arabic",Methadone clinic (a federally certified opioid treatment program). Also offers buprenorphine (Suboxone) and naltrexone (Vivitrol). Takes Medicaid. Sliding fee.,,sal_new_light_recovery_center,https://www.nlrc.net,No,directory+otp+dwihn,Certified,2026-03-06,2026-09-19,2026-04-06,2026-09-19
sal_samhsa_3011_west_grand_boulevard_suite_423,staged,no website on DWIHN's list; a person or a research pass must find its own page,treatment.outpatient,Kim Logan Communication Clinic Inc,"3011 West Grand Boulevard, Suite 423",Detroit,48202,313-664-4900,,sliding_fee,Treatment for drug or alcohol use while you live at home. Sliding fee.,,,,,directory,,2026-03-06,,,2026-09-19
sal_samhsa_3031_west_grand_boulevard_suite_440,listed,already listed as sal_per_scholas_detroit_tech_training,treatment.outpatient,Spectrum Child and Family Services,"3031 West Grand Boulevard, Suite 440",Detroit,48202,313-456-6000,,medicaid,Treatment for drug or alcohol use while you live at home. Takes Medicaid.,,sal_per_scholas_detroit_tech_training,,No,directory+dwihn,,2026-03-06,,2026-04-06,2026-09-19
sal_samhsa_3426_mack_avenue,listed,already listed as sal_chass_mack_nso_detroit_healthy_housing_center,treatment.outpatient,"CHASS Mack, NSO Detroit Healthy Housing Center",3426 Mack Avenue,Detroit,48207,888-360-9355,,"medicaid,sliding_fee,spanish,arabic",Treatment for drug or alcohol use while you live at home. Offers buprenorphine (Suboxone) and naltrexone (Vivitrol). Takes Medicaid. Sliding fee.,,sal_chass_mack_nso_detroit_healthy_housing_center,https://www.nso-mi.org,Yes,directory+dwihn,,2026-03-06,,2026-04-06,2026-09-19
sal_samhsa_3737_humboldt_street,staged,no website on DWIHN's list; a person or a research pass must find its own page,treatment.residential,"Salvation Army Harbor Light, Subst Abuse Ctr/Women/Men",3737 Humboldt Street,Detroit,48208,313-361-6136,,"medicaid,sliding_fee",Live-in treatment for drug or alcohol use. Offers naltrexone (Vivitrol). Takes Medicaid. Sliding fee.,,,,No,directory+dwihn,,2026-03-06,,2026-04-06,2026-09-19
sal_samhsa_3737_lawton_street,listed,already listed as sal_the_salvation_salvation_army_harbor_light_detroit,treatment.detox,"Salvation Army Harbor Light System, Subst Abuse Ctr/Women/Children/Men",3737 Lawton Street,Detroit,48208,313-361-6136,,"medicaid,sliding_fee","Detox: a safe place to stop using, with medical care. Offers naltrexone (Vivitrol). Takes Medicaid. Sliding fee.",,sal_the_salvation_salvation_army_harbor_light_detroit,,No,directory+dwihn,,2026-03-06,,2026-04-06,2026-09-19
sal_samhsa_3901_chrysler_service_drive,staged,no website on DWIHN's list; a person or a research pass must find its own page,treatment.meds,Wayne State University Physicians Group - Tolan Park Research Program,3901 Chrysler Service Drive,Detroit,48201,(313) 993-3964,,,Methadone clinic (a federally certified opioid treatment program). Call to ask about cost.,,,,No,otp+dwihn,Certified,,2026-09-19,2026-04-06,2026-09-19
sal_samhsa_445_ledyard_street,listed,already listed as sal_mariners_inn,treatment.residential,Mariners Inn,445 Ledyard Street,Detroit,48201,313-962-9446 x224,,"medicaid,sliding_fee,men",Live-in treatment for drug or alcohol use. Offers naltrexone (Vivitrol). Takes Medicaid. Sliding fee.,Men only.,sal_mariners_inn,https://www.marinersinn.org,Yes,directory+dwihn,,2026-03-06,,2026-04-06,2026-09-19
sal_samhsa_457_ledyard_street,listed,already listed as sal_mariners_inn,treatment.residential,Mariners Inn,457 Ledyard Street,Detroit,48201,313-962-9446 x222,,"medicaid,sliding_fee",Live-in treatment for drug or alcohol use. Offers naltrexone (Vivitrol). Takes Medicaid. Sliding fee.,,sal_mariners_inn,https://www.marinersinn.org,Yes,directory+dwihn,,2026-03-06,,2026-04-06,2026-09-19
sal_samhsa_4646_john_r_st,staged,no website on DWIHN's list; a person or a research pass must find its own page,treatment.meds,John D. Dingell VA Medical Center,4646 John R. St.,Detroit,48201,313-576-1000,,,Methadone clinic (a federally certified opioid treatment program). Call to ask about cost.,,,,,otp,Certified,,2026-09-19,,2026-09-19
sal_samhsa_4821_e_mcnichols_road,staged,no website on DWIHN's list; a person or a research pass must find its own page,treatment.meds,"Sunshine Treatment Institute, PLLC",4821 E MCNICHOLS ROAD,Detroit,48212,(313)826-6063,,,Methadone clinic (a federally certified opioid treatment program). Call to ask about cost.,,,,,otp,Certified,,2026-09-19,,2026-09-19
sal_samhsa_4875_coplin_street,staged,no website on DWIHN's list; a person or a research pass must find its own page,treatment.outpatient,Positive Images Inc,4875 Coplin Street,Detroit,48215,313-822-1148 x100,313-822-6940 x101,"medicaid,sliding_fee",Treatment for drug or alcohol use while you live at home. Offers naltrexone (Vivitrol). Takes Medicaid. Sliding fee.,,,,No,directory+dwihn,,2026-03-06,,2026-04-06,2026-09-19
sal_samhsa_4880_lawndale_street,listed,already listed as sal_american_indian_medical_clinic,treatment.outpatient,"American Indian Health and, Family Services of SE Michigan",4880 Lawndale Street,Detroit,48210,313-846-3718,313-846-6030,"medicaid,sliding_fee,spanish",Treatment for drug or alcohol use while you live at home. Takes Medicaid. Sliding fee.,,sal_american_indian_medical_clinic,https://www.aihff.org,Yes,directory+dwihn,,2026-03-06,,2026-04-06,2026-09-19
sal_samhsa_5555_conner_street,listed,already listed as sal_wayne_metro_walkin_east,treatment.outpatient,"Centers for Family Development Inc, HOPE",5555 Conner Street,Detroit,48213,313-758-0150,,"medicaid,sliding_fee",Treatment for drug or alcohol use while you live at home. Takes Medicaid. Sliding fee.,,sal_wayne_metro_walkin_east,https://www.accofmi.com,No,directory+dwihn,,2026-03-06,,2026-04-06,2026-09-19
sal_samhsa_5635_west_fort_street,listed,already listed as sal_chass_southwest,treatment.outpatient,CHASS Southwest,5635 West Fort Street,Detroit,48209,313-849-3920,,"medicaid,sliding_fee,spanish",Treatment for drug or alcohol use while you live at home. Offers buprenorphine (Suboxone) and naltrexone (Vivitrol). Takes Medicaid. Sliding fee.,,sal_chass_southwest,https://www.chasscenter.org,Yes,directory+dwihn,,2026-03-06,,2026-04-06,2026-09-19
sal_samhsa_62_west_7_mile_road,import,DWIHN names its website; check:sources decides,treatment.outpatient,Americas Community Council,62 West 7 Mile Road,Detroit,48203,313-893-6172,,"medicaid,arabic",Treatment for drug or alcohol use while you live at home. Takes Medicaid.,,,https://www.myacc.org,Yes,directory+dwihn,,2026-03-06,,2026-04-06,2026-09-19
sal_samhsa_6451_schaefer_road,listed,already listed as sal_access_benefits_help_at_the_east_dearborn_office,treatment.outpatient,"Arab Community Center for, Economic and Social Services (ACCESS)",6451 Schaefer Road,Dearborn,48126,833-774-0002,313-945-8138,"medicaid,arabic",Treatment for drug or alcohol use while you live at home. Offers buprenorphine (Suboxone). Takes Medicaid.,,sal_access_benefits_help_at_the_east_dearborn_office,https://www.accesscommunity.org,No,directory+dwihn,,2026-03-06,,2026-04-06,2026-09-19
sal_samhsa_6821_medbury_street,listed,already listed as sal_quality_behavioral_health_east_grand_blvd,treatment.detox,Quality Behavioral Health,6821 Medbury Street,Detroit,48211,313-922-2222 x4111,,"medicaid,sliding_fee,arabic","Detox: a safe place to stop using, with medical care. Offers methadone and buprenorphine (Suboxone) and naltrexone (Vivitrol). Takes Medicaid. Sliding fee.",,sal_quality_behavioral_health_east_grand_blvd,https://www.qbhrecovery.org,No,directory+otp+dwihn,Certified,2026-03-06,2026-09-19,2026-04-06,2026-09-19
sal_samhsa_751_east_grand_boulevard,listed,already listed as sal_quality_behavioral_health_east_grand_blvd,treatment.residential,Quality Behavioral Health,751 East Grand Boulevard,Detroit,48207,313-922-2222,,"medicaid,sliding_fee",Live-in treatment for drug or alcohol use. Offers buprenorphine (Suboxone) and naltrexone (Vivitrol). Takes Medicaid. Sliding fee.,,sal_quality_behavioral_health_east_grand_blvd,https://www.qbhrecovery.org,No,directory+dwihn,,2026-03-06,,2026-04-06,2026-09-19
sal_samhsa_8600_woodward_avenue,listed,already listed as sal_chass_woodward_nso_life_choices,treatment.outpatient,"CHASS Woodward, NSO Life Choices",8600 Woodward Avenue,Detroit,48202,313-552-3262,,"medicaid,sliding_fee,spanish",Treatment for drug or alcohol use while you live at home. Offers buprenorphine (Suboxone) and naltrexone (Vivitrol). Takes Medicaid. Sliding fee.,,sal_chass_woodward_nso_life_choices,https://www.nso-mi.org,Yes,directory+dwihn,,2026-03-06,,2026-04-06,2026-09-19
sal_samhsa_9600_dexter_avenue,staged,provisional OTP certification,treatment.meds,Romancare Health Services,9600 Dexter Avenue,Detroit,48206,248-218-1199,,sliding_fee,Methadone clinic (a federally certified opioid treatment program). Also offers buprenorphine (Suboxone) and naltrexone (Vivitrol). Sliding fee.,,,,,directory+otp,Provisional,2026-03-06,2026-09-19,,2026-09-19
sal_samhsa_9605_west_grand_river_avenue,staged,no website on DWIHN's list; a person or a research pass must find its own page,treatment.meds,"Nardin Park, Recovery Center NPRC",9605 West Grand River Avenue,Detroit,48204,313-834-5930 x111,,"medicaid,sliding_fee",Methadone clinic (a federally certified opioid treatment program). Also offers naltrexone (Vivitrol). Takes Medicaid. Sliding fee.,,,,Yes,directory+otp+dwihn,Certified,2026-03-06,2026-09-19,2026-04-06,2026-09-19
